Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3. УРОВЕНЬ ЖИЗНИ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ДЕНЕЖНЫЕ ДОХОДЫ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.15. СТРУКТУРА ПОТРЕБИТЕЛЬСКИХ РАСХОДОВ ДОМАШНИХ ХОЗЯЙСТВ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"(по итогам выборочного обследования бюджетов домашних хозяйств; в процентах)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2005;;;;2010;;;;2012;;;;2013;;;;2014;;;;2015;;;;2016;;;;2017;;;
;Покупка продуктов питания1);Покупка непродовольственных товаров;Покупка алкогольных напитков;Оплата услуг;Покупка продуктов питания1);Покупка непродовольственных товаров;Покупка алкогольных напитков;Оплата услуг;Покупка продуктов питания1);Покупка непродовольственных товаров;Покупка алкогольных напитков;Оплата услуг;Покупка продуктов питания1);Покупка непродовольственных товаров;Покупка алкогольных напитков;Оплата услуг;Покупка продуктов питания1);Покупка непродовольственных товаров;Покупка алкогольных напитков;Оплата услуг;Покупка продуктов питания1);Покупка непродовольственных товаров;Покупка алкогольных напитков;Оплата услуг;Покупка продуктов питания1);Покупка непродовольственных товаров;Покупка алкогольных напитков;Оплата услуг;Покупка продуктов питания1);Покупка непродовольственных товаров;Покупка алкогольных напитков;Оплата услуг
Республика Дагестан;50,1;40,0;0,4;9,5;48,0;40,1;1,5;10,4;49,7;37,4;0,6;12,3;55,3;32,1;0,8;11,8;55,7;31,9;1,2;11,2;58,8;28,9;0,5;11,8;59,5;28,0;0,4;12,1;58,7;27,3;0,4;13,6
Республика Ингушетия;62,8;29,2;0,1;7,9;61,0;25,4;...;13,6;62,8;27,0;...;10,2;64,8;25,1;...;10,1;50,2;34,8;...;15,0;47,0;38,1;0,0;14,9;61,8;27,0;0,0;11,2;60,1;29,4;0,0;10,5
Кабардино-Балкарская Республика;45,9;31,4;0,9;21,8;39,4;38,6;1,0;21,1;33,5;44,3;0,5;21,7;32,9;42,8;0,5;23,8;36,7;40,7;0,6;22,0;40,6;36,1;0,5;22,8;37,6;40,3;0,3;21,8;41,0;39,1;0,6;19,3
Карачаево-Черкесская     Республика;40,8;36,6;1,6;21,0;49,9;29,8;1,4;19,0;41,3;39,4;0,6;18,7;40,8;37,9;0,5;20,8;41,0;36,5;0,5;22,0;39,2;36,2;0,7;23,9;39,0;35,8;0,4;24,8;34,0;37,8;0,2;28,0
Республика Северная Осетия – Алания;40,5;33,1;1,1;25,3;36,7;36,9;0,5;25,9;35,8;37,3;0,4;26,5;32,0;37,4;0,5;30,1;35,9;35,2;0,6;28,4;37,0;39,4;0,5;23,1;37,5;38,4;0,3;23,8;40,2;37,2;0,5;22,1
Чеченская Республика;…;…;…;…;53,4;41,0;...;5,6;59,1;32,9;...;8,0;50,5;40,8;...;8,7;38,2;47,5;...;14,2;42,4;41,6;0,0;16,0;40,1;36,8;0,0;23,1;34,0;43,3;0,0;22,7
Ставропольский край;32,1;44,6;1,5;21,8;32,8;43,7;1,7;21,8;36,1;36,3;1,7;25,9;28,8;46,5;1,5;23,2;34,1;37,1;1,7;27,0;34,5;37,6;1,7;26,2;35,7;34,2;1,8;28,3;33,8;34,4;1,9;29,9
Приволжский    федеральный округ;37,4;38,4;2,0;22,2;33,7;39,4;1,9;24,9;32,0;42,9;1,8;23,3;30,2;45,1;1,8;22,9;31,5;43,1;1,8;23,6;34,9;38,0;1,9;25,2;35,6;37,8;1,8;24,8;34,2;38,2;1,6;26,0
Республика Башкортостан;34,4;43,3;2,0;20,3;30,4;45,7;1,9;22,0;29,3;50,6;1,8;18,3;27,7;51,3;1,9;19,1;30,6;48,3;1,9;19,2;36,5;37,1;2,2;24,2;37,7;37,9;2,1;22,3;34,5;40,2;1,5;23,8
Республика Марий Эл;41,9;34,6;2,5;21,0;34,5;41,5;2,0;21,9;35,6;39,5;2,1;22,8;28,7;46,8;1,9;22,6;28,5;47,7;1,7;22,0;31,8;46,4;1,5;20,3;36,8;38,8;1,7;22,7;36,1;35,8;1,9;26,2
Республика Мордовия;40,7;38,1;1,5;19,7;35,4;43,5;1,5;19,6;38,1;37,5;1,3;23,1;33,9;41,7;1,7;22,7;32,6;42,9;1,6;22,9;39,6;35,3;1,5;23,6;38,8;36,9;1,6;22,7;41,4;34,9;1,8;21,9
Республика Татарстан;36,3;35,5;1,8;26,4;38,2;34,8;1,8;25,1;31,0;44,1;1,6;23,3;26,2;49,6;1,9;22,3;27,5;46,6;1,8;24,1;31,9;41,9;1,9;24,3;30,7;42,9;1,8;24,6;29,7;44,1;1,7;24,5
Удмуртская Республика;35,5;39,3;2,0;23,2;30,2;40,9;1,8;27,1;30,0;44,1;2,0;23,9;26,0;49,2;1,7;23,1;28,6;43,9;2,3;25,1;32,8;38,7;2,4;26,1;30,2;42,1;1,7;26,0;30,9;41,8;1,9;25,4
Чувашская Республика;34,0;40,7;1,8;23,5;29,6;46,5;1,6;22,3;32,4;43,0;1,7;22,9;32,1;43,2;2,0;22,7;36,0;39,5;1,8;22,7;35,2;37,2;1,7;25,9;39,8;31,3;1,9;27,0;39,3;33,7;1,5;25,5
Пермский край;31,4;43,5;1,8;23,3;31,2;40,1;2,0;26,7;29,2;44,8;2,3;23,7;30,6;42,9;1,9;24,6;30,8;43,9;2,2;23,1;34,4;36,1;2,0;27,5;34,7;37,8;1,8;25,7;31,4;40,5;1,8;26,3
Кировская область;39,2;35,7;3,0;22,1;32,5;42,4;2,4;22,7;30,8;44,7;1,8;22,7;32,6;41,3;2,1;24,0;31,7;43,5;2,1;22,7;36,2;36,9;2,7;24,2;34,1;40,3;2,2;23,4;35,2;37,5;2,6;24,7
Нижегородская область ;42,3;32,6;1,6;23,5;34,7;37,5;2,4;25,4;31,0;42,1;1,3;25,6;28,6;46,5;1,3;23,6;30,4;39,6;1,6;28,4;30,9;39,9;1,7;27,5;32,2;40,4;1,4;26,0;32,3;33,2;1,2;33,3
Оренбургская область;35,6;44,8;2,2;17,4;34,3;40,6;1,9;23,2;32,2;44,1;1,8;21,9;30,9;45,8;1,4;21,9;28,2;47,0;1,3;23,6;34,1;38,9;1,3;25,7;35,0;38,1;1,3;25,6;32,2;44,2;1,3;22,3
Пензенская область;43,4;36,8;2,3;17,5;39,9;36,2;2,1;21,7;37,9;39,3;2,4;20,4;37,0;38,5;2,5;22,0;36,5;40,7;2,1;20,6;39,2;38,8;2,5;19,5;44,2;31,9;2,7;21,2;40,4;36,5;1,8;21,3
Самарская область;35,7;38,0;2,1;24,2;31,8;35,4;1,8;31,0;31,0;38,5;2,2;28,3;30,0;42,8;2,0;25,2;32,7;40,7;2,1;24,6;36,5;36,5;2,0;25,0;35,9;35,7;2,2;26,2;34,4;36,0;1,8;27,8
Саратовская область;45,0;33,0;1,7;20,3;40,9;34,3;1,3;23,4;40,9;34,2;1,5;23,4;39,9;35,1;1,6;23,4;38,9;36,1;1,5;23,6;40,9;32,8;1,3;25,0;43,8;28,7;1,4;26,1;43,9;28,9;1,3;25,9
Ульяновская область;41,0;37,7;1,9;19,4;34,5;40,6;1,2;23,6;38,0;35,8;1,6;24,6;36,8;35,8;1,4;26,0;39,0;34,1;1,2;25,7;39,6;32,2;1,3;26,9;41,1;33,6;1,3;24,0;39,0;32,9;1,1;27,0
Уральский          федеральный округ;30,8;43,4;2,1;23,7;30,2;38,6;1,8;29,4;27,9;45,3;1,6;25,2;28,1;44,0;1,7;26,2;29,9;40,5;2,0;27,6;32,9;36,4;1,7;29,0;33,5;35,8;1,9;28,8;33,0;37,7;1,5;27,8
Курганская область;30,7;49,9;1,4;18,0;34,0;42,0;1,5;22,6;26,6;52,5;1,5;19,4;30,8;44,3;2,0;22,9;30,3;46,2;1,4;22,1;33,3;41,8;1,5;23,4;33,3;41,1;1,5;24,1;30,8;47,4;1,6;20,2
Свердловская область ;34,1;40,5;2,5;22,9;32,7;38,5;2,1;26,7;29,4;43,3;2,0;25,3;29,7;41,8;2,0;26,5;33,7;35,7;2,8;27,8;35,5;32,5;2,2;29,8;34,4;32,6;2,4;30,6;35,3;33,3;1,6;29,8
Тюменская область;26,2;47,4;1,9;24,5;27,3;37,4;1,8;33,5;25,7;46,9;1,4;26,0;25,3;46,2;1,5;27,0;26,0;43,6;1,7;28,7;30,3;39,0;1,5;29,2;33,5;36,1;1,7;28,7;30,8;41,4;1,5;26,3
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;43,7;42,0;3,8;10,5;24,6;38,7;1,8;35,0;24,2;45,9;1,5;28,4;23,7;41,8;1,9;32,6;22,9;44,4;1,7;30,9;26,1;41,9;1,7;30,3;29,9;37,8;2,0;30,3;26,1;45,9;1,5;26,5
Ямало-Ненецкий автономный округ;27,4;44,6;2,3;25,7;28,1;33,9;2,2;35,8;23,5;49,4;1,7;25,4;22,0;53,8;1,5;22,7;25,3;42,7;2,1;29,8;27,7;39,8;1,9;30,6;26,7;37,5;2,7;33,1;32,2;30,7;2,9;34,2
Тюменская область      без автономных округов;;;;;;;;;;;;;;;;;32,7;42,5;1,3;23,6;41,3;32,0;0,9;25,8;44,2;32,3;0,6;22,9;38,2;39,1;0,8;21,9
Челябинская область;34,1;39,0;2,1;24,8;29,8;39,7;1,6;28,9;28,6;44,6;1,3;25,5;29,1;44,2;1,3;25,4;30,5;41,3;1,4;26,8;32,9;37,1;1,4;28,6;32,4;39,1;1,4;27,1;33,1;37,1;1,4;28,4
Сибирский         федеральный округ;33,1;42,5;2,0;22,4;33,8;38,9;1,7;25,6;32,6;41,8;1,7;23,9;31,1;42,6;1,8;24,5;32,1;42,0;1,9;24,0;34,4;38,8;1,9;24,9;35,0;37,8;1,8;25,4;34,7;38,2;1,7;25,4
Республика Алтай;38,8;41,7;2,0;17,5;32,8;49,1;1,1;17,0;32,6;49,4;1,0;17,0;31,8;47,7;1,1;19,4;31,6;46,7;1,4;20,4;31,2;43,9;0,9;24,0;34,7;41,1;0,7;23,5;31,7;43,8;1,0;23,5
Республика Бурятия;29,8;42,4;2,2;25,6;36,1;36,8;1,4;25,7;39,7;37,9;1,0;21,4;35,9;42,9;1,0;20,2;34,4;44,3;1,4;19,9;45,6;32,0;1,3;21,1;40,8;36,5;1,1;21,6;35,3;39,7;1,0;24,0
Республика Тыва;34,5;46,1;1,8;17,6;35,4;42,3;1,9;20,4;34,2;45,2;1,4;19,2;35,8;41,8;1,7;20,7;37,4;40,5;1,5;20,7;38,7;38,1;1,2;22,0;40,6;39,2;1,6;18,6;38,8;37,5;1,2;22,5
Республика Хакасия;32,6;44,2;1,9;21,3;30,8;43,1;1,3;24,8;28,1;47,7;1,2;23,0;28,1;45,0;1,3;25,6;32,0;38,7;1,7;27,6;33,9;40,1;1,3;24,7;32,4;41,0;1,8;24,8;32,6;42,8;1,6;23,0
Алтайский край;33,6;40,7;1,9;23,8;31,7;43,8;1,9;22,6;32,5;45,9;2,0;19,6;31,3;45,7;2,0;21,0;32,2;45,7;1,7;20,4;33,0;41,9;1,6;23,5;33,3;40,9;1,8;24,0;35,0;38,6;1,8;24,6
Забайкальский край;40,5;39,9;2,3;17,3;40,8;34,1;1,8;23,3;36,2;36,6;1,8;25,4;34,4;40,3;1,9;23,4;34,1;38,6;2,6;24,7;39,7;33,7;2,2;24,4;38,3;37,5;2,1;22,1;36,7;37,2;2,1;24,0
