СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2018 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ПОКАЗАТЕЛИ ;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;;;;;;;;;;;;;;;
Молоко и сливки, сгущенные;;1459;…;…;…;670;834;1169;819;1167;1464;1693;1578;2591;2480;1797;2739;2783;2646;3583;3387;2056;2163;2171;1923;;;;;;;;;;;;;;;
    из них молоки и сливки сухие;;1693;…;…;…;…;896;…;949;1435;1750;1994;1879;3685;2928;2202;3352;3755;3279;4487;4137;2369;2418;2475;2110;;;;;;;;;;;;;;;
Масло сливочное и прочие молочные жиры;;1873;…;…;…;1653;1389;1172;1235;1440;1633;1845;1827;2523;3110;2706;3751;4434;3920;4835;4936;3245;3815;5362;4769;;;;;;;;;;;;;;;
        из них масло сливочное;;…;…;…;…;1633;1398;1179;1249;1457;1672;1851;1818;2503;3029;2655;3611;4303;3828;4818;4882;3185;3785;5366;4686;;;;;;;;;;;;;;;
Картофель свежий или охлажденные;;295;…;…;…;150;155;118;162;166;162;869;258;405;405;385;410;491;493;521;555;464;376;392;380;;;;;;;;;;;;;;;
Горох сушеный;;…;…;…;…;…;…;243;279;335;343;353;385;514;561;680;938;900;1061;1070;1044;848;837;846;985;;;;;;;;;;;;;;;
Бананы, включая плантайны, свежие или сушеные;;519;…;…;…;401;349;283;308;340;419;522;537;597;666;643;659;726;734;744;751;742;737;739;742;;;;;;;;;;;;;;;
Цитрусовые плоды, свежие или сушеные;;524;…;…;…;293;285;292;331;351;403;508;588;669;738;795;859;946;957;984;899;775;768;762;736;;;;;;;;;;;;;;;
Яблоки свежие;;604;…;…;…;313;399;296;313;325;337;406;427;487;490;645;554;658;623;584;591;434;547;576;613;;;;;;;;;;;;;;;
Кофе;;3296;…;…;…;1594;1551;1485;1342;1294;1552;1789;2169;2646;3231;2762;3254;4602;4100;3598;3699;3263;3010;3369;3032;;;;;;;;;;;;;;;
Злаки;;149;…;…;…;92,4;118;123;122;127;158;170;162;280;489;529;522;523;438;417;563;440;335;487;525;;;;;;;;;;;;;;;
       из них:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
пшеница и меслин;;130;…;…;…;70,5;106;112;91,3;108;154;117;112;158;346;230;160;338;230;257;244;183;154;147;176;;;;;;;;;;;;;;;
   ячмень;;59,0;…;…;…;61,7;77,5;120;140;144;153;170;147;255;388;133;309;370;365;323;239;128;128;194;168;;;;;;;;;;;;;;;
кукуруза;;392;…;…;…;144;178;130;105;144;167;183;229;690;505;1590;1696;950;2441;2918;4199;3348;3468;3539;3581;;;;;;;;;;;;;;;
Крупа;;362;…;…;…;312;207;273;182;212;263;253;269;353;467;311;359;504;424;425;437;458;273;469;399;;;;;;;;;;;;;;;
Масло пальмовое и его фракции;;801;…;…;…;…;343;337;405;464;482;500;535;791;1148;917;1016;1278;1147;929;909;722;731;788;706;;;;;;;;;;;;;;;
Масло подсолнечное, сафлоровое или хлопковое и их фракции;;898;…;…;…;567;591;495;666;722;780;878;916;1009;1584;819;1042;1343;1297;1304;1256;1135;853;667;653;;;;;;;;;;;;;;;
Масло кокосовое (копровое), пальмоядровое или масло бабассу и их фракции;;…;…;…;…;750;551;417;450;4850;522;590;570;635;1120;1023;1191;1711;1388;1055;1359;1231;1454;1649;1339;;;;;;;;;;;;;;;
Готовые или консервированные продукты из мяса;;1547;…;…;…;1398;1342;1510;1630;1607;1664;1724;2614;3141;4018;4204;4248;4694;4674;4763;2723;3738;3192;4235;4251;;;;;;;;;;;;;;;
Готовая или консервированная рыба;;988;…;…;…;362;295;557;812;816;1220;1378;1805;1975;2377;2231;2137;2444;2177;2264;2392;2359;2990;3534;3674;;;;;;;;;;;;;;;
Сахар-сырец;;385;…;…;…;196;152;223;192;208;209;257;405;325;389;403;555;734;574;484;420;377;426;644;753;;;;;;;;;;;;;;;
Сахар белый;;456;…;…;…;303;297;328;329;392;409;428;495;478;530;569;745;834;682;598;628;364;533;475;426;;;;;;;;;;;;;;;
Макаронные изделия;;507;…;…;…;405;506;564;466;291;426;466;510;890;1331;1315;1314;1422;1415;1421;1377;1215;1098;1147;1200;;;;;;;;;;;;;;;
Соль, пригодная для употребления в пищу;;…;…;…;…;…;…;20954;…;…;…;…;49,7;60,2;80,0;71,0;81,7;93,2;100;109;97,3;105;92,9;93,5;87,6;;;;;;;;;;;;;;;
Уголь каменный;;18,1;…;…;…;5,5;4,4;6,4;7,3;8,7;10,8;16,8;15,1;19,9;28,7;19,6;32,7;57,2;37,1;31,9;25,2;19,1;13,1;20,8;17,7;;;;;;;;;;;;;;;
Каучук синтетический;;2268;…;…;…;1383;1129;979;894;959;988;1098;1223;1441;1966;1768;2187;3141;3104;2806;2769;2113;2012;2411;2419;;;;;;;;;;;;;;;
Обувь кожаная, за пару  ;;8,3;…;…;…;13;12,7;14,8;11,3;12,0;14,5;14,9;15,5;15,3;16,0;16,9;22,6;23,8;24,1;25,1;26,4;23,9;28,3;30,0;29,2;;;;;;;;;;;;;;;
Трубы из черных металлов;;592;…;…;…;617;535;622;725;675;784;1033;1274;1581;1828;1529;1398;1552;1784;1847;1737;1630;1551;1450;1857;;;;;;;;;;;;;;;
Комбинированные холодильники-морозильники, за шт.;;397;…;…;…;…;…;…;238;255;271;262;296;354;417;337;341;383;362;378;339;273;265;275;266;;;;;;;;;;;;;;;
Бульдозеры, за шт.;;93243;…;…;…;143513;139726;132616;98826;111715;106114;150915;156591;177645;195315;210753;200727;222950;213837;163683;148833;189364;244325;204483;232850;;;;;;;;;;;;;;;
Станки металлорежащие, за шт.;;54423;…;…;…;35830;3220;2089;1680;1357;1056;1129;987;1413;2166;1729;1162;1269;1610;1351;1583;2137;1600;1211;1272;;;;;;;;;;;;;;;
Станки для обработки дерева, пластмасс и аналогичных твердых материалов, за шт.;;19649;…;…;…;1130;857;393;946;992;881;1045;1074;1435;2541;1360;1277;1959;2165;1468;1738;1386;1252;1039;1027;;;;;;;;;;;;;;;
Тракторы, включая седельные тягачи, за шт.;;5907;…;…;…;13010;14067;13123;13395;14768;20070;22930;26297;37107;47250;20931;26426;34856;28678;21535;16868;8640;11677;20486;15416;;;;;;;;;;;;;;;
Автобусы, за шт.;;26629;…;…;…;34016;26982;13209;11637;16108;14309;14181;21659;36910;43137;43201;27939;30033;32185;47655;47263;74481;75277;100986;88428;;;;;;;;;;;;;;;
Автомобили легковые, за шт.;;4682;…;…;…;5443;6259;8265;9319;11486;9833;9988;12096;13325;15182;16326;16234;18339;18692;18999;18691;18556;22578;25019;24776;;;;;;;;;;;;;;;
Автомобили грузовые, за шт.;;21032;…;…;…;22371;18127;17446;13239;12203;20362;20719;24239;25744;32988;32524;31234;32259;31604;33070;33697;37806;50877;62626;76332;;;;;;;;;;;;;;;
"1) По данным Федеральной таможенной службы России с учетом взаимной торговли товарами с государствами-членами ЕАЭС; экспорта  рыбы, рыбопродуктов, морепродуктов, выловленных (добытых) и проданных вне зоны действия таможенного контроля. За 2010 г. данные приведены без учета взаимной торговли Российской Федерации с Республикой Казахстан за июль-декабрь 2010 г. в связи с отменой таможенного оформления товаров на российской-казахстанской границе с 1 июля 2010 г.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
