СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2018 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ПОКАЗАТЕЛИ ;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Операции с недвижимым имуществом, аренда и предоставление услуг;;;;;;;;;;;;1581925,6;1907390,6;2222149,9;2893613,0;3584257,8;4862963,3;6108475,8;6511146,4;7796276,2;12020148,1;13681347,9;15526196,4;16817426,0;18646489,5;19675857,3;;
"Государственное управление и обеспечение военной безопасности; социальное страхование";;;;;;;;;;;;1103620,7;1375996,0;1645632,2;1988395,7;2517781,8;3030246,1;3897155,0;4242799,1;4716044,4;5923023,9;7090184,0;7966128,7;8108903,1;8391515,5;9308523,0;;
Образование;;;;;;;;;;;;388822,1;458239,6;562058,0;705529,2;886068,3;1118838,8;1398967,5;1534347,3;1683393,3;1913333,6;2012124,4;2204266,3;2335729,1;2417005,2;2474651,0;;
Здравоохранение и предоставление социальных услуг;;;;;;;;;;;;542159,2;629486,2;791460,3;995030,5;1262248,1;1559218,9;1979160,8;2157582,9;2381500,1;2805442,8;3181991,2;3506502,5;4037772,1;4330536,3;4517837,9;;
Предоставление прочих коммунальных, социальных и персональных услуг;;;;;;;;;;;;318582,6;406430,6;489900,2;583966,2;733958,9;932353,5;1121502,9;1044121,6;1281459,8;1445608,3;1618925,8;1797054,0;1987301,3;2232931,5;2393984,3;;
Деятельность домашних хозяйств;;;;;;;;;;;;;;;;;;;;72,5;338573,0;375849,0;406093,2;436077,0;482588,4;506278,7;;
В соответствии с Общероссийским классификатором видов экономической деятельности ОК 029-2014 (КДЕС Ред.2) ОКВЭД2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Выпуск товаров и услуг по отраслям экономики (в текущих ценах; миллионов рублей)";;;;;;;;;;;;;;;;;;;;;;;;132844907,0;145956162,4;153856534,7;166329337,9;185534251,4
Сельское, лесное хозяйство, охота, рыболовство и рыбоводство;;;;;;;;;;;;;;;;;;;;;;;;4983784,2;5984709,9;6411856,2;6477812,6;6558962,1
Добыча полезных ископаемых;;;;;;;;;;;;;;;;;;;;;;;;9519779,2;10934080,2;11392233,0;13643953,4;18036629,4
Обрабатывающие производства;;;;;;;;;;;;;;;;;;;;;;;;32268556,6;36209843,9;38156170,0;41420938,9;47677809,1
"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха";;;;;;;;;;;;;;;;;;;;;;;;6704842,0;6954303,9;7566673,8;7859022,8;8307868,2
"Водоснабжение; воотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений";;;;;;;;;;;;;;;;;;;;;;;;864928,8;980130,1;909847,8;1065209,9;1174511,6
Строительство;;;;;;;;;;;;;;;;;;;;;;;;9353861,8;9965568,9;10662666,4;11404954,5;12631371,9
"Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов";;;;;;;;;;;;;;;;;;;;;;;;18452280,3;20124801,3;19654793,0;21119124,0;23150892,4
Транспортировка и храние;;;;;;;;;;;;;;;;;;;;;;;;9358681,3;10905349,8;11923561,0;12802661,2;14075192,8
Деятельность гостиниц и предприятий общественного питания;;;;;;;;;;;;;;;;;;;;;;;;1294510,1;1438316,1;1496202,7;1674404,0;1820439,5
Деятельность в области информации и связи;;;;;;;;;;;;;;;;;;;;;;;;3249708,3;3538544,8;3717783,3;4079119,5;4322367,6
Деятельность финансовая и страховая;;;;;;;;;;;;;;;;;;;;;;;;4355908,5;3945333,3;4782680,7;5104383,5;5482094,7
Деятельность по операциям с недвижимым имуществом;;;;;;;;;;;;;;;;;;;;;;;;9067994,0;9705503,4;10141971,5;10718739,9;11121187,7
Деятельность профессиональная, научная и техническая;;;;;;;;;;;;;;;;;;;;;;;;5240390,6;5710016,8;5880336,9;6337570,4;6659200,7
Деятельность административная и сопутствующие дополнительные услуги;;;;;;;;;;;;;;;;;;;;;;;;1789592,4;2283087,6;2522510,1;2709347,1;2891553,3
"Государственное управление и обеспечение военной безопасности;  социальное отрахование";;;;;;;;;;;;;;;;;;;;;;;;8061768,2;8348839,5;9276056,4;9962910,9;10534283,9
Образование;;;;;;;;;;;;;;;;;;;;;;;;2827235,0;2959144,5;3125663,5;3274061,5;3652552,6
Деятельность в области здравоохранения и социальных услуг;;;;;;;;;;;;;;;;;;;;;;;;3520527,5;3761153,7;3835337,6;4081184,2;4650703,2
Деятельность в области культуры, спорта, организации досуга и развлечений;;;;;;;;;;;;;;;;;;;;;;;;926414,5;1046638,2;1099621,9;1223596,5;1327750,6
Предоставление прочих видов услуг;;;;;;;;;;;;;;;;;;;;;;;;568066,8;678208,1;794290,4;866900,1;946313,7
"Деятельность домашних хозяйств как работодателей; недифференцированная деятельность частных домашних хозяйств по производству товаров и оказанию услуг для собственного потребления ";;;;;;;;;;;;;;;;;;;;;;;;436077,0;482588,4;506278,7;503443,1;512566,5
В соответствии с Общероссийским классификатором видов экономической деятельности ОК 029-2007 (Кдес Ред.1.1) ОКВЭД;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Промежуточное потребление по видам экономической деятельности (в текущих ценах; миллионов рублей)";;;;;;;;;;;;9409204,9;11653339,2;14631855,6;18502936,2;23246522,8;29267661,3;36418959,6;34285124,3;42014537,4;48876259,9;54095939,3;59296035,2;64078569,0;71328710,1;76381248,1;;
Сельское хозяйство, охота и лесное хозяйство;;;;;;;;;;;;554341,8;615957,0;711821,1;747430,3;874823,4;1058943,2;1333000,8;1388084,8;1571666,4;1824975,0;1867727,4;2068166,1;2189968,3;2605773,9;2926946,3;;
Рыболовство, рыбоводство;;;;;;;;;;;;36519,2;48101,6;49079,2;66574,3;74986,2;79502,1;88790,5;98908,7;91477,6;107809,4;119546,6;124875,5;137549,0;164184,5;172715,8;;
Добыча полезных ископаемых;;;;;;;;;;;;709067,8;839875,0;892360,8;1135798,1;1132126,9;1373634,1;1688266,0;1862692,7;2139435,8;2411158,1;2784823,9;3048419,6;3314631,3;3685128,7;3977012,7;;
Обрабатывающие производства;;;;;;;;;;;;3329079,6;4402344,5;5634453,8;7222454,2;9006969,1;11506326,5;14026442,8;11863872,9;15133072,5;18118345,5;19824042,7;21602297,7;23492690,0;26225419,8;28138676,7;;
Производство и распределение электроэнергии, газа и воды;;;;;;;;;;;;589909,2;772432,1;916164,8;1126642,8;1458190,3;1765668,3;2075952,4;2338683,5;3009800,1;4129968,5;4173369,9;4679261,6;4994090,5;5024341,6;5500398,9;;
Строительство;;;;;;;;;;;;545421,7;758095,8;939224,1;1189016,2;1648876,8;2303578,9;3092445,2;2804855,1;3203509,5;3857266,2;4320490,6;4517346,6;4677009,3;5243272,9;5686038,5;;
"Оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования";;;;;;;;;;;;930257,2;1030145,2;1661093,6;2044988,0;2716136,4;3395486,0;4059053,2;3762204,1;4962333,4;5121529,5;5784375,9;6512208,9;7328155,1;8342194,5;8294876,8;;
Гостиницы и рестораны;;;;;;;;;;;;62459,3;80427,9;107884,4;148231,9;206117,4;262056,9;350413,7;353362,3;444091,3;473169,9;576242,6;626193,3;687801,5;771882,7;795324,1;;
Транспорт и связь;;;;;;;;;;;;878352,1;977632,9;1147566,4;1550657,8;2065280,8;2347270,9;3167172,0;3160790,3;3623628,2;4448052,7;5123074,0;5516407,6;5955460,5;6870009,4;7316064;;
Финансовая деятельность;;;;;;;;;;;;130590,5;160826,4;218060,1;275069,5;357255,5;483174,4;665916,5;665990,2;715748,9;902311,6;1106541,3;1243338,5;1343205,2;1358881,8;1473526,7;;
Операции с недвижимым имуществом, аренда и предоставление услуг;;;;;;;;;;;;562169,4;660641,8;814123,6;1064831,4;1296680,2;1760130,3;2149090,7;2290543,4;2894756,6;3011234,9;3486497,5;4142034,8;4661964,2;5397620,3;5789810,1;;
"Государственное управление и обеспечение военной безопасности; социальное страхование";;;;;;;;;;;;614893,0;724707,2;843118,4;1029305,8;1328618,7;1563889,1;2012753,8;2039585,8;2292495,8;2291216,2;2535030,5;2764797,5;2575809,8;2645852;3168485,2;;
Образование;;;;;;;;;;;;108849,1;140311,9;161935,6;212323,6;266775,5;348979,5;428303,1;400135,1;457426,1;512086,6;468439,6;487109,9;479486,5;491555,5;479523,4;;
Здравоохранение и предоставление социальных услуг;;;;;;;;;;;;220706,2;253616,5;318879,2;430375,8;496795,0;608740,2;781317,8;797243,8;894196,7;1043633,4;1221968,3;1203481,1;1372092,0;1548460,1;1598361,2;;
Предоставление прочих коммунальных, социальных и персональных услуг;;;;;;;;;;;;136588,8;188223,4;216090,5;259236,7;316890,5;410280,7;500041,2;458171,5;580872,5;623502,3;703768,5;760096,4;868655,8;954132,4;1063487,7;;
Деятельность домашних хозяйств;;;;;;;;;;;;;;;;;;;;25,9;0,0;0,0;0,0;0,0;0,0;0,0;;
В соответствии с Общероссийским классификатором видов экономической деятельности ОК 029-2014 (КДЕС Ред.2) ОКВЭД2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Промежуточное потребление по отраслям экономики (в текущих ценах; миллионов рублей)";;;;;;;;;;;;;;;;;;;;;;;;64078569,0;71328710,2;76381248,1;83173749,9;92734724
Сельское, лесное хозяйство, охота, рыболовство и рыбоводство;;;;;;;;;;;;;;;;;;;;;;;;2327517,3;2769958,4;3099662;3207478,1;3290357,3
Добыча полезных ископаемых;;;;;;;;;;;;;;;;;;;;;;;;3288220,5;3658247,6;3952645,6;4711105,3;6074616,1
Обрабатывающие производства;;;;;;;;;;;;;;;;;;;;;;;;23195968,2;25841626,9;27825288,7;30168342,1;34894244,8
"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха";;;;;;;;;;;;;;;;;;;;;;;;4858990,0;4877421,3;5342459,3;5464103,9;5775066,6
"Водоснабжение; воотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений";;;;;;;;;;;;;;;;;;;;;;;;502991,1;588649,5;539915,6;636670;707464,1
Строительство;;;;;;;;;;;;;;;;;;;;;;;;4677009,3;5243272,9;5686038,5;6349009,9;7067873,2
"Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов";;;;;;;;;;;;;;;;;;;;;;;;7298732,0;8312597,1;8263687,3;9070811,8;9892395,3
Транспортировка и храние;;;;;;;;;;;;;;;;;;;;;;;;5077914,0;5919210,2;6316952,5;6891652,5;7603133,3
Деятельность гостиниц и предприятий общественного питания;;;;;;;;;;;;;;;;;;;;;;;;687801,5;771882,7;795223,5;895328,1;966170,3
Деятельность в области информации и связи;;;;;;;;;;;;;;;;;;;;;;;;1520104,8;1662897,6;1785675,8;2024123,3;2134118,3
Деятельность финансовая и страховая;;;;;;;;;;;;;;;;;;;;;;;;1343205,2;1358881,8;1473526,7;1486677,5;1660701,1
Деятельность по операциям с недвижимым имуществом;;;;;;;;;;;;;;;;;;;;;;;;1781252,3;2128981,6;2291108,1;2487398,6;2552495,4
Деятельность профессиональная, научная и техническая;;;;;;;;;;;;;;;;;;;;;;;;2174570,2;2386268,9;2457102,7;2639715,7;2751482,2
Деятельность административная и сопутствующие дополнительные услуги;;;;;;;;;;;;;;;;;;;;;;;;354785,8;490754,4;599849,3;712018,2;773540,7
"Государственное управление и обеспечение военной безопасности;  социальное отрахование";;;;;;;;;;;;;;;;;;;;;;;;2563177,7;2634414,8;3159784,2;3533530,8;3513079,4
Образование;;;;;;;;;;;;;;;;;;;;;;;;626997,6;647277,0;682245;636599,2;683508,5
Деятельность в области здравоохранения и социальных услуг;;;;;;;;;;;;;;;;;;;;;;;;1212679,7;1383771,9;1387793,5;1467732,6;1532889,5
Деятельность в области культуры, спорта, организации досуга и развлечений;;;;;;;;;;;;;;;;;;;;;;;;342370,5;377451,9;412076,2;452106,3;488781,2
Предоставление прочих видов услуг;;;;;;;;;;;;;;;;;;;;;;;;244281,2;275143,7;310213,8;339346,1;372807
"Деятельность домашних хозяйств как работодателей; недифференцированная деятельность частных домашних хозяйств по производству товаров и оказанию услуг для собственного потребления ";;;;;;;;;;;;;;;;;;;;;;;;0,0;0,0;0,0;0,0;0,0
"Валовый внутренний продукт и валовая добавленная стоимость по видам экономической деятельности (в текущих ценах; миллионов рублей)";;;;;;;;;;;;;;;;;;;;;;;;;;;;
В соответствии с Общероссийским классификатором видов экономической деятельности ОК 029-2007 (Кдес Ред.1.1) ОКВЭД;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Валовый внутренний продукт в рыночных ценах;;;;;;;;;;;;10830535,1;13208233,8;17027190,9;21609765,5;26917201,4;33247513,2;41276849,2;38807218,6;46308541,2;60282540,5;68163883,1;73133895,1;79058484000,0;83094304,6;86014204,3;;
   в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;
   Валовая добавленная стоимость                                                                                                                 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
   в основных ценах;;;;;;;;;;;;9581293,7;11619750,3;14858767,0;18517665,8;22977343,7;28484471,2;35182698,3;33831323,8;40040077,5;52084130,9;58996233,2;63869449,9;68766338,1;74627452,2;77475286,6;;
Сельское хозяйство, охота и лесное хозяйство;;;;;;;;;;;;573759,0;667431,3;773360,2;864182,9;981285,0;1194778,7;1486574,6;1504421,2;1451533,0;1944485,4;2073490,0;2193393,6;2519884,2;3014348,0;3087030,8;;
Рыболовство, рыбоводство;;;;;;;;;;;;29035,6;59410,7;61728,5;55510,5;58072,3;61612,2;62686,4;80639,8;96977,5;96548,3;107833,8;118038,7;136382,7;200403,5;225163,3;;
Добыча полезных ископаемых;;;;;;;;;;;;638429,9;769800,6;1411646,9;2064287,3;2509445,8;2865527,8;3284626,2;2885404,4;3842812,3;4949964,4;5568032,2;5919539,0;6244937,2;7293587,5;7456568,9;;
Обрабатывающие производства;;;;;;;;;;;;1645526,0;1897671,2;2590943,7;3388459,6;4115970,5;5025239,4;6163935,8;5005344,0;5934657,4;6978711,9;8042678,7;8279439,2;9211019,0;10547321,0;10474593;;
Производство и распределение электроэнергии, газа и воды;;;;;;;;;;;;349452,9;414074,4;548339,3;608407,7;726981,6;855885,0;1033967,4;1388737,4;1527088,2;1746189,1;1807227,4;1953774,7;1997691,9;2243928,8;2407383,2;;
Строительство;;;;;;;;;;;;513543,8;703026,9;847068,0;989945,9;1201958,8;1633900,0;2225325,3;2101483,6;2587813,8;3962931,4;4524282,9;4474814,6;4676852,5;4722296,0;4976627,9;;
"Оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования";;;;;;;;;;;;2192637,2;2572220,8;3012190,3;3610458,8;4673587,1;5744982,7;7137727,6;6060515,7;8020973,1;9078875,8;9904665,2;10341930,4;11193052,5;11855438,0;11436568,2;;
Гостиницы и рестораны;;;;;;;;;;;;88014,9;93880,4;139863,8;167792,0;206723,7;286295,3;357969,4;343665,5;403275,9;467347,7;531702,7;555096,8;606708,6;666433,4;700878,6;;
Транспорт и связь;;;;;;;;;;;;978684,7;1244179,9;1642431,2;1897007,0;2247596,2;2750889,4;3258280,4;3249641,5;3662464,2;3951632,1;4483152,4;5141471,3;5401905,9;6033798,4;6623854,1;;
Финансовая деятельность;;;;;;;;;;;;280305,8;388011,7;474141,7;701152,5;977167,7;1253760,0;1537849,7;1707153,1;1773509,4;1942988,5;2408449,8;2843230,3;3012703,3;2586451,5;3309154;;
Операции с недвижимым имуществом, аренда и предоставление услуг;;;;;;;;;;;;1019756,2;1246748,8;1408026,3;1828781,6;2287577,6;3102833,0;3959385,1;4220603,0;4901519,6;9008913,2;10194850,4;11384161,7;12155461,8;13248869,2;13886047,2;;
"Государственное управление и обеспечение военной безопасности; социальное страхование";;;;;;;;;;;;488727,7;651288,8;802513,8;959089,9;1189163,1;1466357,0;1884401,2;2203213,3;2423548,6;3631807,6;4555153,6;5201331,2;5533093,3;5745663,5;6140037,8;;
Образование;;;;;;;;;;;;279973,0;317927,7;400122,4;493205,6;619292,8;769859,3;970664,4;1134212,2;1225967,2;1401247,0;1543684,8;1717156,4;1856242,6;1925449,7;1995127,6;;
Здравоохранение и предоставление социальных услуг;;;;;;;;;;;;321453,0;375869,8;472581,2;564654,7;765453,1;950478,7;1197843,0;1360339,1;1487303,4;1761809,4;1960022,9;2303021,4;2665680,1;2782076,2;2919476,7;;
Предоставление прочих коммунальных, социальных и персональных услуг;;;;;;;;;;;;181993,8;218207,3;273809,7;324729,5;417068,4;522072,8;621461,7;585950,1;700587,3;822106,0;915157,2;1036957,6;1118645,5;1278799,1;1330496,6;;
Деятельность домашних хозяйств;;;;;;;;;;;;;;;;;;;;46,6;338573,0;375849,0;406093,2;436077,0;482588,4;506278,7;;
Налоги на продукты;;;;;;;;;;;;1415153,1;1775123,2;2352124,6;3248224,8;4090102,5;4977558,7;6323848,4;5202132,9;6462567,9;8413321,9;9411798,2;9510857,9;10292146,0;8466852,4;8538917,7;;
Субсидии на продукты (-);;;;;;;;;;;;165911,6;186639,7;183700,7;156125,1;150244,8;214516,7;229697,6;226238,1;194104,2;214912,3;244148,3;246412,7;258701,8;271647,2;278288,2;;
В соответствии с Общероссийским классификатором видов экономической деятельности ОК 029-2014 (КДЕС Ред.2) ОКВЭД2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Валовый внутренний продукт в рыночных ценах;;;;;;;;;;;;;;;;;;;;;;;;79058484;83094304,6;86014204,3;92101347,8;103875800,4
   в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;
   Валовая добавленная стоимость                                                                                                                 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
   в основных ценах;;;;;;;;;;;;;;;;;;;;;;;;68766338;74627452,2;77475286,6;83155588,0;92799527,4
Сельское, лесное хозяйство, охота, рыболовство и рыбоводство;;;;;;;;;;;;;;;;;;;;;;;;2656266,9;3214751,5;3312194,2;3270334,5;3268604,8
Добыча полезных ископаемых;;;;;;;;;;;;;;;;;;;;;;;;6231558,7;7275832,6;7439587,4;8932848,1;11962013,3
Обрабатывающие производства;;;;;;;;;;;;;;;;;;;;;;;;9072588,4;10368217;10330881,3;11252596,8;12783564,3
"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха";;;;;;;;;;;;;;;;;;;;;;;;1845852;2076882,6;2224214,5;2394918,9;2532801,6
"Водоснабжение; воотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений";;;;;;;;;;;;;;;;;;;;;;;;361937,7;391480,6;369932,2;428539,9;467047,5
Строительство;;;;;;;;;;;;;;;;;;;;;;;;4676852,5;4722296;4976627,9;5055944,6;5563498,7
"Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов";;;;;;;;;;;;;;;;;;;;;;;;11153548,3;11812204,2;11391105,7;12048312,2;13258497,1
Транспортировка и храние;;;;;;;;;;;;;;;;;;;;;;;;4280767,3;4986139,6;5606608,5;5911008,7;6472059,5
Деятельность гостиниц и предприятий общественного питания;;;;;;;;;;;;;;;;;;;;;;;;606708,6;666433,4;700979,2;779075,9;854269,2
Деятельность в области информации и связи;;;;;;;;;;;;;;;;;;;;;;;;1729603,5;1875647,2;1932107,5;2054996,2;2188249,3
Деятельность финансовая и страховая;;;;;;;;;;;;;;;;;;;;;;;;3012703,3;2586451,5;3309154,0;3617706,0;3821393,6
Деятельность по операциям с недвижимым имуществом;;;;;;;;;;;;;;;;;;;;;;;;7286741,7;7576521,8;7850863,4;8231341,3;8568692,3
Деятельность профессиональная, научная и техническая;;;;;;;;;;;;;;;;;;;;;;;;3065820,4;3323747,9;3423234,2;3697854,7;3907718,5
Деятельность административная и сопутствующие дополнительные услуги;;;;;;;;;;;;;;;;;;;;;;;;1434806,6;1792333,2;1922660,8;1997328,9;2118012,6
"Государственное управление и обеспечение военной безопасности;  социальное отрахование";;;;;;;;;;;;;;;;;;;;;;;;5498590,5;5714424,7;6116272,2;6429380,1;7021204,5
Образование;;;;;;;;;;;;;;;;;;;;;;;;2200237,4;2311867,5;2443418,5;2637462,3;2969044,1
Деятельность в области здравоохранения и социальных услуг;;;;;;;;;;;;;;;;;;;;;;;;2307847,8;2377381,8;2447544,1;2613451,6;3117813,7
Деятельность в области культуры, спорта, организации досуга и развлечений;;;;;;;;;;;;;;;;;;;;;;;;584044;669186,3;687545,7;771490,2;838969,4
Предоставление прочих видов услуг;;;;;;;;;;;;;;;;;;;;;;;;323785,6;403064,4;484076,6;527554,0;573506,7
"Деятельность домашних хозяйств как работодателей; недифференцированная деятельность частных домашних хозяйств по производству товаров и оказанию услуг для собственного потребления ";;;;;;;;;;;;;;;;;;;;;;;;436077;482588,4;506278,7;503443,1;512566,5
Налоги на продукты;;;;;;;;;;;;;;;;;;;;;;;;10550847,9;8738499,6;8538917,7;8945759,8;11076273,0
Субсидии на продукты (-);;;;;;;;;;;;;;;;;;;;;;;;258701,8;271647,2;278288,2;318752,7;327900,9
Индексы физического объема выпуска товаров и услуг по видам экономической деятельности (в процентах к предыдущему году);;;;;;;;;;;;;;;;;;;;;;;;;;;;
В соответствии с Общероссийским классификатором видов экономической деятельности ОК 029-2007 (Кдес Ред.1.1) ОКВЭД;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Сельское хозяйство, охота и лесное хозяйство;;;;;;;;;;;;;101,4;102,6;100,6;104,1;102,3;108,8;100,9;91,2;…;96,2;105,0;103,5;104,0;104,4;;
Рыболовство, рыбоводство;;;;;;;;;;;;;105,0;100,2;106,5;104,8;102,9;94,1;106,2;91,8;…;104,1;104,9;95,7;102,2;98,9;;
Добыча полезных ископаемых;;;;;;;;;;;;;109,2;108,0;101,7;96,4;97,3;101,2;98,2;106,5;…;102,5;101,4;103,0;100,9;101,8;;
Обрабатывающие производства;;;;;;;;;;;;;108,1;109,7;104,6;107,8;109,0;99,7;86,1;108,6;…;104,6;101,1;100,5;98,2;103,1;;
Производство и распределение электроэнергии, газа и воды;;;;;;;;;;;;;103,5;102,0;101,2;106,0;98,0;100,1;98,3;103,9;…;100,7;97,6;100,1;99,0;101,9;;
Строительство;;;;;;;;;;;;;113,9;109,9;110,4;118,2;116,0;113,6;87,7;104,8;…;101,8;100,1;97,5;101,5;101,9;;
"Оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования";;;;;;;;;;;;;111,3;112,7;109,7;115,7;112,2;110,1;95,4;105,8;…;104,8;101,4;101,4;94,8;96,2;;
Гостиницы и рестораны;;;;;;;;;;;;;103,9;106,1;112,9;110,5;115,3;111,1;86,5;104,6;…;107,3;102,4;101,0;100,1;95,4;;
Транспорт и связь;;;;;;;;;;;;;107,9;110,7;107,0;113,3;106,2;106,6;91,7;105,6;…;104,9;101,3;100,9;99,6;100,3;;
Финансовая деятельность;;;;;;;;;;;;;123,3;115,7;120,5;125,0;124,8;113,7;98,4;101,8;…;118,7;109,9;102,7;92,4;107,9;;
Операции с недвижимым имуществом, аренда и предоставление услуг;;;;;;;;;;;;;104,5;101,7;111,5;109,1;121,0;110,2;95,2;108,4;…;104,2;107,2;102,0;101,3;100,0;;
"Государственное управление и обеспечение военной безопасности; социальное страхование";;;;;;;;;;;;;103,1;103,6;97,4;102,8;103,7;102,8;99,2;99,8;…;104,9;102,4;96,0;94,5;103,7;;
Образование;;;;;;;;;;;;;102,6;100,4;100,5;100,6;101,2;100,0;98,6;98,2;…;96,5;96,8;101,1;99,3;99,4;;
Здравоохранение и предоставление социальных услуг;;;;;;;;;;;;;100,3;101,0;101,3;101,4;101,3;101,0;99,7;100,6;…;101,8;100,7;103,2;100,9;99,2;;
Предоставление прочих коммунальных, социальных и персональных услуг;;;;;;;;;;;;;103,2;111,7;101,1;107,7;108,8;102,8;81,5;103,6;…;102,8;100,4;100,9;103,4;100,4;;
Деятельность домашних хозяйств;;;;;;;;;;;;;;;;;;;;;…;104,7;101,8;101,5;99,0;98,0;;
Итого в основных ценах;;;;;;;;;;;;;107,6;108,0;105,7;108,9;108,8;105,0;92,6;105,0;…;103,9;102,1;100,8;98,7;101,2;;
В соответствии с Общероссийским классификатором видов экономической деятельности ОК 029-2014 (КДЕС Ред.2) ОКВЭД2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Сельское, лесное хозяйство, охота, рыболовство и рыбоводство;;;;;;;;;;;;;;;;;;;;;;;;;104,1;104,1;102,5;99,3
Добыча полезных ископаемых;;;;;;;;;;;;;;;;;;;;;;;;;100,9;101,8;103,9;104,5
Обрабатывающие производства;;;;;;;;;;;;;;;;;;;;;;;;;98,2;103,2;102,5;102,5
"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха";;;;;;;;;;;;;;;;;;;;;;;;;98,9;101,9;98,5;101,5
"Водоснабжение; воотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений";;;;;;;;;;;;;;;;;;;;;;;;;96,4;97,8;103,8;103,3
Строительство;;;;;;;;;;;;;;;;;;;;;;;;;101,6;101,8;100,7;105,3
"Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов";;;;;;;;;;;;;;;;;;;;;;;;;94,8;96,2;103,5;102,3
Транспортировка и храние;;;;;;;;;;;;;;;;;;;;;;;;;101,0;101,1;101,4;103,6
Деятельность гостиниц и предприятий общественного питания;;;;;;;;;;;;;;;;;;;;;;;;;100,1;95,4;104,6;105,6
Деятельность в области информации и связи;;;;;;;;;;;;;;;;;;;;;;;;;101,1;98,4;103,3;101,7
Деятельность финансовая и страховая;;;;;;;;;;;;;;;;;;;;;;;;;92,4;107,9;102,0;107,7
Деятельность по операциям с недвижимым имуществом;;;;;;;;;;;;;;;;;;;;;;;;;101,1;100,3;102,8;99,8
Деятельность профессиональная, научная и техническая;;;;;;;;;;;;;;;;;;;;;;;;;94,9;96,9;103,1;100,8
Деятельность административная и сопутствующие дополнительные услуги;;;;;;;;;;;;;;;;;;;;;;;;;111,0;103,3;102,6;102,5
"Государственное управление и обеспечение военной безопасности;  социальное отрахование";;;;;;;;;;;;;;;;;;;;;;;;;94,5;103,9;104,7;100,7
Образование;;;;;;;;;;;;;;;;;;;;;;;;;100,8;99,4;101,8;101,5
Деятельность в области здравоохранения и социальных услуг;;;;;;;;;;;;;;;;;;;;;;;;;100,1;99,2;100,8;100,3
Деятельность в области культуры, спорта, организации досуга и развлечений;;;;;;;;;;;;;;;;;;;;;;;;;104,0;99,1;103,6;101,9
Предоставление прочих видов услуг;;;;;;;;;;;;;;;;;;;;;;;;;107,0;110,0;102,1;103,9
"Деятельность домашних хозяйств как работодателей; недифференцированная деятельность частных домашних хозяйств по производству товаров и оказанию услуг для собственного потребления ";;;;;;;;;;;;;;;;;;;;;;;;;99,0;98,0;98,0;98,0
Итого в основных ценах;;;;;;;;;;;;;;;;;;;;;;;;;98,7;101,2;102,5;102,5
Индексы физического объема валового внутреннего продукта и валовой добавленной стоимости по видам экономической деятельности (в процентах к предыдущему году);;;;;;;;;;;;;;;;;;;;;;;;;;;;
В соответствии с Общероссийским классификатором видов экономической деятельности  ОК 029-2007 (Кдес Ред.1.1) ОКВЭД;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Валовый внутренний продукт в рыночных ценах;;;;;;;;;;;;;107,3;107,2;106,4;108,2;108,5;105,2;92,2;104,5;…;103,7;101,8;100,7;97,7;100,3;;
   в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;
   Валовая добавленная стоимость                                                                                                                 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
   в основных ценах;;;;;;;;;;;;;107,5;106,6;106,0;107,9;108,4;105,2;93,3;104,1;…;103,7;101,8;100,9;98,3;100,4;;
       в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;
