Population (Millions of people);1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Afghanistan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;21,229;22,203;23,116;24,019;24,861;25,631;26,617;27,294;28,004;28,803;29,709;30,697;31,732;32,758;33,736;34,656;35,53;36,02
Timor-Leste;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;0,823;0,897;0,909;0,922;0,936;0,952;0,97;0,989;1,01;1,034;1,046;1,057;1,078;1,102;1,129;1,158;1,185;1,212;1,24;1,269
Togo;2,721;2,812;2,915;3,026;3,14;3,253;3,364;3,474;3,582;3,686;3,787;3,882;3,973;4,065;4,164;4,274;4,398;4,535;4,679;4,826;4,97;5,112;5,251;5,391;5,535;5,683;5,838;5,997;6,162;6,33;6,503;6,679;6,859;7,043;7,229;7,417;7,606;7,798;7,994
Tonga;0,092;0,092;0,093;0,094;0,095;0,094;0,094;0,094;0,094;0,095;0,095;0,096;0,096;0,097;0,097;0,097;0,097;0,098;0,098;0,099;0,099;0,1;0,1;0,101;0,101;0,101;0,102;0,101;0,1;0,101;0,102;0,103;0,102;0,102;0,103;0,102;0,101;0,101;0,1
Trinidad and Tobago;1,085;1,103;1,121;1,139;1,156;1,171;1,184;1,195;1,205;1,214;1,222;1,23;1,237;1,244;1,25;1,255;1,258;1,261;1,263;1,265;1,268;1,272;1,278;1,284;1,291;1,297;1,303;1,309;1,315;1,322;1,328;1,335;1,342;1,348;1,354;1,36;1,365;1,369;1,375
Tunisia;6,451;6,633;6,795;6,956;7,037;7,269;7,552;7,713;7,845;7,986;8,233;8,418;8,603;8,785;8,957;9,114;9,256;9,384;9,499;9,604;9,699;9,786;9,864;9,94;10,018;10,102;10,196;10,298;10,407;10,522;10,64;10,761;10,887;11,015;11,144;11,274;11,403;11,532;11,659
Turkey;45,272;46,314;47,382;48,461;49,532;50,582;51,606;52,607;53,588;54,554;55,511;56,457;57,394;58,328;59,259;60,184;61,106;62,023;62,912;63,818;64,73;65,603;66,402;67,187;68,01;68,861;69,73;70,586;71,517;72,561;73,723;74,724;75,627;76,668;77,696;78,741;79,815;80,811;82,004
Turkmenistan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;3,975;4,015;4,119;4,212;4,293;4,361;4,421;4,475;4,528;4,578;4,627;4,675;4,724;4,775;4,83;4,887;4,946;5,008;5,087;5,174;5,268;5,366;5,466;5,565;5,642;5,71;5,77
Tuvalu;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;0,009;0,009;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,011;0,011;0,011;0,011;0,011;0,011;0,011;0,011
Uganda;11,264;11,607;11,962;12,335;12,734;13,169;13,641;14,147;14,679;15,227;15,782;16,343;16,873;17,447;18,021;18,595;19,214;19,832;20,45;21,113;21,82;22,526;23,277;24,116;24,956;25,795;26,678;27,606;28,578;29,549;30,521;31,537;32,548;33,51;34,477;35,492;36,561;37,674;38,823
Ukraine;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;51,624;51,708;51,87;51,715;51,3;50,874;50,4;49,974;49,545;49,115;48,664;48,241;47,823;47,442;47,101;46,749;46,466;46,192;45,963;45,783;45,598;45,453;45,373;45,246;42,76;42,591;42,415;42,217;42,037
United Arab Emirates;1,01;1,1;1,17;1,21;1,31;1,38;1,44;1,5;1,79;1,86;1,844;1,928;2,011;2,083;2,23;2,411;2,443;2,58;2,834;3,033;2,995;3,167;3,349;3,551;3,761;4,106;5,012;6,219;8,074;8,2;8,264;8,512;8,768;9,031;9,302;9,581;9,856;10,139;10,43
United Kingdom;56,33;56,358;56,291;56,316;56,409;56,554;56,684;56,804;56,916;57,077;57,238;57,439;57,585;57,714;57,862;58,025;58,164;58,314;58,475;58,684;58,886;59,113;59,366;59,637;59,95;60,413;60,827;61,319;61,824;62,261;62,76;63,285;63,705;64,106;64,597;65,11;65,648;66,04;66,436
United States;227,622;229,916;232,128;234,247;236,307;238,416;240,593;242,751;244,968;247,286;250,047;253,392;256,777;260,146;263,325;266,458;269,581;272,822;276,022;279,195;282,296;285,216;288,019;290,733;293,389;296,115;298,93;301,903;304,718;307,374;309,737;311,941;314,163;316,329;318,619;320,93;323,225;325,326;327,352
Uruguay;2,939;2,959;2,978;2,997;3,016;3,035;3,053;3,07;3,088;3,105;3,122;3,14;3,159;3,178;3,208;3,228;3,248;3,286;3,312;3,336;3,349;3,351;3,347;3,338;3,341;3,352;3,358;3,359;3,363;3,378;3,397;3,413;3,426;3,44;3,454;3,467;3,48;3,493;3,506
Uzbekistan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;21,36;21,853;22,282;22,69;23,13;23,867;24,231;24,583;24,488;24,813;25,116;25,428;25,707;26,021;26,313;26,664;27,072;27,533;28,001;29,123;29,555;29,994;30,493;31,023;31,575;32,121;32,57
Vanuatu;0,115;0,119;0,123;0,126;0,13;0,135;0,139;0,141;0,145;0,146;0,148;0,151;0,154;0,157;0,164;0,169;0,173;0,177;0,182;0,187;0,191;0,195;0,2;0,204;0,209;0,214;0,219;0,224;0,229;0,234;0,24;0,245;0,251;0,257;0,263;0,269;0,272;0,279;0,285
Venezuela;14,952;15,41;15,868;16,316;16,773;17,241;17,45;17,888;18,336;18,784;19,411;19,879;20,347;20,815;21,283;21,751;22,219;22,676;23,13;23,593;24,394;24,803;25,212;25,622;26,033;26,445;26,858;27,273;27,689;28,106;28,524;28,944;29,365;29,786;30,206;30,62;30,714;30,25;28,86
Vietnam;54,18;55,31;56,4;57,47;58,57;59,71;60,92;62,3;63,5;64,774;66,017;67,242;68,45;69,645;70,825;71,996;73,157;74,307;75,456;76,597;77,635;78,686;79,727;80,899;82,032;82,392;83,311;84,219;85,119;86,025;86,933;87,84;88,809;89,76;90,728;91,713;92,691;93,643;94,575
Yemen;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;12,086;12,66;13,289;13,948;14,6;15,219;15,796;16,339;16,863;17,39;17,937;18,506;19,094;19,702;20,329;20,975;21,622;22,29;22,978;23,687;24,398;25,13;25,884;26,66;27,46;28,284;29,132;29,977;30,816
Zambia;5,907;6,101;6,297;6,495;6,695;6,897;7,104;7,317;7,538;7,769;8,013;8,259;8,505;8,751;9,018;9,254;9,502;9,764;10,034;10,309;10,585;10,861;11,14;11,426;11,726;12,044;12,382;12,739;13,115;13,508;13,917;14,344;14,787;15,246;15,721;16,212;16,717;17,238;17,773
Zimbabwe;7,092;7,3;7,606;7,849;8,099;8,385;8,648;8,919;9,199;9,488;9,786;10,093;10,41;10,776;11,147;11,523;11,905;11,786;11,756;11,724;11,693;11,663;11,632;11,64;11,73;11,83;12,01;12,04;12,12;12,23;12,34;12,459;13,061;13,43;13,778;14,009;14,228;14,437;14,642
