GDP, current prices (Purchasing power parity, billions of international dollars);1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Afghanistan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;18,835;20,852;21,557;24,858;26,983;31,404;33,252;40,403;44,323;48,18;55,963;60,181;62,948;64,231;66,301;69,35;72,958
Georgia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;11,51;8,33;7,623;7,985;8,985;10,102;10,533;10,991;11,444;12,257;13,132;14,855;16,139;18,237;20,559;23,767;24,815;24,092;25,896;28,346;30,724;32,322;34,442;35,803;37,204;39,736;42,625
Germany;867,363;950,471;1001,244;1056,632;1125,699;1186,762;1239,919;1289,255;1384,582;1495,171;1639,906;1780,331;1855,954;1881,386;1967,576;2039,797;2094,057;2168,295;2236,973;2312,061;2432,406;2527,727;2562,554;2591,669;2693,012;2797,112;2991,696;3163,471;3256,116;3094,108;3261,151;3459,55;3540,982;3618,631;3767,345;3872,877;4000,239;4176,04;4342,909
Ghana;12,369;13,048;12,733;12,454;14,106;15,504;16,816;18,378;20,201;21,897;23,506;25,449;27,099;29,012;30,653;32,594;34,775;37,438;39,73;42,161;44,71;47,548;50,537;54,108;58,604;64,181;70,065;74,831;83,346;88,597;96,748;115,962;128,8;141,458;148,251;153,057;159,974;176,259;191,862
Greece;87,318;94,092;98,776;101,538;107,313;113,49;116,37;116,557;125,842;135,744;140,825;150,103;154,595;155,727;162,233;169,112;177,14;188,274;197,809;206,83;219,741;233,839;246,856;266,01;286,996;297,707;324,054;343,653;349,162;336,694;321,957;298,666;282,173;277,816;285,051;286,758;289,175;299,055;312,267
Grenada;0,191;0,212;0,234;0,252;0,271;0,296;0,324;0,363;0,386;0,417;0,451;0,472;0,479;0,481;0,5;0,522;0,555;0,592;0,67;0,727;0,78;0,781;0,821;0,915;0,934;1,091;1,079;1,176;1,21;1,139;1,146;1,179;1,188;1,237;1,352;1,455;1,525;1,622;1,732
Guatemala;19,483;21,464;21,983;22,267;23,188;23,778;24,281;25,771;27,719;29,941;32,025;34,102;36,483;38,617;40,822;43,512;45,55;48,235;51,022;53,673;56,245;58,858;62,101;64,855;68,7;73,15;79,418;86,692;91,278;92,458;96,219;102,318;107,377;113,301;120,215;126,495;131,757;137,944;145,749
Guinea;2,708;2,982;3,224;3,393;3,565;3,862;4,062;4,3;4,732;5,115;5,536;5,866;6,196;6,663;7,077;7,564;8,046;8,609;9,023;9,502;9,958;10,548;11,269;11,621;12,213;12,971;13,697;14,981;15,905;15,78;16,637;17,938;19,364;20,479;21,631;22,69;25,407;28,487;30,864
Guinea-Bissau;0,464;0,506;0,56;0,562;0,614;0,661;0,667;0,722;0,762;0,815;0,885;0,981;1,035;1,083;1,139;1,21;1,278;1,378;1,158;1,33;1,357;1,415;1,419;1,451;1,531;1,646;1,735;1,84;1,936;2,017;2,134;2,355;2,359;2,479;2,549;2,733;2,935;3,167;3,367
Guyana;1,28;1,409;1,363;1,254;1,327;1,374;1,398;1,431;1,393;1,376;1,384;1,517;1,672;1,853;2,053;2,202;2,42;2,614;2,598;2,715;2,738;2,861;2,94;2,975;3,103;3,138;3,398;3,734;3,882;4,042;4,268;4,594;4,918;5,255;5,561;5,79;6,047;6,292;6,712
Haiti;6,411;7,092;7,319;7,492;7,778;8,085;8,27;8,438;8,784;9,025;9,322;9,759;9,756;9,496;8,574;9,619;10,201;10,658;11,013;11,475;11,833;11,966;12,125;12,395;12,28;12,892;13,58;14,411;14,816;15,389;14,712;15,849;16,619;17,628;18,458;18,876;19,348;19,944;20,733
Honduras;5,192;5,827;6,101;6,281;6,791;7,299;7,5;8,149;8,825;9,568;9,935;10,605;11,457;12,459;12,56;13,346;14,077;15,035;15,645;15,754;17,281;18,141;19,119;20,36;22,211;24,289;26,667;29,078;30,898;30,376;31,877;33,791;35,861;37,509;39,372;41,309;43,303;46,294;49,198
Hong Kong SAR;34,607;41,364;45,187;49,781;56,737;58,949;66,814;77,637;87,217;92,7;99,853;109,116;118,562;128,897;139,596;145,906;154,905;165,612;157,624;163,908;180,414;185,404;191,458;200,973;224,34;248,418;273,935;299,479;311,8;306,452;331,004;354,188;367,119;385,146;403,111;417,033;430,521;455,514;480,622
Hungary;68,285;76,888;83,959;87,878;93,469;96,181;99,623;106,223;109,897;115,047;115,179;104,914;104,018;105,869;111,316;116,538;118,689;124,768;131,517;137,668;146,669;155,642;165,264;174,812;188,503;202,903;217,095;223,868;230,165;216,611;220,571;228,912;229,496;238,412;253,083;264,761;273,603;290,288;312,052
Iceland;2,511;2,866;3,108;3,161;3,41;3,634;3,939;4,382;4,532;4,722;4,956;5,112;5,052;5,24;5,545;5,668;6,048;6,456;6,992;7,38;7,914;8,403;8,594;8,952;9,932;10,89;11,808;13,261;13,788;12,952;12,653;13,16;13,586;14,396;14,968;15,842;17,067;18,154;19,493
India;383,126;444,562;488,436;544,561;585,769;636,047;679,845;724,285;822,018;905,053;990,883;1035,221;1116,863;1197,637;1304,662;1432,913;1569,313;1661,023;1783,599;1962,478;2086,097;2237,256;2361,454;2596,382;2875,556;3240,424;3647,774;4112,907;4356,042;4761,455;5311,154;5782,036;6214,485;6727,337;7359,577;8030,815;8776,851;9583,103;10485,23
Indonesia;184,979;217,878;236,536;256,106;285,446;305,975;334,573;365,38;404,665;458,735;518,744;584,17;636,456;703,37;772,555;853,591;937,177;998,143;876,88;896,579;962,256;1019,188;1081,897;1154,666;1245,405;1357,299;1475,301;1611,057;1764,614;1861,668;2003,475;2171,519;2346,626;2520,492;2695,668;2856,55;3031,39;3244,985;3495,941
Iran;251,961;252,196;302,826;358,037;334,293;337,747;313,411;330,702;309,865;338,773;414,995;475,254;496,33;514,473;517,632;533,891;577,458;584,186;602,046;612,624;669,326;689,519;772,245;859,154;917,472;994,715;1079,328;1182,911;1205,01;1214,263;1298,757;1366,488;1285,267;1303,564;1370,372;1362,674;1549,136;1637,215;1595,849
Iraq;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;80,378;101,721;99,48;94,983;88,963;164,727;259,469;272,033;296,068;309,763;341,771;356,014;383,222;420,752;488,584;535,081;549,008;568,795;662,032;657,673;669,906
