Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.  УРОВЕНЬ ЖИЗНИ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ЖИЛИЩНЫЕ УСЛОВИЯ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.28. УДЕЛЬНЫЙ ВЕС РАСХОДОВ ДОМАШНИХ ХОЗЯЙСТВ НА ОПЛАТУ ЖИЛИЩНО-КОММУНАЛЬНЫХ УСЛУГ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.28.1. В процентах от общей суммы потребительских расходов;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(по данным Выборочного обследования бюджетов домашних хозяйств);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Курганская область;4,9;5,9;6,6;7,3;7,7;7,0;7,4;8,3;7,3;10,3;9,1;8,0;6,8;8,7;8,6;9,2;9,8;8,8;8,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Свердловская область ;4,6;5,2;6,6;6,1;6,6;7,6;8,7;8,7;7,8;9,2;8,4;8,3;8,4;7,9;8,9;10,3;10,9;9,2;10,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюменская область;4,4;4,7;5,7;7,3;8,2;7,8;9,2;7,7;8,4;10,1;10,5;10,1;8,7;9,4;9,7;10,2;11,3;10,4;11,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;4,7;4,6;5,0;7,4;7,6;7,3;9,5;8,1;8,5;9,9;10,0;11,1;9,7;11,0;9,8;9,5;10,5;9,6;9,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ямало-Ненецкий автономный округ;4,0;4,3;6,8;7,2;10,0;8,7;10,4;8,2;10,3;11,2;11,5;10,0;8,4;7,8;10,9;11,7;14,0;15,6;13,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюменская область      без автономных округов;…;…;6,6;7,2;7,7;7,9;7,8;6,5;6,8;9,4;10,9;8,5;7,3;8,3;8,6;10,7;11,2;9,1;12,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Челябинская область;5,7;6,9;8,4;8,6;8,9;8,8;9,0;7,5;6,8;8,3;9,9;10,7;9,3;9,6;9,2;9,5;10,0;10,1;10,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
    Сибирский федеральный округ2);4,4;4,9;6,3;7,4;7,6;7,8;7,9;8,0;7,3;8,6;9,2;8,8;8,4;8,4;8,5;8,9;9,5;9,4;9,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Республика Алтай;3,6;3,9;3,8;4,5;5,9;7,4;5,6;6,8;5,9;7,1;5,7;5,2;5,7;6,1;6,3;7,4;7,5;7,2;7,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
