Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;;;;;;;;
3. УРОВЕНЬ ЖИЗНИ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;;;;;;;;;;
ДЕНЕЖНЫЕ ДОХОДЫ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.6. СРЕДНИЙ РАЗМЕР НАЗНАЧЕННЫХ ПЕНСИЙ1);;;;;;;;;;;;;;;;;;;;;;;;;;;
"(на 1 января; рублей)";;;;;;;;;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;;2018;2019;;;;;;
Сибирский          федеральный округ3);548;835;1137;1455;1741;2028;2541;2839;3680;4542;6165;7548;8218;9091;9942;10808;11986;12329;17329;13207;14058;;;;;;
Республика Алтай;554;789;1001;1292;1535;1796;2359;2631;3535;4278;5854;6900;7494;8281;8961;9810;10807;11115;16115;11825;12457;;;;;;
Республика Тыва;574;760;915;1233;1462;1869;2422;2665;3618;4427;6153;7155;7834;8729;9513;10435;11555;11911;16911;12615;13450;;;;;;
Республика Хакасия;557;824;1110;1417;1692;2000;2516;2804;3673;4524;6142;7487;8150;9021;9864;10718;11859;12218;17218;13100;13850;;;;;;
Алтайский край;517;815;1114;1403;1683;1947;2436;2705;3505;4286;5791;7122;7717;8498;9258;10063;11073;11379;16379;12252;12984;;;;;;
Красноярский край;562;854;1174;1532;1832;2166;2712;3044;3949;4896;6640;8145;8887;9841;10782;11707;12994;13331;18331;14226;15062;;;;;;
Иркутская область;564;851;1153;1487;1778;2089;2614;2922;3793;4695;6380;7799;8504;9425;10319;11243;12483;12839;17839;13745;14531;;;;;;
Кемеровская область;578;853;1154;1470;1762;2038;2554;2860;3687;4572;6205;7570;8251;9139;10008;10891;12108;12463;17463;13337;14090;;;;;;
Новосибирская область ;535;839;1152;1468;1754;2010;2509;2805;3612;4462;6051;7475;8139;8998;9838;10677;11859;12199;17199;13086;13841;;;;;;
Омская область;517;816;1128;1421;1702;1959;2448;2729;3526;4340;5877;7255;7878;8682;9483;10259;11373;11706;16706;12580;13300;;;;;;
Томская область;585;885;1199;1547;1860;2218;2782;3121;4033;4998;6767;8304;9052;10024;10982;11930;13242;13614;18614;14552;15357;;;;;;
Дальневосточный федеральный округ3);645;940;1246;1615;1941;2381;2986;3344;4335;5390;7324;8899;9712;10771;11830;12875;14302;14681;19681;15618;15660;;;;;;
Республика Бурятия;530;802;1093;1393;1659;1908;2393;2666;3483;4281;5828;7093;7709;8535;9337;10158;11251;11604;16604;12441;13185;;;;;;
Республика Саха (Якутия);908;1221;1478;1811;2171;2825;3557;3959;5166;6387;8692;10377;11311;12539;13779;15011;16640;17054;22054;18005;18901;;;;;;
Забайкальский край;526;783;1083;1363;1626;1867;2344;2618;3411;4192;5738;6929;7561;8389;9180;10024;11171;11537;16537;12380;13119;;;;;;
Камчатский край;789;1104;1568;2030;2457;3238;4014;4516;5745;7193;9719;11778;12848;14244;15658;17016;18860;19314;24314;20370;21229;;;;;;
Приморский край;570;844;1140;1471;1767;2055;2572;2864;3695;4600;6266;7698;8408;9326;10224;11125;12362;12715;17715;13593;14351;;;;;;
Хабаровский край ;603;911;1215;1608;1935;2339;2925;3290;4291;5342;7240;8817;9605;10650;11697;12716;14123;14494;19494;15446;16273;;;;;;
Амурская область;537;818;1121;1435;1720;2016;2538;2846;3705;4587;6243;7591;8266;9157;10046;10947;12172;12550;17550;13472;14230;;;;;;
Магаданская область;760;1056;1436;2013;2444;3286;4096;4608;5900;7364;9968;12022;13149;14571;16022;17456;19361;19719;24719;20666;21495;;;;;;
Сахалинская область;686;1011;1314;1763;2112;2724;3415;3839;4951;6160;8363;10099;11049;12269;13495;14700;16344;16769;21769;17787;18655;;;;;;
Еврейская автономная область;538;806;1108;1424;1696;1946;2435;2716;3549;4388;5965;7325;7986;8860;9701;10561;11757;12109;17109;12967;13729;;;;;;
Чукотский автономный округ;883;1189;1540;2134;2601;3670;4655;5319;6893;8594;11663;13835;15211;16843;18562;20132;22287;22568;27568;23486;24291;;;;;;
??????;;;;;;;;;;;;;;;;;;;;;;;;;;;
1) По данным Пенсионного Фонда Российской Федерации.;;;;;;;;;;;;;;;;;;;;;;;;;;;
2) Единовременная денежная выплата, назначенная в соответствии с Федеральным законом от 22 ноября 2016 г.  № 385-ФЗ в размере 5 тысяч рублей.;;;;;;;;;;;;;;;;;;;;;;;;;;;
3) Данные за 2000 - 2018 гг. по Сибирскому и Дальневосточному федеральным округам приведены в составе субъектов Российской Федерации до вступления в силу Указа Президента Российской Федерации от 3 ноября 2018 г. № 632.;;;;;;;;;;;;;;;;;;;;;;;;;;;
