Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;
20.  ФИНАНСЫ;;;;;;;;;;;;;;;;;;;;
20.14. ЗАДОЛЖЕННОСТЬ ПО КРЕДИТАМ В РУБЛЯХ, ПРЕДОСТАВЛЕННЫМ КРЕДИТНЫМИ ОРГАНИЗАЦИЯМИ ФИЗИЧЕСКИМ ЛИЦАМ1);;;;;;;;;;;;;;;;;;;;
20.14.1. Всего;;;;;;;;;;;;;;;;;;;;
"(исходя из местонахождения заемщиков; на начало года;  миллионов рублей)";;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Камчатский край;60;124;196;258;630;1121;2133;3750;5436;7106;6455;8120;13305;20935;26509;30712;29372;30772;34653;43085
Приморский край;130;348;686;1089;2366;5839;9585;17220;28484;38456;34203;44633;65351;98268;136807;141862;131856;133377;151156;185967
Хабаровский край;124;216;498;952;2200;5194;9525;16704;29436;39746;37836;47930;65927;97208;110480;126044;114000;112051;124143;148116
Амурская область;88;275;688;1126;2379;4753;7483;11713;16777;21779;18092;24775;36373;52984;66974;75274;67890;67109;72379;86063
Магаданская область;29;67;118;184;446;818;1617;2573;3303;4357;4026;5732;8869;12766;16546;18938;17749;18795;20918;24952
Сахалинская область;19;51;205;326;633;1837;3001;5730;8961;12130;12118;16079;23919;35487;46524;52012;47723;49571;56273;69150
Еврейская автономная область;9;26;95;160;295;567;1008;1762;2538;3426;3130;3665;5457;8004;10824;11959;10859;10697;11612;14015
Чукотский автономный округ;4;8;19;58;161;203;283;485;667;889;840;897;1477;2602;3314;4207;4200;4640;5454;7160
??????;;;;;;;;;;;;;;;;;;;;
1) С 2011 г. – без учета индивидуальных предпринимателей. ;;;;;;;;;;;;;;;;;;;;
