Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;
12. ПРЕДПРИЯТИЯ И ОРГАНИЗАЦИИ ;;;;;;;;;;;;;;;;;;;;
ФИНАНСОВЫЕ РЕЗУЛЬТАТЫ ДЕЯТЕЛЬНОСТИ ОРГАНИЗАЦИЙ ;;;;;;;;;;;;;;;;;;;;
12.6. УДЕЛЬНЫЙ ВЕС УБЫТОЧНЫХ ОРГАНИЗАЦИЙ1);;;;;;;;;;;;;;;;;;;;
(в процентах от общего числа организаций);;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;
Кемеровская область;44,4;46,6;49,9;49,0;40,9;36,1;34,1;27,9;28,6;34,1;31,5;31,1;34,2;36,8;39,7;36,6;36,5;35,0;33,7;
Новосибирская область;33,0;31,8;41,3;40,5;37,1;37,4;28,9;21,5;24,5;30,6;27,0;27,0;28,6;31,5;32,4;34,6;32,1;30,8;32,1;
Омская область;50,2;45,7;56,9;52,1;40,2;42,3;37,9;25,2;31,7;37,4;33,9;30,2;29,3;27,1;26,6;26,5;27,2;24,0;25,0;
Томская область;47,2;43,9;48,9;46,2;39,0;34,8;30,5;25,8;32,5;36,7;34,1;31,5;26,5;27,9;29,8;27,8;24,1;24,1;26,5;
Дальневосточный федеральный округ;46,6;43,8;47,1;47,7;44,4;41,6;39,1;32,1;34,0;32,9;32,8;32,9;31,3;34,7;37,9;36,2;32,3;35,1;37,6;
Республика Бурятия;60,3;58,4;56,2;55,6;45,1;43,3;36,2;24,9;29,4;36,1;25,4;30,3;31,3;26,5;31,2;30,8;33,7;33,0;34,5;
Республика Саха(Якутия);52,2;53,9;57,0;53,1;51,4;43,3;43,5;37,0;35,6;40,1;35,8;36,0;33,1;37,3;37,5;33,2;33,2;31,2;31,3;
Забайкальский край;65,1;55,6;50,1;54,0;48,1;51,4;45,6;37,4;37,4;37,6;35,3;35,3;35,7;34,3;41,1;47,1;42,2;41,6;41,7;
Камчатский край;44,5;46,0;49,0;48,1;48,4;43,3;43,1;37,9;39,7;31,0;32,3;39,0;36,3;39,6;41,3;36,4;26,6;31,9;34,5;
Приморский край;42,7;39,5;42,8;44,4;38,8;38,0;34,2;25,5;27,2;25,7;26,0;25,0;27,3;29,3;34,0;33,1;30,8;32,5;33,6;
Хабаровский край;38,0;33,6;36,0;38,8;33,0;38,6;35,5;29,3;35,0;35,1;35,7;33,7;29,0;33,4;41,2;40,4;33,5;38,5;44,1;
Амурская область;53,1;45,0;47,4;51,8;47,3;43,1;41,0;33,3;31,0;28,7;26,3;27,3;30,8;33,1;38,4;36,4;34,1;36,1;42,1;
Магаданская область;47,0;44,8;49,0;50,3;47,7;44,5;43,4;40,7;39,7;39,3;34,7;31,2;37,7;47,4;46,2;40,9;34,5;38,3;47,7;
Сахалинская область;50,7;45,2;49,5;48,2;48,1;45,9;42,0;32,4;39,2;30,8;34,5;40,3;31,8;37,1;36,0;33,1;27,6;35,6;36,1;
Еврейская автономная область;48,4;47,5;56,5;56,5;56,5;46,9;40,2;28,6;39,8;35,9;50,6;43,3;42,2;37,8;41,8;47,6;41,5;47,4;48,5;
Чукотский автономный округ;70,3;57,4;51,6;45,6;47,6;42,9;29,4;44,8;32,4;37,5;46,1;48,0;36,8;43,0;43,9;47,6;45,2;48,5;51,6;
??????;;;;;;;;;;;;;;;;;;;;
1) По данным бухгалтерской отчетности.;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
