Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
14. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;;;;;;;;;;;;;;;;
СЕЛЬСКОЕ ХОЗЯЙСТВО;;;;;;;;;;;;;;;;;;;
ОСНОВНЫЕ ПОКАЗАТЕЛИ СЕЛЬСКОГО ХОЗЯЙСТВА;;;;;;;;;;;;;;;;;;;
"14.3. ОСНОВНЫЕ ФИНАНСОВЫЕ ПОКАЗАТЕЛИ ОРГАНИЗАЦИЙ, ОСУЩЕСТВЛЯЮЩИХ ДЕЯТЕЛЬНОСТЬ В РАСТЕНИЕВОДСТВЕ И ЖИВОТНОВОДСТВЕ1);2)";;;;;;;;;;;;;;;;;;;
14.3.3. Рентабельность проданных товаров, продукции (работ, услуг) организаций. Растениеводство;;;;;;;;;;;;;;;;;;;
  (процентов);;;;;;;;;;;;;;;;;;;
;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;;;;;
Челябинская область;-8,3;7,6;18,5;11,4;-2,3;-4,1;1,8;9,3;-4,9;-12,0;13,4;4,6;4,8;5,8;;;;;
Сибирский    федеральный округ;1,7;3,6;16,3;20,4;5,6;11,8;12,6;6,3;6,0;10,3;20,6;19,9;12,4;10,6;;;;;
Республика Алтай;21,3;19,2;42,0;41,7;65,5;26,1;40,6;65,7;34,8;1,6;28,5;12,6;-16,7;-;;;;;
Республика Тыва;-12,6;-14,3;-9,9;-7,4;0,9;-17,6;-20,2;-10,5;7,9;-58,6;11,5;10,4;12,0;7,1;;;;;
Республика Хакасия;2,1;-12,6;1,1;11,2;10,5;13,6;2,6;-3,7;-10,6;-10,6;-8,2;-0,9;-;-;;;;;
Алтайский край;0,2;3,9;20,5;20,1;9,9;24,1;20,1;8,1;10,7;14,2;31,3;36,2;20,0;18,3;;;;;
Красноярский край;5,2;-2,5;12,5;31,5;9,0;4,3;9,6;11,4;8,6;8,6;23,5;21,5;6,6;12,6;;;;;
Иркутская область;2,8;6,5;10,0;9,1;2,5;0,8;-6,1;-3,1;-3,4;-1,6;-8,2;-7,7;-8,0;-2,7;;;;;
Кемеровская область;6,2;3,5;4,9;13,7;5,1;13,3;9,7;-1,8;-5,3;23,3;8,1;-4,3;20,4;31,3;;;;;
Новосибирская область ;2,9;5,1;20,0;28,7;9,0;9,7;14,5;14,5;5,3;15,3;17,0;19,8;10,8;-1,2;;;;;
Омская область;-1,2;4,8;15,6;13,3;-5,6;2,8;8,5;-2,3;4,0;7,2;17,9;7,0;4,1;2,0;;;;;
Томская область;15,6;22,7;18,5;-3,0;-1,5;5,8;-6,3;-9,8;-10,0;-7,6;8,1;34,0;20,2;3,4;;;;;
Дальневосточный федеральный округ;-4,0;-5,0;-1,2;6,0;7,6;8,2;8,3;10,8;8,5;9,7;19,0;15,8;-1,4;1,3;;;;;
Республика Бурятия;-2,9;1,0;0,0;7,5;6,5;6,7;10,6;13,1;-0,1;4,3;16,9;1,7;2,0;1,4;;;;;
Республика Саха (Якутия);-36,6;-43,0;-39,6;-31,9;-34,1;-30,6;-30,2;-41,9;-47,0;-38,1;-54,5;-56,7;-59,2;-42,7;;;;;
Забайкальский край;-0,2;-9,2;-10,4;-3,3;-4,5;-5,2;-10,8;-9,9;7,9;2,9;11,4;-4,9;3,7;6,4;;;;;
Камчатский край;11,5;6,6;-14,3;16,0;14,9;16,4;21,2;11,9;14,0;17,0;24,0;35,1;-;-;;;;;
Приморский край;-2,6;-4,6;-3,7;-0,7;-0,3;6,6;-3,3;3,1;20,0;13,2;11,6;1,2;-11,4;-9,8;;;;;
Хабаровский край ;-14,5;-10,3;-26,6;-20,0;-16,9;-32,5;-60,5;-; - ;-;-100,0;-62,6;-30,4;-32,4;;;;;
Амурская область;-1,0;-1,3;14,8;16,8;21,5;19,4;20,6;21,8;10,8;15,2;30,6;33,0;9,8;9,8;;;;;
Магаданская область;-;-;-;-;-;-;-;-; - ;-;-;-;-;-;;;;;
Сахалинская область;-5,1;-2,1;-2,2;5,5;-0,7;-2,2;-3,6;-4,0;-6,9;-9,5;-13,6;-16,6;-17,2;-8,5;;;;;
Еврейская автономная область;31,1;34,5;33,9;32,5;28,5;22,1;17,3;32,7;38,6;89,5;57,6;19,0;23,9;32,2;;;;;
Чукотский автономный округ;-43,5;-28,7;-25,6;-7,3;-19,9;-19,4;-23,0;-23,5;-30,2;-25,9;-27,0;-32,7;-32,5;-27,8;;;;;
__________;;;;;;;;;;;;;;;;;;;
1) По данным бухгалтерской отчетности. Знак (-) означает убыток.;;;;;;;;;;;;;;;;;;;
"2) Данные с 2017 г. приведены  в соответствии с Общероссийским классификатором видов экономической деятельности ОК 029-2014 (КДЕС Ред. 2) ОКВЭД2; данные за 2005-2016 гг. - в соответствии с Общероссийским классификатором видов экономической деятельности ОК 029-2007 (КДЕС Ред. 1.1) ОКВЭД-2007. ";;;;;;;;;;;;;;;;;;;
