Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;
20.  ФИНАНСЫ;;;;;;;;;;;;;;;;;;;;
20.10. ВКЛАДЫ (ДЕПОЗИТЫ) ЮРИДИЧЕСКИХ И ФИЗИЧЕСКИХ ЛИЦ В ИНОСТРАННОЙ ВАЛЮТЕ, ПРИВЛЕЧЕННЫЕ КРЕДИТНЫМИ ОРГАНИЗАЦИЯМИ;;;;;;;;;;;;;;;;;;;;
20.10.1. Всего;;;;;;;;;;;;;;;;;;;;
"(исходя из места привлечения средств; на начало года; миллионов рублей)";;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Алтайский край;358;613;957;1630;1631;1793;1887;1573;1880;3904;5731;5017;5768;6408;8364;21788;25580;23922;20560;20895
Красноярский край ;1135;2524;2880;4036;3915;3777;4291;3316;3840;8137;9078;9991;9338;9981;11856;23845;43785;31142;37731;39467
Иркутская область;667;1134;1769;2900;2918;2898;3448;2792;3340;7424;7899;6541;7400;9273;12708;45634;116087;57253;64157;103628
Кемеровская область;824;991;1586;2321;2538;2744;3012;2720;2842;10702;13394;11975;19388;12586;18620;31832;37238;29878;27259;41497
Новосибирская область;711;1237;2177;3343;3564;3691;4402;3527;44133;13122;15376;12915;18547;23115;21160;52801;78141;60745;50964;76380
Омская область;425;862;1477;2340;2441;2222;2618;2300;2831;7894;8261;6815;6787;7954;8966;17839;29545;22143;18916;20833
Томская область;355;687;932;1411;1781;1523;1797;1385;1609;3752;5706;4570;5423;6022;6592;14136;26261;18216;16010;15771
Дальневосточный   федеральный округ;3594;5752;8359;14441;16050;18441;23054;17935;17917;36976;39199;39703;42835;52092;52353;150832;310028;214205;131279;168981
Республика Бурятия;70;130;193;354;330;463;423;357;382;822;1127;950;1166;1936;1741;12073;17797;8968;8539;5661
Республика Саха (Якутия);683;939;850;1322;1441;1412;1565;962;869;2186;2182;1719;1797;2019;1918;5429;8876;6272;5620;9797
Забайкальский край;155;229;315;493;478;546;602;514;688;1018;1106;911;1011;1316;1161;3618;4308;3775;3628;4262
Камчатский край;338;380;608;787;802;1383;1584;1276;1100;2189;2413;2259;2574;3054;4381;7291;10655;7836;9420;9910
Приморский край;795;1772;2094;4366;5367;5559;7551;6498;6004;11441;14234;17888;17468;17778;19808;45639;88855;49433;43293;68599
Хабаровский край;792;1381;2592;4254;4566;5661;6900;4945;4598;12088;9846;8857;10779;10424;12942;50928;121150;100060;30246;27725
Амурская область;146;251;384;579;595;587;715;618;1737;1868;1587;1439;1410;1807;1561;5160;9168;7979;6539;8587
Магаданская область;391;533;952;1520;1507;811;845;526;450;1067;1876;1297;1619;2658;1719;6135;19122;10924;5982;6863
Сахалинская область;197;135;336;665;863;1775;2569;2045;1895;3930;4461;4162;4742;10661;6689;13436;28562;17698;16929;26445
Еврейская автономная область;21;2;5;20;29;128;179;112;153;237;214;167;196;316;342;814;1093;933;740;775
Чукотский автономный округ;6;0,0;30;81;72;116;121;82;41;130;153;54;73;123;91;309;442;327;344;357
