Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;
 3. УРОВЕНЬ ЖИЗНИ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;
ДЕНЕЖНЫЕ ДОХОДЫ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;
3.11. ВЕЛИЧИНА ПРОЖИТОЧНОГО МИНИМУМА, УСТАНОВЛЕННАЯ В ЦЕЛОМ ПО РОССИЙСКОЙ ФЕДЕРАЦИИ1) И В СУБЪЕКТАХ РОССИЙСКОЙ ФЕДЕРАЦИИ2)  ;;;;;;;;;;;;;;;;;;
"( за  IV квартал; в среднем на душу населения; рублей в месяц)";;;;;;;;;;;;;;;;;;
;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Тюменская область без автономных округов;...;...;…;2428;2727;3555;3983;4717;5297;5651;6325;6623;7716;8470;9692;9855;10197;10450
Челябинская область;1620;1833;2046;2303;2571;2939;3578;4320;4595;5234;5552;6149;6936;7944;9038;8984;8962;9330
Сибирский            федеральный округ;;;;;;;;;;;;;;;;;;
Республика Алтай;1445;1812;2103;2458;3016;3841;4525;5512;6670;5612;5870;6505;6924;8175;9260;9353;9405;9752
Республика Тыва;1749;1956;2336;2659;3105;3321;4019;4581;5084;5622;5994;6462;8137;8624;9564;9775;9342;9949
Республика Хакасия;1703;1949;2169;2464;2899;3275;3723;4448;4890;5434;5895;6405;7101;8006;8905;8958;9133;9876
Алтайский край;1339;1514;1823;2095;2375;3049;3561;4510;5113;5871;5943;6257;6561;7580;8785;8708;8657;9334
Красноярский край5);...;2084;2579;2865;3250;3716;4178;5232;5889;6557;7028;7715;8249;9186;10598;10821;11043;11642
Иркутская область6);1743;2066;2428;2706;2948;3373;3940;4743;5163;5667;6086;6557;7768;8629;9814;9862;9825;10698
Кемеровская область;1671;2010;2157;2376;2673;2933;3565;4099;4260;4811;5151;5698;6682;7569;8566;8748;8879;9108
Новосибирская  область;1702;2086;2317;2573;3005;3674;4210;4927;5391;6000;6482;6989;7764;8945;10117;10225;10316;10552
Омская область;1439;1782;2012;2153;2898;3375;3929;4528;4869;5028;5258;5773;6302;7253;8338;8442;8464;8942
Томская область;1559;1980;2481;2774;3212;3572;4131;4812;5644;6139;6541;7077;7765;8691;10387;10262;10379;10595
Дальневосточный     федеральный округ;;;;;;;;;;;;;;;;;;
Республика Бурятия;…;2024;2371;2974;3372;4014;4148;4647;4968;5643;6229;6766;7301;8263;9259;9247;9563;10395
Республика Саха (Якутия);…;3091;3677;4153;4851;5456;6733;7516;8627;9207;10028;10682;11923;13332;15515;16080;16610;16667
Забайкальский край7) ;1900;2250;2635;2782;2913;3588;3999;4647;5280;5757;6368;6784;7670;8636;10162;10208;10590;11284
Камчатский край8);3050;3700;3715;4209;6112;6688;7557;9727;10890;12230;12584;13395;14384;15786;18427;19451;19220;19741
Приморский край;...;2603;2924;3259;3970;4423;5111;6071;6401;6865;7336;7839;9649;10683;12535;12456;12158;12623
Хабаровский край;...;…;3092;3662;4331;4854;5443;6902;7993;8676;9039;9482;10182;11495;13427;12910;12954;13497
Амурская область;1889;2209;2636;3091;3771;4353;5026;5688;6402;7163;7950;8369;9251;9539;11555;11374;11203;11172
Магаданская область;...;…;3562;4008;4756;5329;6276;7506;8638;9236;10249;11001;14084;15415;17469;17764;17635;18910
Сахалинская область;...;3351;3887;4435;5118;5974;6606;7531;8362;9084;9864;10034;11083;12213;13533;13728;13329;14072
Еврейская автономная область;1799;2200;2593;2940;3594;3894;4674;5386;6116;6752;7394;8252;9532;10670;12228;12574;12161;13051
Чукотский автономный округ;…;…;5744;6382;7365;8379;8974;9856;10818;10961;11428;12157;14766;13571;16845;17775;20149;21606
??????;;;;;;;;;;;;;;;;;;
"1) 2000 г. по Российской Федерации – 1285 рублей в месяц. 
С 2000 г. - изменена методология расчета величины прожиточного минимума; приведены данные, установленные Правительством Российской Федерации в соответствии с Федеральным законом от 24 октября 1997 г. № 134-ФЗ ""О прожиточном минимуме в Российской Федерации"". 
С 2017 г.- приведены данные, установленные Минтрудом России в соответствии с Федеральным законом от 24 октября 1997 г. № 134-ФЗ ""О прожиточном минимуме в Российской Федерации"".
С 2005 г. - изменен состав потребительской корзины для определения величины прожиточного минимума на основании Федерального закона от 31 марта 2006 г. № 44-ФЗ ""О потребительской корзине в целом по Российской Федерации"". 
С 2013 г. - изменен порядок расчета величины прожиточного минимума на основании Федерального закона от 3 декабря 2012 г. № 233-ФЗ ""О внесении изменений в Федеральный закон ""О прожиточном минимуме в Российской Федерации"" и состав потребительской корзины для определения величины прожиточного минимума на основании Федерального закона от 3 декабря 2012 г. № 227-ФЗ ""О потребительской корзине в целом по Российской Федерации"". 
";;;;;;;;;;;;;;;;;;
"2) С 2000 г. - изменена методология расчета величины прожиточного минимума; приведены данные, установленные органами  исполнительной власти субъектов Российской Федерации. 
С 2005 г. - изменен состав потребительской корзины для определения величины прожиточного минимума. 
С  2013 г. -   изменен порядок расчета величины прожиточного минимума и состав потребительской корзины –  в порядке установленном законами субъектов Российской Федерации. 
";;;;;;;;;;;;;;;;;;
3) Величина прожиточного минимума органами власти не устанавливается.;;;;;;;;;;;;;;;;;;
4) До 2006 г. - Пермская область без учета Коми-Пермяцкого автономного округа.;;;;;;;;;;;;;;;;;;
5) До 2008 г. - Красноярский край без учета Таймырского (Долгано-Ненецкого) и Эвенкийского автономных округов.;;;;;;;;;;;;;;;;;;
6) До 2008 г. - Иркутская область без учета Усть-Ордынского Бурятского автономного округа.;;;;;;;;;;;;;;;;;;
7) До 2009 г. - Читинская область без учета Агинского Бурятского автономного округа.;;;;;;;;;;;;;;;;;;
8) До 2007 г. - Камчатская область без учета Корякского автономного округа.;;;;;;;;;;;;;;;;;;
