Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;
9. ВАЛОВОЙ РЕГИОНАЛЬНЫЙ ПРОДУКТ;;;;;;;;;;;;;;;;;;
9.2. ВАЛОВОЙ РЕГИОНАЛЬНЫЙ ПРОДУКТ на душу населения ;;;;;;;;;;;;;;;;;;
(рублей);;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Тюменская область;176917,9;232236,3;275622,5;341146,7;467803,8;673208,3;773076,2;831305,3;934229,6;852920,0;973332,6;1198186,0;1327227,1;1402915,6;1485863,5;1626160,4;1651995,9;1900322,7
в том числе:;;;;;;;;;;;;;;;;;;
Ханты-Мансийский автономный   округ – Югра;…;…;…;496127,8;655886,9;955182,6;1083321,7;1165266,9;1293353,6;1175747,8;1289497,0;1575300,0;1719109,2;1715722,4;1782617,7;1947653,2;1874919,6;2127213,5
Ямало-Ненецкий автономный округ;…;…;…;555559,1;693795,0;856078,1;1051708,7;1137450,8;1374235,3;1240827,1;1491259,7;1820301,3;2209803,4;2544898,0;3025745,6;3336453,4;3785451,6;4581150,1
Тюменская область без автономных округов;;;;;;;;;;;;522064,8;532020,4;604921,2;564680,5;628098,5;624651,6;680908,9
Челябинская область;33012,3;39216,5;47775,7;61444,7;81894,8;99159,8;127442,5;164797,5;190565,5;159901,0;187673,7;222664,2;241758,0;252988,8;284486,7;345597,1;363023,3;385559,9
Сибирский    федеральный округ;33682,1;41674,5;49329,1;60661,4;82567,8;99628,4;125748,5;154701,9;178421,2;175845,6;214401,6;249420,1;269171,0;287293,8;317784,6;353119,2;367221,8;401808,8
Республика Алтай;13505,1;22164,4;26160,6;34042,3;42067,6;43592,3;57555,4;74633,6;91713,1;97112,1;108729,5;127150,1;145400,1;157887,4;184281,7;196639,2;204849,5;204895,4
Республика Бурятия;21555,1;30314,6;38524,0;53479,2;65707,2;77313,2;94965,1;111354,0;129145,4;125172,5;137564,9;158136,6;169552,9;181828,2;191043,9;206880,3;201615,4;204770,0
Республика Тыва;11749,3;17012,1;22421,0;26607,4;32309,0;38429,7;50051,7;63959,4;78381,0;87889,5;99999,9;108178,0;120582,9;132745,7;146906,9;150265,5;166415,7;184592,7
