Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;;;;
18. ИНФОРМАЦИОННЫЕ И КОММУНИКАЦИОННЫЕ ТЕХНОЛОГИИ;;;;;;;;;;;;;;;;;;;;;;;
18.8. ЧИСЛО ПОДКЛЮЧЕННЫХ АБОНЕНТСКИХ УСТРОЙСТВ МОБИЛЬНОЙ СВЯЗИ на 1000 человек населения;;;;;;;;;;;;;;;;;;;;;;;
"(на конец года; штук)";;;;;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;;;;
в том числе:;;;;;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский автономный    округ – Югра;...;22,0;37,0;210,0;532,0;1000,6;1146,7;1388,2;1609,5;1591,6;1822,3;1976,0;2041,1;2153,5;2000,6;2163,9;2178,1;1974,8;1968,4;;;;
Ямало-Ненецкий автономный округ;...;3,0;9,0;151,0;485,0;887,8;1201,6;1532,0;1801,5;1797,4;2159,3;2366,9;2464,6;2570,7;2469,0;2683,7;2609,5;2314,2;2303,4;;;;
Тюменская область без автономных округов;18,0;7,0;37,0;168,0;502,0;964,0;1090,1;1212,6;1384,0;1374,6;1652,3;1738,6;1796,1;2000,9;2032,6;2147,8;2075,1;2069,0;2181,5;;;;
Челябинская область;5,0;16,0;52,0;170,0;522,0;922,7;1153,1;1307,4;1532,5;1533,8;1696,9;1752,5;1759,5;1951,9;1877,0;1951,4;2079,7;1833,7;1941,1;;;;
Сибирский       федеральный округ;7,0;22,0;61,0;151,0;362,0;721,9;952,3;1161,2;1316,1;1315,9;1477,3;1636,0;1676,9;1698,1;1684,3;1777,0;1905,8;1832,4;1805,8;;;;
Республика Алтай;1,0;1,0;17,0;74,0;183,0;403,7;621,0;761,7;1028,4;1024,9;1231,2;1445,1;1453,3;1472,9;1471,2;1518,2;1487,9;1466,9;1445,5;;;;
Республика Тыва;...;...;...;...;13,0;257,8;540,7;758,2;942,2;936,0;1230,9;1478,4;1468,8;1345,7;1308,0;1399,3;1279,4;1208,4;1174,7;;;;
Республика Хакасия;1,0;1,0;2,0;14,0;113,0;404,4;862,8;1176,7;1424,9;1422,6;1994,1;1826,5;1845,7;1895,5;1759,6;1839,9;1800,0;1981,7;1981,8;;;;
Алтайский край;3,0;5,0;22,0;76,0;248,0;555,6;802,7;943,7;1151,7;1155,6;1267,4;1354,3;1347,1;1369,8;1505,1;1588,9;1604,5;1676,5;1644,0;;;;
