Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;;;;;
 3. УРОВЕНЬ ЖИЗНИ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;;;;;;;
ДЕНЕЖНЫЕ ДОХОДЫ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;;;;;;;
 3.7. ЧИСЛЕННОСТЬ ПЕНСИОНЕРОВ1);;;;;;;;;;;;;;;;;;;;;;;;
3.7.1. Всего;;;;;;;;;;;;;;;;;;;;;;;;
(тысяч человек);;;;;;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;;;;
Республика Бурятия;231;230;231;230;228;229;231;231;229;235;240;243;246;249;251;254;261;262;265;268;;;;
Республика Саха (Якутия);198;203;206;199;207;212;218;224;229;232;237;244;250;254;257;261;268;271;274;276;;;;
Забайкальский край;267;268;272;270;269;266;267;266;265;266;269;275;278;280;282;284;286;288;289;288;;;;
Камчатский край;78;79;81;82;83;85;86;87;88;88;90;91;92;92;93;93;93;93;93;93;;;;
Приморский край;485;490;497;496;500;504;506;507;511;512;518;524;527;531;535;537;543;545;545;546;;;;
Хабаровский край;353;355;359;362;361;363;366;367;368;371;376;382;383;385;386;386;388;388;386;385;;;;
Амурская область;208;210;213;211;212;213;215;217;221;222;226;228;230;231;232;233;235;235;234;235;;;;
Магаданская область;47;46;46;46;45;46;46;46;46;46;46;47;47;47;47;46;46;46;45;45;;;;
Сахалинская область;146;150;151;152;154;155;157;156;157;156;160;160;162;162;163;163;165;165;165;165;;;;
Еврейская автономная   область;43;43;44;44;44;44;45;44;44;45;46;47;47;47;47;47;47;47;47;47;;;;
Чукотский автономный округ;14;14;13;12;12;12;12;13;13;14;14;14;14;14;15;15;15;15;15;15;;;;
??????;;;;;;;;;;;;;;;;;;;;;;;;
1) По данным Пенсионного Фонда Российской Федерации, данные приведены по состоянию на 1 января отчетного года.;;;;;;;;;;;;;;;;;;;;;;;;
2) Данные за 2000 - 2018 гг. по Сибирскому и Дальневосточному федеральным округам приведены в составе субъектов Российской Федерации до вступления в силу Указа Президента Российской Федерации от 3 ноября 2018 г. № 632.;;;;;;;;;;;;;;;;;;;;;;;;
