Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;;
10. ОСНОВНЫЕ ФОНДЫ;;;;;;;;;;;;;;;;;;;;;
10.1. СТОИМОСТЬ ОСНОВНЫХ ФОНДОВ1) ;;;;;;;;;;;;;;;;;;;;;
"(на конец года; по полной учетной стоимости; миллионов рублей)";;;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;;
Астраханская область;110982;158920;177818;215272;230042;275408;315059;367910;466376;529737;623538;747640;808160;850132;912745;1053750;1357230;1498692;1653054;;
Волгоградская область;227818;279884;360671;450274;471854;540678;621663;879288;1047580;1115884;1200283;1346669;1462441;1570668;1735392;1818202;2069566;2180917;2326149;;
Ростовская область;326991;400418;477972;600908;649308;746866;830392;1007353;1165933;1331221;1514042;1751414;1880446;2003572;2085372;2355619;2583782;2786870;3049823;;
г. Севастополь;;;;;;;;;;;;;;;9193;41435;274808;304437;338376;;
Северо-Кавказский    федеральный округ;538669;624186;735870;853445;902083;1053567;1139523;1573198;1824682;2058011;2317317;2637978;2933644;3272961;3601090;4032053;4515820;4816874;5220064;;
Республика Дагестан;176853;188752;228062;242053;256898;312331;339844;431688;525036;610455;702603;821966;877939;985711;1213120;1355843;1570561;1627996;1762966;;
Республика Ингушетия ;5739;7313;9425;13783;17310;24538;25310;40475;38864;40638;45758;40918;49517;65741;73001;88438;101859;119375;138700;;
Кабардино-Балкарская Республика;51765;54237;68057;79410;80069;85088;90672;105499;120959;135976;158744;185443;202099;217265;223801;240069;253447;272146;305327;;
Карачаево-Черкесская Республика;33788;41419;42799;58170;60474;64592;68159;91481;101153;112083;116719;126319;142438;158477;166250;189172;198664;210594;226477;;
Республика Северная Осетия – Алания;46347;54197;65384;86484;91942;96529;98675;113037;119133;151730;171315;182119;187258;197435;204596;232170;247890;271077;280203;;
Чеченская Республика ;…;…;…;…;…;…;… ;185769;189968;207814;231128;300776;330596;404275;413687;425937;468184;538579;600232;;
Ставропольский край;224177;278268;322143;373545;395390;470489;516863;605249;729569;799315;891050;980437;1143797;1244057;1306635;1500424;1675215;1777107;1906159;;
Приволжский   федеральный округ;3570321;4254707;5137048;6046752;6438858;7462180;8456510;10204265;11863782;13202934;14792989;17166375;17906759;19684669;20928321;23031982;25329929;27117289;29013181;;
Республика Башкортостан;432691;511544;581436;672147;721830;868425;974675;1153973;1326927;1485177;1604725;1703359;1799031;2105770;2306755;2519215;2868186;3121321;3380216;;
Республика Марий Эл;102150;88632;88400;103379;112068;133723;141867;170447;193250;204323;225000;264186;286499;314647;330932;358656;404552;418477;470091;;
Республика Мордовия;82806;105478;127103;157478;158416;183836;204886;261867;335090;341899;353809;390900;406047;433918;477197;528791;599727;628911;667344;;
Республика Татарстан;503844;564012;681153;854943;929381;1090879;1236737;1586177;1802843;2132421;2526863;3461464;3110418;3342559;3431206;3921931;4256272;4658900;5033940;;
Удмуртская Республика;184560;220659;254768;278761;315521;368307;394881;484365;553399;592068;650857;753970;817042;870234;974795;1040617;1169614;1245800;1290551;;
Чувашская Республика;122892;162316;177315;225632;231338;253775;285864;372611;422064;456144;493286;561249;589437;654078;664956;715778;760719;790343;807297;;
Пермский край;350217;518656;594356;683649;724508;961938;1113976;1278827;1502190;1605119;1837184;2078245;2199176;2410614;2651647;2900859;3204554;3397061;3576306;;
Кировская область;157730;174541;221679;260069;278400;322973;354452;412082;455558;487604;541725;602726;639525;682835;659265;712522;785413;849714;908090;;
Нижегородская область;310779;359901;477952;560961;606193;688092;834981;1036892;1229632;1388587;1578659;1731930;1947537;2137855;2381528;2579755;2790966;2918512;3068010;;
Оренбургская область;246421;322727;391209;414641;405888;480330;553402;662706;808489;901995;1047515;1259018;1377934;1596988;1652428;1820589;2039846;2198450;2378246;;
