Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;
20.  ФИНАНСЫ;;;;;;;;;;;;;;;;;;;;
20.6. ИСПОЛНЕНИЕ БЮДЖЕТОВ ТЕРРИТОРИАЛЬНЫХ ФОНДОВ ОБЯЗАТЕЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ;;;;;;;;;;;;;;;;;;;;
 20.6.1. Поступление;;;;;;;;;;;;;;;;;;;;
(миллионов рублей);;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;
Приморский край;983,1;1297,1;1967,7;2278,4;2816,7;3549,1;5245,2;6572,0;7771,6;7695,3;8071,6;11678,2;13346,5;17399,9;19767,5;22406,2;22552,8;23584,8;28805,4;
Хабаровский край;960,0;1167,6;1759,6;2096,3;2677,3;3400,9;4116,9;5499,0;7105,0;6507,4;6774,0;10909,8;12839,4;15646,3;16815,0;19023,9;19359,0;20182,8;24310,9;
Амурская область;269,7;496,4;893,4;1069,4;1546,7;2011,8;2438,8;2888,3;3715,8;3537,1;3512,2;5189,5;6662,5;8355,5;9064,0;10555,1;10766,8;11267,9;18727,2;
Магаданская область;172,5;196,3;300,6;381,4;472,0;501,5;687,1;792,0;894,9;1080,9;1136,2;2339,4;2788,1;4458,3;4676,6;4563,0;4458,8;4930,9;5350,7;
Сахалинская область;394,7;431,9;535,4;694,6;813,2;1002,9;1381,7;1646,4;1979,7;2798,3;2789,7;4152,4;8373,3;10626,5;11874,9;13562,3;14481,6;14919,2;18770,8;
Еврейская автономная область;108,9;169,1;243,9;262,6;336,4;428,5;559,7;626,0;671,8;693,9;718,7;1146,6;1263,9;1719,1;1852,9;2266,5;2240,1;2385,6;2855,5;
Чукотский автономный округ;150,5;157,8;367,3;390,6;564,7;605,6;590,2;891,0;1368,3;1323,5;1484,2;1771,0;1893,4;1940,2;1999,3;2225,8;2311,9;2597,5;2405,5;
?????;;;;;;;;;;;;;;;;;;;;
1) 2005 г. – включая данные по ЗАТО.;;;;;;;;;;;;;;;;;;;;
2) 2005 г. – включая данные по Усть-Ордынскому Бурятскому автономному округу – 250,4 млн. руб.;;;;;;;;;;;;;;;;;;;;
