Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;;
9. ВАЛОВОЙ РЕГИОНАЛЬНЫЙ ПРОДУКТ;;;;;;;;;;;;;;;;;;;;;
9.5. ФАКТИЧЕСКОЕ КОНЕЧНОЕ ПОТРЕБЛЕНИЕ ДОМАШНИХ ХОЗЯЙСТВ на душу населения НА ТЕРРИТОРИИ СУБЪЕКТОВ РОССИЙСКОЙ ФЕДЕРАЦИИ;;;;;;;;;;;;;;;;;;;;;
"(в текущих рыночных ценах; рублей)";;;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;;;
г. Севастополь;;;;;;;;;;;;;;;…;169039,8;236128,6;252563,5;;;
Северо-Кавказский     федеральный округ;75971,4;98644,8;126771,1;24622,7;32762,6;45876,7;57283,2;73472,8;95887,5;112861,4;128451,7;149496,3;171349,9;191232,9;207690,5;230319,9;230565,6;242176,5;;;
Республика Дагестан;8257,1;11012,0;15517,5;22397,9;32907,8;47776,6;62893,2;80808,2;113750,0;137592,3;154890,1;170963,3;192256,2;217173,6;235776,2;282707,0;284629,3;298732,4;;;
Республика Ингушетия;6043,2;8834,6;10042,3;11321,0;13835,2;16675,2;26362,5;38613,1;45062,0;50857,7;53477,1;70904,9;79020,0;86974,0;93871,6;95695,0;95945,1;101948,1;;;
Кабардино-Балкарская Республика;14822,7;18772,2;24039,8;29435,1;36457,3;49611,8;57268,4;71056,8;88673,6;101246,7;111985,3;130428,6;143056,7;159191,5;176404,3;195355,1;196377,9;207066,4;;;
Карачаево-Черкесская Республика;13627,8;16806,1;22738,1;27700,2;34446,4;44427,6;58206,2;65455,0;78270,4;88808,7;96716,6;108253,3;115992,2;124245,1;131963,7;136495,7;138001,3;140512,9;;;
Республика Северная Осетия – Алания;15732,3;20666,1;25198,6;29071,3;37488,2;48506,7;60531,6;74411,0;97483,0;111093,3;127222,1;154040,1;171733,2;189221,5;200855,7;217438,7;228259,7;237881,3;;;
Чеченская Республика;…;…;…;…;…;13584,3;14959,3;30503,1;43828,1;61716,0;75381,0;94417,2;112146,6;136617,2;161592,2;184218,0;187277,6;196696,8;;;
Ставропольский край;17488,3;22553,8;29234,8;35751,5;46448,2;60378,1;73297,8;91609,5;112861,1;127607,3;147021,9;176141,4;209664,6;228270,4;242885,9;249101,8;243263,2;256771,9;;;
Приволжский       федеральный округ;19670,4;25781,4;33440,6;39872,4;50226,7;64058,8;81554,7;103415,0;131824,0;139778,5;154912,3;181576,2;202605,5;226056,4;245717,7;250872,4;256633,7;268757,0;;;
Республика Башкортостан;19997,7;26719,1;35310,6;42888,3;55009,8;71170,2;94406,7;120524,8;156548,8;165960,2;179844,7;208211,4;229996,2;257315,1;274394,6;282687,4;286988,6;299983,7;;;
Республика Марий Эл;13404,8;18128,0;22178,5;26584,3;34441,9;41031,7;54553,9;70044,2;89460,9;99430,2;109789,4;125932,2;138261,0;157424,9;174611,6;185591,7;186044,1;193323,0;;;
Республика Мордовия;14037,3;17031,1;21280,7;24943,7;32525,3;40261,1;49689,7;62111,3;81019,3;92397,3;102108,1;113672,8;124474,8;136570,9;148417,2;161059,5;171412,8;180489,1;;;
Республика Татарстан;19955,0;27736,7;36386,1;45036,8;56268,8;72638,7;94067,7;121729,3;154557,2;164892,0;187041,2;226150,1;261126,3;287440,3;306501,1;308159,7;319848,6;336184,0;;;
Удмуртская Республика;17244,7;22620,5;28525,6;32526,6;38976,7;48475,5;61346,0;77423,2;102278,7;111619,6;128480,8;151801,0;170569,9;190059,4;208657,2;218065,4;222464,4;233551,8;;;
Чувашская Республика;13749,8;18423,9;24055,9;28678,3;35777,4;44918,8;56099,6;71390,7;92530,7;102438,8;113142,7;133360,3;145716,9;162469,3;173745,5;182648,4;186323,4;192377,7;;;
Пермский край;23115,3;31014,5;38900,1;46996,3;58472,4;75651,3;101352,8;125773,1;157096,4;166662,0;183758,3;215413,7;232632,7;262055,9;282184,7;277710,3;282342,0;293569,4;;;
Кировская область;16217,2;21320,2;28028,7;31382,8;39346,6;48870,3;59845,6;76308,9;99562,1;105746,0;120941,1;145029,4;164657,8;183428,1;199943,9;212318,0;215829,5;226648,3;;;
