Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 2. ТРУД;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ЗАНЯТОСТЬ И БЕЗРАБОТИЦА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
УРОВЕНЬ БЕЗРАБОТИЦЫ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.9. 1. Уровень безработицы1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"(по данным выборочных обследований рабочей силы; в среднем за год; в процентах)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Республика Ингушетия;30,3;33,4;43,7;55,8;43,5;63,1;57,8;46,6;53,3;53,2;49,7;48,1;47,7;43,7;29,8;30,5;30,2;26,4;26,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Кабардино-Балкарская       Республика;16,9;17,0;19,1;22,8;24,9;23,9;20,8;18,0;17,8;14,6;12,7;10,5;8,9;10,5;9,5;10,1;10,3;10,4;10,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Карачаево-Черкесская       Республика;21,5;18,9;12,1;18,3;17,2;13,8;19,2;18,1;15,9;12,0;10,3;9,8;8,9;9,8;13,0;15,1;14,4;13,5;12,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Республика Северная Осетия – Алания;28,5;16,7;12,6;10,0;11,2;8,8;8,3;9,8;9,8;10,4;9,7;8,3;7,9;8,1;8,6;9,3;9,9;11,8;10,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Чеченская Республика;…;…;…;…;…;…;67,7;52,5;36,0;35,0;43,3;37,3;29,8;26,9;21,5;17,1;15,8;14,0;13,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ставропольский край;13,9;9,7;9,7;10,5;9,4;6,9;8,8;6,5;7,9;8,7;6,9;6,0;5,4;5,6;5,3;5,6;5,7;5,2;5,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Приволжский федеральный округ;9,8;8,4;7,7;7,7;7,9;7,4;6,5;6,1;6,2;8,6;7,6;6,5;5,3;4,9;4,5;4,8;4,8;4,7;4,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Республика Башкортостан;11,6;10,7;8,3;8,2;7,2;7,0;6,5;6,5;5,2;9,2;8,9;7,6;6,1;5,8;5,3;6,1;5,8;5,6;4,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Республика Марий Эл;11,9;9,3;13,6;11,5;9,4;10,0;10,0;9,0;9,1;11,5;10,5;10,1;6,5;5,2;4,8;5,3;6,0;6,1;5,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Республика Мордовия;10,6;10,1;9,4;7,8;5,9;6,6;4,6;3,5;2,7;5,2;5,4;5,2;4,9;4,4;4,2;4,2;4,2;4,2;4,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Республика Татарстан;8,4;6,3;5,3;6,6;7,4;6,7;5,6;5,6;4,9;8,4;6,2;4,7;4,1;4,0;3,9;4,0;3,8;3,5;3,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Удмуртская Республика;9,7;7,4;7,9;6,6;8,0;7,8;8,4;8,1;7,8;8,8;9,3;6,9;6,0;5,7;5,1;5,0;5,2;4,8;4,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Чувашская Республика;9,1;9,5;9,4;8,2;9,8;11,7;8,6;9,0;8,0;11,6;9,5;7,8;5,9;5,7;5,0;5,0;5,3;5,1;5,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Пермский край;10,6;6,9;9,1;7,4;7,3;8,1;7,0;6,5;8,3;9,9;8,3;7,5;6,3;6,5;5,8;6,3;5,8;6,0;5,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Кировская область;8,2;7,7;6,8;7,3;8,6;7,2;7,9;5,8;7,2;10,9;8,6;8,3;7,1;5,6;5,1;5,3;5,4;5,3;5,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Нижегородская область ;7,8;8,2;7,8;6,2;7,4;6,0;5,4;4,5;5,7;7,5;7,7;7,2;5,4;4,3;4,2;4,3;4,3;4,2;4,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Оренбургская область;12,0;8,3;10,3;11,3;11,0;9,2;6,4;7,1;6,9;8,8;7,2;6,3;5,4;4,9;4,4;4,8;4,9;4,5;4,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Пензенская область;11,4;13,7;7,3;9,2;6,7;6,6;6,4;5,2;7,6;8,1;6,4;5,4;4,9;4,8;4,6;4,7;4,6;4,5;4,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Самарская область;10,2;6,1;5,4;4,4;5,3;5,4;4,2;4,1;4,2;6,1;5,8;5,1;3,4;3,2;3,0;3,4;4,1;4,2;3,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Саратовская область;9,8;9,7;7,6;10,6;10,0;9,2;8,2;8,0;7,8;8,8;6,3;6,0;5,4;5,2;4,6;4,7;5,1;4,8;5,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
