Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;
12. ПРЕДПРИЯТИЯ И ОРГАНИЗАЦИИ;;;;;;;;;;;
МАЛОЕ ПРЕДПРИНИМАТЕЛЬСТВО;;;;;;;;;;;
12.3. ИТОГИ ВЫБОРОЧНЫХ ОБСЛЕДОВАНИЙ;;;;;;;;;;;
12.3.4. Оборот малых предприятий1);;;;;;;;;;;
(миллиардов  рублей);;;;;;;;;;;
;2011;2012;2013;2014;2016 2);2017 3);2018;;;;
Республика Тыва;6,2;6,8;6,7;7,8;9,0;8,5;9,0;;;;
Республика Хакасия;26,5;27,7;39,1;39,0;44,3;53,5;66,1;;;;
Алтайский край;264,6;267,9;281,1;290,7;410,2;458,2;514,8;;;;
Красноярский край;362,0;389,9;392,9;435,5;666,0;710,4;895,7;;;;
Иркутская область;308,1;369,9;381,6;388,1;528,0;611,6;633,1;;;;
Кемеровская область;252,6;324,5;326,3;307,8;324,6;387,9;420,0;;;;
Новосибирская область;514,9;508,5;558,2;683,3;894,7;1258,6;1568,1;;;;
Омская область;292,9;338,9;378,0;401,7;395,4;350,1;445,6;;;;
Томская область;120,8;141,6;135,0;143,8;174,6;240,7;281,0;;;;
Дальневосточный федеральный округ;959,7;1026,3;1118,5;1224,4;1973,0;2179;2293,0;;;;
Республика Бурятия;53,1;64,8;63,2;63,1;79,3;87,0;91,7;;;;
Республика Саха (Якутия);87,3;93,0;103,5;121,8;169,2;158,3;184,4;;;;
Забайкальский край;58,2;55,3;63,5;61,5;85,2;83,5;91,9;;;;
Камчатский край;56,6;61,7;68,3;70,5;83,0;95,7;108,1;;;;
Приморский край;325,7;352,0;395,0;410,0;796,3;872,1;903,8;;;;
Хабаровский край;161,4;179,4;193,2;247,1;400,8;506,4;524,1;;;;
Амурская область;72,1;67,9;75,3;77,0;134,7;147,0;161,3;;;;
Магаданская область;33,4;36,3;37,0;39,4;53,3;53,2;60,4;;;;
Сахалинская область;97,1;99,6;101,7;115,6;150,6;150,1;140,5;;;;
Еврейская автономная область;11,6;14,3;14,4;14,3;14,9;17,0;18,4;;;;
Чукотский автономный округ;3,2;2,0;3,4;4,1;5,7;8,7;8,4;;;;
?????;;;;;;;;;;;
"1) По данным выборочных обследований малых предприятий и микропредприятий. 
";;;;;;;;;;;
2) С 2016 года перечни субъектов малого предпринимательства для организации федеральных статистических наблюдений формируются, согласно статьи 5 Федерального закона от 24 июля 2007 г. № 209-ФЗ, на основе сведений, внесенных в Единый реестр субъектов малого и среднего предпринимательства (ЕРМСП). Данные за 2016 г. сформированы без учета изменений критериев отнесения организаций к субъектам малого и среднего предпринимательства, установленных Федеральными законами от 29 декабря 2015 г.  № 408-ФЗ, от 23 июня  2016 г. № 222-ФЗ, от 03 июля 2016 г. № 265-ФЗ и постановления Правительства Российской Федерации от 4 апреля 2016 г.  №265. ;;;;;;;;;;;
3) Данные за 2017 г. сформированы без учета изменений критериев отнесения организаций к субъектам малого и среднего предпринимательства, установленных Федеральными законами от 23 июня 2016 г. №222-ФЗ,  от 3 июля 2016 г. №265-ФЗ, от 26 июля 2017 г. №207-ФЗ. ;;;;;;;;;;;
