Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;;;;;
15. СТРОИТЕЛЬСТВО;;;;;;;;;;;;;;;;;;;;;;;;
СТРОИТЕЛЬНАЯ ДЕЯТЕЛЬНОСТЬ;;;;;;;;;;;;;;;;;;;;;;;;
15.1. ЧИСЛО ДЕЙСТВУЮЩИХ СТРОИТЕЛЬНЫХ ОРГАНИЗАЦИЙ ;;;;;;;;;;;;;;;;;;;;;;;;
(на конец года);;;;;;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;;;;;
Республика Бурятия;531;580;382;431;528;487;656;657;801;898;933;1131;1353;1557;1606;1674;1720;1600;1223;;;;;
Республика Саха (Якутия);922;533;641;703;653;653;699;776;882;1104;1020;2073;2752;3055;3150;1596;2670;2654;2559;;;;;
Забайкальский край;417;336;318;316;312;317;315;336;344;338;329;335;343;339;330;335;314;332;327;;;;;
Камчатский край;261;233;230;210;269;208;284;336;386;317;416;555;744;789;787;932;1032;864;880;;;;;
Приморский край;937;1201;1144;1483;2021;1894;2082;2230;2474;2595;2746;2850;3021;3081;3129;3650;4308;4073;4197;;;;;
Хабаровский край;1740;1543;1573;1097;953;943;983;923;877;894;915;1270;1279;1310;1280;1742;1744;1715;1769;;;;;
Амурская область;601;560;618;444;475;444;640;714;906;968;924;873;808;806;811;848;1510;1433;1367;;;;;
Магаданская область;295;309;276;245;202;148;133;128;111;121;123;173;167;167;150;160;164;164;118;;;;;
Сахалинская область;574;556;546;558;453;374;551;529;614;1128;1401;1008;1166;1291;1534;1190;1636;1528;1784;;;;;
Еврейская автономная область;62;31;31;45;60;67;92;122;160;186;186;243;237;276;229;221;251;195;163;;;;;
Чукотский автономный округ;65;43;13;12;43;57;42;41;31;20;11;31;31;9;19;31;18;18;27;;;;;
