Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;
14. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;;;;;;;;;;;;;;;;;
СЕЛЬСКОЕ ХОЗЯЙСТВО;;;;;;;;;;;;;;;;;;;;
ОСНОВНЫЕ ПОКАЗАТЕЛИ СЕЛЬСКОГО ХОЗЯЙСТВА;;;;;;;;;;;;;;;;;;;;
"14.3. ОСНОВНЫЕ ФИНАНСОВЫЕ ПОКАЗАТЕЛИ ОРГАНИЗАЦИЙ, ОСУЩЕСТВЛЯЮЩИХ ДЕЯТЕЛЬНОСТЬ В РАСТЕНИЕВОДСТВЕ И ЖИВОТНОВОДСТВЕ1);2)";;;;;;;;;;;;;;;;;;;;
14.3.4. Рентабельность проданных товаров, продукции (работ, услуг) организаций. Животноводство;;;;;;;;;;;;;;;;;;;;
(процентов);;;;;;;;;;;;;;;;;;;;
;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;;;;;;
Нижегородская область ;11,3;6,1;6,0;3,4;0,9;-0,2;-4,3;-0,8;-2,9;6,4;5,3;6,0;8,5;7,6;;;;;;
Оренбургская область;12,9;7,7;12,3;9,4;12,6;2,8;0,0;9,2;-3,5;8,3;4,8;2,0;6,4;0,1;;;;;;
Пензенская область;19,2;24,2;30,3;23,5;36,7;30,6;16,1;18,8;5,1;20,0;10,9;5,6;16,9;12,1;;;;;;
Самарская область;10,4;9,7;8,1;1,8;3,5;-11,2;-5,0;4,3;-3,3;-1,0;6,1;0,1;-1,2;-11,4;;;;;;
Саратовская область;8,8;2,3;11,9;6,6;5,9;0,1;-0,3;4,0;3,3;10,9;11,8;11,0;7,3;10,7;;;;;;
Ульяновская область;-8,6;-2,3;7,3;12,1;5,0;-3,9;2,2;6,8;11,7;3,6;5,4;1,2;8,1;17,5;;;;;;
Уральский       федеральный округ;9,5;11,3;8,2;5,1;3,9;5,7;3,9;6,1;-0,9;10,5;10,4;6,9;7,5;7,6;;;;;;
Курганская область;1,9;11,2;12,1;13,4;-5,0;-3,5;0,4;3,9;-3,8;-1,1;7,5;9,1;6,5;7,0;;;;;;
Свердловская область ;7,9;8,9;6,0;4,4;3,2;7,1;4,2;3,4;-2,1;8,8;10,5;6,8;5,7;6,5;;;;;;
Тюменская область;4,6;6,7;4,6;3,1;-2,2;-0,8;0,9;1,7;-2,6;6,2;10,2;4,9;6,1;2,2;;;;;;
в том числе:;;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;-21,7;-32,2;-32,1;-24,5;-31,0;-34,1;-31,1;-25,7;-40,5;-28,0;-25,2;-32,7;-31,2;-28,1;;;;;;
Ямало-Ненецкий автономный округ;-39,3;-39,5;-53,7;-53,8;-56,5;-55,4;-59,9;-64,2;-59,6;-64,3;-66,2;-64,4;-60,9;-69,1;;;;;;
Тюменская область    без автономных округов;12,1;14,8;6,4;9,1;3,3;4,6;7,5;7,7;3,0;11,9;15,7;9,7;11,2;7,6;;;;;;
Челябинская область;18,5;18,5;13,6;6,7;10,3;9,8;6,1;12,5;1,9;14,8;10,6;7,6;9,4;10,7;;;;;;
Сибирский    федеральный округ;13,0;12,6;13,2;11,2;11,2;13,0;11,8;11,1;5,0;14,3;12,7;9,8;9,9;9,0;;;;;;
Республика Алтай;9,5;5,5;9,6;-8,0;-10,0;-7,7;3,8;-6,2;-11,8;-1,4;1,4;9,2;-4,0;-10,0;;;;;;
Республика Тыва;-9,7;-11,5;-16,4;-30,0;-32,9;-25,9;-26,4;-34,5;-28,8;-17,1;-13,1;-3,6;-3,3;-1,9;;;;;;
Республика Хакасия;10,1;10,2;6,0;-8,1;-8,7;-2,2;-5,5;2,0;-7,9;-3,3;-2,8;-2,4;6,8;-1,3;;;;;;
