СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2017 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ПОКАЗАТЕЛИ ;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;
10. СИСТЕМА НАЦИОНАЛЬНЫХ СЧЕТОВ*);;;;;;;;;;;;;;;;;;;;;;;;;;;;
Показатели национальных счетов;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Валовой национальный  доход;1398,5;18621,5;168867,0;605385,9;1412717,5;1978924,0;2292045,6;2514429,4;4631958,1;7116553,4;8819938,9;10623849,4;12806796,7;16658960,3;21070760,4;26120717,0;32463957,8;40066446,2;37546122,2;44830692,9;58513728,4;66058370,8;70587364,9;76626148,4;81217609;83873913,9;89737892,9;
"Текущие трансферты, полученные от ""остального мира""";;587,5;1721,9;953,2;4071,6;4027,5;2372,0;3164,1;29797,2;22712,2;21740,3;52779,0;77291,1;104743,2;127122,8;173571,7;214956,4;270526,3;281951,8;302445,1;404378,1;511478,1;552213,0;671576,6;603548,1;574363,6;595298,8;
Использование;1398,5;19209,0;170588,9;606339,1;1416789,1;1982951,5;2294417,6;2517593,5;4661755,3;7139265,6;8841679,2;10676628,4;12884087,8;16763703,5;21197883,2;26294288,7;32678914,2;40336972,5;37828074,0;45133138,0;58918106,5;66569848,9;71139577,9;77297725,0;81821157,1;84448277,5;90333191,7;
"Текущие трансферты, переданные ""остальному миру""";;1,4;436,7;1143,9;3386,0;3594,7;4445,4;5710,5;14361,0;20786,9;45666,4;63957,4;89285,6;124408,8;156730,1;214561,1;303347,8;341275,0;370912,9;412357,0;566635,3;703803,0;850381,3;986459,9;954780,1;990384,5;1132879;
Валовой располагаемый доход;1398,5;19207,6;170152,2;605195,2;1413403,1;1979356,8;2289972,2;2511883,0;4647394,3;7118478,7;8796012,8;10612671,0;12794802,2;16639294,7;21041153,1;26079727,6;32375566,4;39995697,5;37457161,1;44720781,0;58351471,2;65866045,9;70289196,6;76311265,1;80866377;83457893;89200312,7;
"Счет использования располагаемого дохода (в текущих ценах; миллионов рублей)";;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ресурсы ;1398,5;19207,6;170152,2;605195,2;1413403,1;1979356,8;2289972,2;2511883,0;4647394,3;7118478,7;8796012,8;10612671,0;12794802,2;16639294,7;21041153,1;26079727,6;32375566,4;39995697,5;37457161,1;44720781,0;58351471,2;65866045,9;70289196,6;76311265,1;80866377;83457893;89200312,7;
Валовой располагаемый доход;1398,5;19207,6;170152,2;605195,2;1413403,1;1979356,8;2289972,2;2511883,0;4647394,3;7118478,7;8796012,8;10612671,0;12794802,2;16639294,7;21041153,1;26079727,6;32375566,4;39995697,5;37457161,1;44720781,0;58351471,2;65866045,9;70289196,6;76311265,1;80866377;83457893;89200312,7;
Использование;1398,5;19207,6;170152,2;605195,2;1413403,1;1979356,8;2289972,2;2511883,0;4647394,3;7118478,7;8796012,8;10612671,0;12794802,2;16639294,7;21041153,1;26079727,6;32375566,4;39995697,5;37457161,1;44720781,0;58351471,2;65866045,9;70289196,6;76311265,1;80866377;83457893;89200312,7;
Расходы на конечное потребление;855,4;9183,6;106755,4;422052,7;1016594,3;1435869,8;1776137,6;2003790,1;3285678,1;4476850,9;5886860,6;7484115,5;9058687,6;11477849,6;14438149,2;17809740,7;21968579,5;27543511,4;29269625,1;32514673,2;40692217,7;46895780,1;52274283,6;56510695,1;58445375,1;61060258,4;64762774,9;
