в процентах к предыдущему году",,84,86.3,78.4,95.4,92.4,101.0,95.2,108.9,108.7,102.9,103.1,108.9,108.0,105.1,106.3,106.8,100.6,89.3,107.3,105.0,103.4,100.4,102.5,100.2,101.8,103.7,103.5,103.4,97.9,106.3,100.7,104.3,105.6,,,,,,,,,
"Индексы производства по видам экономической деятельности разделов2) 
(в процентах к предыдущему году)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
В соответствии с Общероссийским классификатором видов экономической деятельности ОК 029-2007 (Кдес Ред.1.1) ОКВЭД,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Плиты древесностружечные 
и аналогичные плиты из древесины 
и других одревесневших материалов",,,,,,,,,,,,,,,,,,,,75,78,86,85,85,82,76,,,,,,,,,,,,,,,,,
 Плиты древесноволокнистыеиз древесины или других одревесневших материалов,,,,,,,,,,,,,,,,,,,,80,80,84,78,77,80,78,,,,,,,,,,,,,,,,,
 Бумага,,,,,,,,,,,,,,,,,,,,83,84,85,81,83,87,92,,,,,,,,,,,,,,,,,
 Картон,,,,,,,,,,,,,,,,,,,,77,76,76,77,79,83,89,,,,,,,,,,,,,,,,,
"Нефть, поступившая на переработку (первичная переработка нефти)",,,,,,,,,,,,,,,,,,,,90,93,91,93,92,87,86,,,,,,,,,,,,,,,,,
"Кислота серная, олеум",,,,,,,,,,,,,,,,,,,,84,84,85,79,72,73,80,,,,,,,,,,,,,,,,,
Аммиак безводный,,,,,,,,,,,,,,,,,,,,88,93,91,94,95,94,93,,,,,,,,,,,,,,,,,
Удобрения минеральные или химические (в пересчете на 100% питательных веществ),,,,,,,,,,,,,,,,,,,,86,86,82,81,86,87,85,,,,,,,,,,,,,,,,,
Пластмассы в первичных формах,,,,,,,,,,,,,,,,,,,,70,72,70,73,72,78,81,,,,,,,,,,,,,,,,,
"Материалы лакокрасочные и аналогичные для нанесения покрытий, краски и мастики полиграфические",,,,,,,,,,,,,,,,,,,,40,43,37,43,42,42,44,,,,,,,,,,,,,,,,,
Волокна и нити химические,,,,,,,,,,,,,,,,,,,,49,49,50,58,59,62,66,,,,,,,,,,,,,,,,,
"Шины, покрышки и камеры резиновые новые",,,,,,,,,,,,,,,,,,,,82,78,74,74,70,75,74,,,,,,,,,,,,,,,,,
"Трубы, трубки, шланги, рукава 
и их фитинги полимерные",,,,,,,,,,,,,,,,,,,,52,61,65,59,62,50,48,,,,,,,,,,,,,,,,,
Пластикаты кабельные,,,,,,,,,,,,,,,,,,,,55,53,71,66,49,43,49,,,,,,,,,,,,,,,,,
Пластикаты ПВХ (без кабельных),,,,,,,,,,,,,,,,,,,,75,69,60,52,44,32,30,,,,,,,,,,,,,,,,,
Кирпич керамический неогнеупорный строительный,,,,,,,,,,,,,,,,,,,,58,69,73,70,72,65,63,,,,,,,,,,,,,,,,,
Кирпич строительный (включая камни) из цемента,,,,,,,,,,,,,,,,,,,,39,45,49,55,59,54,40,,,,,,,,,,,,,,,,,
Блоки стеновые мелкие из ячеистого бетона,,,,,,,,,,,,,,,,,,,,60,72,73,74,81,79,68,,,,,,,,,,,,,,,,,
Блоки стеновые крупные (включая блоки стен подвалов) из бетона,,,,,,,,,,,,,,,,,,,,29,34,41,42,36,28,21,,,,,,,,,,,,,,,,,
"Портландцемент, цемент глиноземистый, цемент шлаковый 
и аналогичные цементы гидравлические",,,,,,,,,,,,,,,,,,,,65,66,65,69,67,58,52,,,,,,,,,,,,,,,,,
Конструкции и детали сборные железобетонные,,,,,,,,,,,,,,,,,,,,52,55,60,58,55,47,41,,,,,,,,,,,,,,,,,
Листы асбестоцементные волнистые (гофрированные)(шифер),,,,,,,,,,,,,,,,,,,,47,41,28,36,28,27,28,,,,,,,,,,,,,,,,,
Трубы и муфты асбестоцементные,,,,,,,,,,,,,,,,,,,,36,35,38,44,41,34,31,,,,,,,,,,,,,,,,,
"Материалы кровельные 
и гидроизоляционные рулонные  
из асфальта или аналогичных материалов (нефтяного  битума, каменноугольного пека и т.д.)",,,,,,,,,,,,,,,,,,,,58,59,65,63,56,64,56,,,,,,,,,,,,,,,,,
Чугун,,,,,,,,,,,,,,,,,,,,90,90,88,92,93,94,94,,,,,,,,,,,,,,,,,
Сталь,,,,,,,,,,,,,,,,,,,,84,84,84,84,85,82,83,,,,,,,,,,,,,,,,,
Прокат готовый черных металлов,,,,,,,,,,,,,,,,,,,,79,81,80,78,82,80,79,,,,,,,,,,,,,,,,,
Трубы стальные,,,,,,,,,,,,,,,,,,,,72,71,70,70,73,72,64,,,,,,,,,,,,,,,,,
Турбины на водяном паре и турбины паровые прочие,,,,,,,,,,,,,,,,,,,,41,54,44,38,12,20,9,,,,,,,,,,,,,,,,,
Автокраны,,,,,,,,,,,,,,,,,,,,43,57,70,73,46,31,26,,,,,,,,,,,,,,,,,
Станки металлорежущие,,,,,,,,,,,,,,,,,,,,8,13,10,24,17,17,14,,,,,,,,,,,,,,,,,
Холодильники и морозильники бытовые,,,,,,,,,,,,,,,,,,,,68,70,65,61,53,46,53,,,,,,,,,,,,,,,,,
Бытовые пылесосы,,,,,,,,,,,,,,,,,,,,24,17,12, -, -, -,24,,,,,,,,,,,,,,,,,
Автомобили легковые,,,,,,,,,,,,,,,,,,,,57,72,80,68,59,43,41,,,,,,,,,,,,,,,,,
Вагоны грузовые магистральные,,,,,,,,,,,,,,,,,,,,84,82,81,65,54,23,30,,,,,,,,,,,,,,,,,
В соответствии с Общероссийским классификатором продукции по видам экономической деятельности ОК 034-2014 (КПЕС 2008) (ОКПД2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
