,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2024 гг.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ПОКАЗАТЕЛИ ,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,,,,,,,,,,,,,
11. ИНВЕСТИЦИИ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Инвестиции в нефинансовые активы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Структура инвестиций в нефинансовые активы1);2), в процентах к итогу",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"торговля оптовая и розничная автотранспортными средствами 
и мотоциклами и их ремонт ",,,,,,,,,,,,,,,,,,,,,,,,0.4,0.3,0.3,0.3,0.4,0.3,0.3,0.5,0.3,0.3,0.3,,,,,,,,,,,,,
"торговля оптовая, кроме оптовой торговли автотранспортными средствами и мотоциклами ",,,,,,,,,,,,,,,,,,,,,,,,1.3,1.4,1.8,1.7,2.0,1.9,1.6,2.3,2.2,2.1,2.0,,,,,,,,,,,,,
"торговля розничная, кроме торговли автотранспортными средствами и мотоциклами ",,,,,,,,,,,,,,,,,,,,,,,,2.3,2.2,2.2,2.0,2.0,1.5,1.4,1.5,1.2,1.1,1.2,,,,,,,,,,,,,
транспортировка и храние,,,,,,,,,,,,,,,,,,,,,,,,18.9,15.5,16.4,16.6,17.3,17.2,15.4,16.5,18.1,18.1,17.4,,,,,,,,,,,,,
деятельность гостиниц и предприятий общественного питания,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.7,0.6,0.5,0.7,0.5,0.5,0.6,0.6,0.7,0.7,,,,,,,,,,,,,
"деятельность в области информации 
и связи",,,,,,,,,,,,,,,,,,,,,,,,3,3,3.1,3.0,3.5,4.0,4.3,4.1,3.6,4.0,4.4,,,,,,,,,,,,,
из нее:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
деятельность издательская ,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.04,,,,,,,,,,,,,
деятельность в сфере телекоммуникаций,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.5,2.6,2.3,2.5,2.9,3.0,2.7,1.9,1.8,1.8,,,,,,,,,,,,,
деятельность в области информационных технологий,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.2,0.3,0.3,0.4,0.4,0.5,0.7,0.9,,,,,,,,,,,,,
деятельность финансовая и страховая,,,,,,,,,,,,,,,,,,,,,,,,1.2,1.4,1.4,2.0,2.2,2.3,2.9,3.0,2.9,2.8,2.8,,,,,,,,,,,,,
"деятельность по операциям 
с недвижимым имуществом",,,,,,,,,,,,,,,,,,,,,,,,16,18.5,17.7,16.4,15.3,14.8,14.1,13.1,13.3,12.5,12.4,,,,,,,,,,,,,
"деятельность профессиональная, научная и техническая",,,,,,,,,,,,,,,,,,,,,,,,2.3,3.4,3.3,3.1,3.2,4.4,4.5,5.5,6.1,6.1,5.8,,,,,,,,,,,,,
из нее научные исследования и разработки,,,,,,,,,,,,,,,,,,,,,,,,1,1.3,1.2,1.0,1.0,1.0,1.2,1.1,1.2,1.2,1.2,,,,,,,,,,,,,
"деятельность административная 
и сопутствующие дополнительные услуги",,,,,,,,,,,,,,,,,,,,,,,,0.9,0.6,0.6,0.7,1.0,1.4,1.2,1.4,1.2,1.2,1.2,,,,,,,,,,,,,
"государственное управление 
и обеспечение военной безопасности;  социальное страхование",,,,,,,,,,,,,,,,,,,,,,,,1.7,1.7,1.8,1.8,1.5,1.6,1.9,1.8,2.0,2.0,1.9,,,,,,,,,,,,,
образование,,,,,,,,,,,,,,,,,,,,,,,,1.7,1.7,1.4,1.4,1.5,2.0,2.2,2.1,2.0,2.0,2.0,,,,,,,,,,,,,
деятельность в области здравоохранения и социальных услуг,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.3,1.3,1.2,1.3,1.7,2.8,2.5,2.3,2.0,2.0,,,,,,,,,,,,,
"деятельность в области культуры, спорта, организации досуга 
и развлечений",,,,,,,,,,,,,,,,,,,,,,,,1.3,1.3,1.2,1.5,1.2,1.1,1.1,1.2,1.3,1.2,1.2,,,,,,,,,,,,,
"Индексы физического объема инвестиций в основной капитал, в процентах 
к предыдущему году ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
В соответствии с Общероссийским классификатором видов экономической деятельности ОК 029-2007 (Кдес Ред.1.1) ОКВЭД,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Всего6);11), в сопоставимых ценах",,,,,,,,,,,,,,,110.2,117.8,123.8,109.5,86.5,106.3,110.8,106.8,100.8,98.5,89.9,99.8,,,,,,,,,,,,,,,,,,,,,
в том числе по видам экономической деятельности:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"сельское хозяйство, охота и лесное хозяйство",,,,,,,,,,,,,,,109.5,143.0,132.2,98.8,78.1,89.1,134.8,101.0,103.9,94.7,88.1,112.3,,,,,,,,,,,,,,,,,,,,,
"рыболовство, рыбоводство",,,,,,,,,,,,,,,89.4,130.9,95.7,88.1,88.1,108.8,150.4,135.9,114.9,103.0,78.8,125.5,,,,,,,,,,,,,,,,,,,,,
добыча полезных ископаемых,,,,,,,,,,,,,,,99.7,121.0,116.1,106.5,89.9,106.6,110.9,113.5,98.5,104.6,102.4,109.5,,,,,,,,,,,,,,,,,,,,,
из нее:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
добыча топливно-энергетических полезных ископаемых,,,,,,,,,,,,,,,97.3,123.4,115.1,107.5,90.9,106.0,109.4,111.4,98.8,107.3,102.1,110.6,,,,,,,,,,,,,,,,,,,,,
"добыча полезных ископаемых, кроме топливно-энергетических",,,,,,,,,,,,,,,118.9,102.1,126.7,97.6,78.6,112.7,126.1,136.3,96.6,84.5,100.9,93.3,,,,,,,,,,,,,,,,,,,,,
обрабатывающие производства,,,,,,,,,,,,,,,112.4,112.1,116.6,112.5,82.8,101.5,107.9,112.4,107.3,103.4,90.6,89.6,,,,,,,,,,,,,,,,,,,,,
из них:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"производство пищевых продуктов, включая напитки, и табака",,,,,,,,,,,,,,,107.8,101.8,117.5,97.0,76.3,106.6,99.2,110.7,100.3,105.3,84.6,89.8,,,,,,,,,,,,,,,,,,,,,
текстильное и швейное производство,,,,,,,,,,,,,,,80.5,107.8,140.4,107.1,82.0,137.2,92.5,103.4,119.6,125.2,49.8,81.5,,,,,,,,,,,,,,,,,,,,,
"производство кожи, изделий 
из кожи и производство обуви",,,,,,,,,,,,,,,108.5,164.0,96.3,79.3,64.7,"в 2,5 р.",136.3,80.0,102.4,130.9,67.3,54.6,,,,,,,,,,,,,,,,,,,,,
"обработка древесины 
и производство изделий из дерева",,,,,,,,,,,,,,,112.3,90.2,117.1,144.6,56.3,93.3,177.8,102.5,90.2,92.3,102.7,104.0,,,,,,,,,,,,,,,,,,,,,
"целлюлозно-бумажное производство; издательская 
и полиграфическая деятельность",,,,,,,,,,,,,,,107.4,110.0,110.4,107.5,63.6,122.6,113.0,96.9,92.3,83.9,91.0,118.3,,,,,,,,,,,,,,,,,,,,,
"производство кокса 
и нефтепродуктов ",,,,,,,,,,,,,,,111.2,113.6,116.3,116.2,139.1,113.9,103.0,124.1,131.8,105.2,86.3,75.3,,,,,,,,,,,,,,,,,,,,,
химическое производство,,,,,,,,,,,,,,,137.3,124.2,118.0,107.0,75.6,100.5,124.8,124.6,102.2,103.0,115.0,105.6,,,,,,,,,,,,,,,,,,,,,
"производство резиновых 
и пластмассовых изделий",,,,,,,,,,,,,,,107.8,103.8,146.2,81.7,83.4,94.3,102.4,106.7,108.0,94.3,104.5,68.9,,,,,,,,,,,,,,,,,,,,,
производство прочих неметаллических минеральных продуктов,,,,,,,,,,,,,,,121.8,98.8,154.2,136.5,71.6,103.5,103.1,102.5,94.8,91.7,66.2,70.5,,,,,,,,,,,,,,,,,,,,,
"металлургическое производство 
и производство готовых металлических изделий",,,,,,,,,,,,,,,119.2,115.1,102.8,118.1,79.3,85.9,104.9,102.1,92.1,96.1,96.7,106.1,,,,,,,,,,,,,,,,,,,,,
в том числе металлургическое производство,,,,,,,,,,,,,,,120.1,117.5,100.0,118.2,79.6,81.3,106.4,100.4,90.5,96.9,97.0,108.0,,,,,,,,,,,,,,,,,,,,,
"производство машин 
и оборудования",,,,,,,,,,,,,,,98.6,132.2,110.7,108.9,69.7,107.6,91.8,119.5,113.7,110.6,94.8,73.6,,,,,,,,,,,,,,,,,,,,,
"производство электрооборудования, электронного и оптического оборудования",,,,,,,,,,,,,,,108.3,104.5,126.1,107.4,78.6,100.7,120.9,124.6,102.6,98.9,112.5,80.3,,,,,,,,,,,,,,,,,,,,,
производство транспортных средств и оборудования,,,,,,,,,,,,,,,88.4,119.3,129.6,122.5,90.1,104.7,106.9,118.4,121.2,119.9,80.8,87.0,,,,,,,,,,,,,,,,,,,,,
в том числе:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"производство автомобилей, прицепов и полуприцепов",,,,,,,,,,,,,,,85.4,105.8,153.0,138.4,81.5,100.1,90.4,111.0,141.9,120.3,82.5,74.1,,,,,,,,,,,,,,,,,,,,,
"производство судов, летательных и космических аппаратов и прочих транспортных средств",,,,,,,,,,,,,,,95.5,135.4,108.8,101.7,107.8,111.4,128.6,125.3,104.2,119.4,79.0,102.8,,,,,,,,,,,,,,,,,,,,,
"производство и распределение электроэнергии, газа и воды",,,,,,,,,,,,,,,108.6,108.7,132.8,111.6,108.9,112.5,114.8,107.9,97.8,95.9,73.9,89.6,,,,,,,,,,,,,,,,,,,,,
строительство,,,,,,,,,,,,,,,113.3,119.8,128.8,126.2,69.9,110.9,90.6,97.3,116.7,103.8,77.7,103.6,,,,,,,,,,,,,,,,,,,,,
"оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий 
и предметов личного пользования",,,,,,,,,,,,,,,117.2,114.4,150.5,93.1,79.2,120.2,91.4,124.4,106.5,102.5,87.6,108.9,,,,,,,,,,,,,,,,,,,,,
из них:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"торговля автотранспортными средствами и мотоциклами, 
их техническое обслуживание 
и ремонт",,,,,,,,,,,,,,,192.1,130.0,158.6,127.2,66.5,116.6,97.6,122.8,99.7,105.5,76.7,99.7,,,,,,,,,,,,,,,,,,,,,
"оптовая торговля, включая торговлю через агентов, кроме торговли автотранспортными средствами и мотоциклами",,,,,,,,,,,,,,,103.3,94.7,163.8,75.3,86.8,111.7,92.5,100.8,103.0,101.5,98.0,125.2,,,,,,,,,,,,,,,,,,,,,
"розничная торговля, кроме торговли автотранспортными средствами и мотоциклами; ремонт бытовых изделий 
и предметов личного пользования",,,,,,,,,,,,,,,131.9,147.5,132.0,107.1,76.6,131.6,88.2,149.9,111.2,102.7,83.5,99.0,,,,,,,,,,,,,,,,,,,,,
гостиницы и рестораны,,,,,,,,,,,,,,,115.6,132.4,146.4,102.1,93.3,114.8,109.4,74.7,160.0,110.3,78.0,94.8,,,,,,,,,,,,,,,,,,,,,
транспорт и связь,,,,,,,,,,,,,,,120.0,113.8,117.2,116.1,103.5,102.4,123.0,100.6,95.4,87.7,75.4,104.6,,,,,,,,,,,,,,,,,,,,,
из них связь,,,,,,,,,,,,,,,116.9,100.4,103.9,101.0,76.7,114.3,114.4,107.5,83.8,109.2,86.9,102.2,,,,,,,,,,,,,,,,,,,,,
финансовая деятельность ,,,,,,,,,,,,,,,110.8,97.7,142.7,94.9,99.7,112.9,125.1,120.6,87.6,88.5,101.1,100.3,,,,,,,,,,,,,,,,,,,,,
"операции с недвижимым имуществом, аренда и предоставление услуг",,,,,,,,,,,,,,,106.0,115.0,130.3,109.5,73.7,125.4,93.9,109.5,104.9,118.0,106.5,94.6,,,,,,,,,,,,,,,,,,,,,
"из них научные исследования 
и разработки",,,,,,,,,,,,,,,97.7,113.4,103.0,118.3,134.8,115.2,113.9,104.8,125.7,98.8,116.9,87.0,,,,,,,,,,,,,,,,,,,,,
"государственное управление 
и обеспечение военной безопасности;  социальное отрахование",,,,,,,,,,,,,,,99.5,125.8,116.1,108.6,93.0,84.9,154.9,94.7,101.3,98.9,87.7,108.5,,,,,,,,,,,,,,,,,,,,,
образование,,,,,,,,,,,,,,,119.3,131.1,125.6,102.5,79.4,109.7,113.4,102.3,103.1,100.6,87.0,80.4,,,,,,,,,,,,,,,,,,,,,
здравоохранение и предоставление социальных услуг,,,,,,,,,,,,,,,121.4,124.6,120.4,108.1,83.8,103.6,104.4,113.0,84.0,84.7,79.0,95.5,,,,,,,,,,,,,,,,,,,,,
"предоставление прочих коммунальных, социальных и персональных услуг",,,,,,,,,,,,,,,118.5,125.4,115.2,121.1,85.7,104.7,116.1,106.0,105.5,74.6,87.2,94.2,,,,,,,,,,,,,,,,,,,,,
В соответствии с Общероссийским классификатором видов экономической деятельности ОК 029-2014 (КДЕС Ред.2) ОКВЭД2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Всего, в сопоставимых ценах",,,,,,,,,,,,,,,,,,,,,,,,98.5,89.9,99.8,104.8,105.4,102.1,99.9,108.6,106.7,109.8,107.4,,,,,,,,,,,,,
в том числе по видам экономической деятельности:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"сельское, лесное хозяйство, охота, рыболовство и рыбоводство",,,,,,,,,,,,,,,,,,,,,,,,92.4,87.9,112.5,109.7,106.1,100.4,96.0,103.4,99.3,101.0,96.7,,,,,,,,,,,,,
из них:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"растениеводство и животноводство, охота 
и предоставление соответствующих услуг в этих областях",,,,,,,,,,,,,,,,,,,,,,,,92.7,87.4,113.1,108.2,104.1,98.7,93.7,102.4,101.8,100.7,97.8,,,,,,,,,,,,,
лесоводство и лесозаготовки,,,,,,,,,,,,,,,,,,,,,,,,80.4,109.1,90.7,119.6,140.5,120.8,86.4,114.3,76.9,91.4,105.3,,,,,,,,,,,,,
рыболовство и рыбоводство,,,,,,,,,,,,,,,,,,,,,,,,103.0,78.8,125.5,139.6,123.0,112.9,144.5,105.2,89.5,111.3,81.9,,,,,,,,,,,,,
добыча полезных ископаемых,,,,,,,,,,,,,,,,,,,,,,,,101.8,101.9,109.2,106.1,103.6,96.6,96.9,100.7,109.9,109.1,105.9,,,,,,,,,,,,,
из них:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
добыча угля,,,,,,,,,,,,,,,,,,,,,,,,73.4,85.0,111.6,137.1,114.4,115.1,67.7,122.5,118.3,105.1,84.3,,,,,,,,,,,,,
добыча  нефти и природного газа,,,,,,,,,,,,,,,,,,,,,,,,101.3,97.4,97.6,107.8,100.1,110.9,101.0,94.5,110.3,109.9,109.1,,,,,,,,,,,,,
добыча металлических руд,,,,,,,,,,,,,,,,,,,,,,,,80.5,118.1,93.0,112.8,137.0,107.0,102.5,112.4,103.4,117.4,107.5,,,,,,,,,,,,,
добыча прочих полезных ископаемых,,,,,,,,,,,,,,,,,,,,,,,,85.9,72.2,93.4,103.8,104.1,89.7,91.1,104.2,137.2,115.2,108.9,,,,,,,,,,,,,
обрабатывающие производства,,,,,,,,,,,,,,,,,,,,,,,,102.7,90.3,89.4,105.4,104.1,100.4,102.9,109.1,95.6,117.6,119.0,,,,,,,,,,,,,
из них:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
производство пищевых продуктов,,,,,,,,,,,,,,,,,,,,,,,,107.6,87.6,88.0,118.8,104.3,99.9,107.1,109.0,86.2,101.0,106.4,,,,,,,,,,,,,
производство напитков,,,,,,,,,,,,,,,,,,,,,,,,94.6,70.2,92.8,101.3,117.5,81.5,97.7,121.5,71.2,137.3,112.9,,,,,,,,,,,,,
производство табачных изделий,,,,,,,,,,,,,,,,,,,,,,,,97.7,85.2,108.4,90.0,119.6,100.3,77.3,123.6,55.6,96.5,106.3,,,,,,,,,,,,,
производство текстильных изделий,,,,,,,,,,,,,,,,,,,,,,,,113.1,47.1,92.4,141.7,101.7,121.1,59.2,132.1,106.2,119.8,109.5,,,,,,,,,,,,,
производство одежды,,,,,,,,,,,,,,,,,,,,,,,,141.1,54.6,65.9,120.7,98.2,124.9,123.7,76.1,87.0,101.7,99.3,,,,,,,,,,,,,
"производство кожи и изделий 
из кожи",,,,,,,,,,,,,,,,,,,,,,,,130.1,67.4,54.5,104.4,120.6,59.4,97.0,107.5,93.9,104.9,97.1,,,,,,,,,,,,,
"обработки древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий 
из соломки и материалов для плетения",,,,,,,,,,,,,,,,,,,,,,,,87.9,102.7,104.0,105.7,93.0,78.4,110.0,125.1,79.7,94.7,104.1,,,,,,,,,,,,,
производство бумаги и бумажных изделий,,,,,,,,,,,,,,,,,,,,,,,,84.9,86.1,120.2,129.6,127.9,104.2,83.7,112.8,86.3,113.6,94.8,,,,,,,,,,,,,
"деятельность полиграфическая 
и копирование носителей информации",,,,,,,,,,,,,,,,,,,,,,,,77.6,117.3,115.2,96.2,90.2,74.6,166.1,106.9,57.4,119.2,102.3,,,,,,,,,,,,,
производство кокса и нефтепродуктов,,,,,,,,,,,,,,,,,,,,,,,,105.2,86.3,75.3,110.7,87.8,125.7,115.3,86.5,93.6,82.1,114.3,,,,,,,,,,,,,
"производство химических веществ 
и химических продуктов",,,,,,,,,,,,,,,,,,,,,,,,100.8,119.6,109.0,111.0,108.6,90.6,95.1,108.5,115.6,146.7,142.1,,,,,,,,,,,,,
"производство лекарственных средств 
и материалов применяемых 
в медицинских целях",,,,,,,,,,,,,,,,,,,,,,,,116.8,85.7,75.8,120.1,110.9,120.7,186.2,73.7,84.8,104.7,104.4,,,,,,,,,,,,,
"производство резиновых 
и пластмассовых изделий",,,,,,,,,,,,,,,,,,,,,,,,94.3,104.5,68.9,115.6,116.9,95.7,84.5,127.5,73.5,119.8,119.2,,,,,,,,,,,,,
производство прочей неметаллической минеральной продукции,,,,,,,,,,,,,,,,,,,,,,,,91.7,66.2,70.5,85.0,133.9,92.6,85.1,132.6,99.4,107.4,107.5,,,,,,,,,,,,,
производство металлургическое ,,,,,,,,,,,,,,,,,,,,,,,,96.9,97.0,108.0,102.9,102.0,98.9,112.2,117.4,108.2,107.6,107.6,,,,,,,,,,,,,
"производство готовых металлических изделий, кроме машин и оборудования",,,,,,,,,,,,,,,,,,,,,,,,95.4,93.7,96.8,189.7,108.9,99.8,80.8,129.0,90.0,154.2,121.5,,,,,,,,,,,,,
"производство компьютеров, электронных и оптических изделий",,,,,,,,,,,,,,,,,,,,,,,,100.1,126.8,76.0,105.0,91.7,86.9,98.3,155.1,106.6,133.6,154.9,,,,,,,,,,,,,
производство электрического оборудования,,,,,,,,,,,,,,,,,,,,,,,,87.8,99.9,83.5,132.6,101.1,91.0,81.8,108.7,80.6,178.6,190.4,,,,,,,,,,,,,
"производство машин и оборудования, не включенных в другие группировки",,,,,,,,,,,,,,,,,,,,,,,,111.2,93.1,70.4,101.6,97.0,100.4,77.5,116.6,107.1,114.0,123.8,,,,,,,,,,,,,
"производство автотранспортных средств, прицепов и полуприцепов",,,,,,,,,,,,,,,,,,,,,,,,120.3,82.5,74.1,83.1,124.1,86.7,78.1,143.7,46.7,154.0,134.4,,,,,,,,,,,,,
производство прочих транспортных средств и оборудования,,,,,,,,,,,,,,,,,,,,,,,,119.4,79.0,102.8,112.8,114.9,90.7,107.2,111.1,102.7,104.8,118.8,,,,,,,,,,,,,
производство мебели,,,,,,,,,,,,,,,,,,,,,,,,119.8,26.9,184.8,63.6,111.0,117.0,119.3,98.3,71.8,107.1,101.9,,,,,,,,,,,,,
производство прочих готовых изделий,,,,,,,,,,,,,,,,,,,,,,,,81.8,109.9,79.9,115.2,106.2,167.8,88.8,100.1,112.5,100.4,90.2,,,,,,,,,,,,,
"обеспечение электрической энергией, газом и паром; кондиционирование воздуха",,,,,,,,,,,,,,,,,,,,,,,,94.7,75.2,87.4,104.4,102.2,94.4,104.1,94.9,102.2,119.8,106.1,,,,,,,,,,,,,
"водоснабжение; воотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",,,,,,,,,,,,,,,,,,,,,,,,93.1,68.5,107.9,95.0,103.7,106.5,127.2,107.9,105.9,110.0,110.5,,,,,,,,,,,,,
строительство,,,,,,,,,,,,,,,,,,,,,,,,103.8,77.7,103.6,110.1,120.1,100.4,103.9,114.0,120.1,110.4,106.7,,,,,,,,,,,,,
"торговля оптовая и розничная; ремонт автотранспортных средств 
и мотоциклов",,,,,,,,,,,,,,,,,,,,,,,,102.7,87.3,108.8,96.6,115.4,85.8,88.4,139.7,88.9,102.3,105.7,,,,,,,,,,,,,
в том числе:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"торговля оптовая и розничная автотранспортными средствами 
и мотоциклами и их ремонт ",,,,,,,,,,,,,,,,,,,,,,,,96.8,68.5,107.5,110.2,149.0,76.9,88.0,164.3,71.1,107.5,103.2,,,,,,,,,,,,,
"торговля оптовая, кроме оптовой торговли автотранспортными средствами и мотоциклами ",,,,,,,,,,,,,,,,,,,,,,,,100.9,98.0,125.2,93.9,124.0,96.6,86.0,152.3,101.9,99.9,101.8,,,,,,,,,,,,,
"торговля розничная, кроме торговли автотранспортными средствами и мотоциклами ",,,,,,,,,,,,,,,,,,,,,,,,102.7,84.0,98.1,99.0,103.1,77.2,90.7,119.1,75.0,105.6,113.9,,,,,,,,,,,,,
транспортировка и хранение,,,,,,,,,,,,,,,,,,,,,,,,85.1,74.0,105.5,104.9,109.3,99.0,88.0,116.4,114.9,108.4,103.0,,,,,,,,,,,,,
деятельность гостиниц и предприятий общественного питания,,,,,,,,,,,,,,,,,,,,,,,,110.3,78.0,94.8,89.0,136.6,76.0,103.2,113.8,110.0,122.4,105.0,,,,,,,,,,,,,
"деятельность в области информации 
и связи",,,,,,,,,,,,,,,,,,,,,,,,107.1,88.6,99.4,101.9,125.3,113.9,106.3,105.4,92.9,125.2,119.0,,,,,,,,,,,,,
из нее:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
деятельность издательская ,,,,,,,,,,,,,,,,,,,,,,,,85.1,82.3,81.3,101.0,132.3,102.0,174.1,90.0,113.1,199.3,147.3,,,,,,,,,,,,,
деятельность в сфере телекоммуникаций,,,,,,,,,,,,,,,,,,,,,,,,107.8,87.1,100.7,92.5,115.2,116.9,100.5,100.0,72.6,107.5,107.8,,,,,,,,,,,,,
деятельность в области информационных технологий,,,,,,,,,,,,,,,,,,,,,,,,133.7,86.8,99.8,174.1,163.8,115.1,140.2,111.8,140.2,150.9,125.8,,,,,,,,,,,,,
деятельность финансовая и страховая,,,,,,,,,,,,,,,,,,,,,,,,88.5,101.1,100.3,147.8,111.3,108.3,123.9,112.0,99.4,106.5,107.1,,,,,,,,,,,,,
"деятельность по операциям 
с недвижимым имуществом",,,,,,,,,,,,,,,,,,,,,,,,122.2,105.7,100.8,96.0,99.5,97.3,94.6,100.2,109.5,103.4,105.0,,,,,,,,,,,,,
"деятельность профессиональная, научная и техническая",,,,,,,,,,,,,,,,,,,,,,,,94.6,132.5,91.4,101.4,106.0,142.4,101.6,132.8,120.9,110.2,101.7,,,,,,,,,,,,,
"из нее научные исследования 
и разработки",,,,,,,,,,,,,,,,,,,,,,,,98.8,116.9,87.0,91.9,100.8,103.6,106.7,110.5,107.3,114.6,113.5,,,,,,,,,,,,,
"деятельность административная 
и сопутствующие дополнительные услуги",,,,,,,,,,,,,,,,,,,,,,,,114.1,57.5,106.2,125.9,144.5,146.9,82.3,121.0,90.3,103.2,103.4,,,,,,,,,,,,,
"государственное управление 
и обеспечение военной безопасности;  социальное отрахование",,,,,,,,,,,,,,,,,,,,,,,,98.9,87.7,108.5,100.5,90.2,102.5,119.2,105.7,121.8,111.6,100.2,,,,,,,,,,,,,
образование,,,,,,,,,,,,,,,,,,,,,,,,100.6,87.0,80.4,103.9,113.9,131.3,109.8,100.1,102.9,108.8,105.2,,,,,,,,,,,,,
деятельность в области здравоохранения и социальных услуг,,,,,,,,,,,,,,,,,,,,,,,,83.9,79.0,95.3,102.5,107.7,125.9,155.0,95.4,94.1,90.0,106.5,,,,,,,,,,,,,
"деятельность в области культуры, спорта, организации досуга и развлечений",,,,,,,,,,,,,,,,,,,,,,,,66.5,91.4,94.5,125.6,87.5,90.7,100.8,112.3,124.6,99.0,106.6,,,,,,,,,,,,,
"1) Без субъектов малого предпринимательства и объема инвестиций, не наблюдаемых прямыми статистическими методами.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2) Статистическое наблюдение ведется с 1998 г.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3) Начиная с 2013 г. в инвестиции в основной капитал включены инвестиции в объекты интеллектуальной собственности: произведения науки, литературы и искусства; программное обеспечение и базы данных  для ЭВМ, изобретения, полезные модели, промышленные образцы, селекционные достижения, произведенные нематериальные поисковые затраты, затраты на научно-исследовательские опытно-конструкторские и технологические работы и т.д.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4)  За 1998-2012 гг. в инвестиции в другие нефинансовые активы включены затраты на приобретение юридическими лицами в собственность земельных участков, объектов природопользования.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5) Начиная с 2013 г. в инвестиции в непроизведенные нефинансовые активы включены затраты на приобретение юридическими лицами в собственность земельных участков, объектов природопользования, контрактов, договоров аренды, лицензий,деловой репутации (""гудвилла"") и деловых связей (маркетинговых активов).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6)  В целях обеспечения статистической сопоставимости относительные показатели  по Российской Федерации за 2014 г. рассчитаны без учета данных по Республике Крым и г. Севастополю.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7) Статистическое наблюдение ведется с 1993 г.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8) Статистическое наблюдение ведется с 1995 г., кроме показателей: ""инвестиции в основной капитал за счет бюджетных средств"" и ""инвестиции в основной капитал за счет средств федерального бюджета"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9) В 1992-1997 гг. - включая средства местных бюджетов.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
