,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2024 гг.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ПОКАЗАТЕЛИ ,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"деятельность по операциям 
с нежвижимым имуществом",,,,,,,,,,,,,,,,,,,,,,,,,,,"348,226","334,387","320,642","309,413","302,837","298,019","297,562","298,604"
"деятельность профессиональная, научная и техническая",,,,,,,,,,,,,,,,,,,,,,,,,,,"382,719","354,995","326,800","301,537","287,425","277,837","273,125","272,466"
" из нее научные исследования 
и разработки
",,,,,,,,,,,,,,,,,,,,,,,,,,,"37,272","34,192","31,802","29,753","28,599","27,610","27,741","28,257"
"деятельность административная 
и сопутствующие дополнительные услуги",,,,,,,,,,,,,,,,,,,,,,,,,,,"173,088","165,044","153,205","138,737","131,175","127,799","128,200","128,666"
"государственное управление 
и обеспечение военной безопасности; социальное страхование",,,,,,,,,,,,,,,,,,,,,,,,,,,"94,085","91,359","89,237","87,404","84,231","82,843","80,066","78,242"
образование,,,,,,,,,,,,,,,,,,,,,,,,,,,"136,820","132,128","128,267","126,178","124,085","121,573","122,718","121,891"
деятельность в области здравоохранения и социальных услуг,,,,,,,,,,,,,,,,,,,,,,,,,,,"82,808","82,950","82,450","82,681","83,318","83,701","85,540","87,317"
"деятельность в области культуры, спорта, организации досуга 
и развлечений",,,,,,,,,,,,,,,,,,,,,,,,,,,"80,269","77,741","75,779","74,580","74,163","72,673","70,798","71,687"
предоставление прочих видов услуг,,,,,,,,,,,,,,,,,,,,,,,,,,,"193,622","185,633","178,325","170,673","165,191","160,496","160,538","161,322"
"Оборот организаций по видам экономической деятельности 
(в фактически действовавших ценах, млрд рублей)1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
В соответствии с Общероссийским классификатором видов экономической деятельности ОК 029-2007 (Кдес Ред.1.1) ОКВЭД,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Всего,,,,,,,,,,,,,,,"36,459.5","46,950.4","59,795.2","74,180.9","67,434.7","81,196.1","99,978.4","111,582.0","114,625.7","129,195.0","141,547.3","149,320.2",,,,,,,,
 в том числе по видам экономической деятельности:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"сельское хозяйство, охота и лесное хозяйство",,,,,,,,,,,,,,,565.4,636.6,829.6,982.8,"1,032.5","1,150.3","1,332.6","1,495.6","1,572.6","1,891.7","2,345.3","2,503.1",,,,,,,,
"рыболовство, рыбоводство",,,,,,,,,,,,,,,54.3,84.1,106.2,89.5,101.5,108.3,128.7,136.0,137.9,170.1,269.9,290.9,,,,,,,,
добыча полезных ископаемых,,,,,,,,,,,,,,,"3,150.9","3,679.5","4,174.7","5,049.7","4,795.3","6,248.7","8,267.0","8,906.1","9,176.5","9,777.3","11,339.1","11,777.1",,,,,,,,
из нее:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
добыча топливно-энергетических полезных ископаемых,,,,,,,,,,,,,,,"2,751.8","3,225.8","3,645.0","4,387.9","4,217.3","5,424.9","7,169.8","7,723.1","8,036.6","8,605.9","9,991.3","10,174.0",,,,,,,,
"добыча полезных ископаемых, кроме топливно-энергетических",,,,,,,,,,,,,,,399.1,453.7,529.6,661.8,578.0,823.8,"1,097.2","1,183.0","1,139.9","1,171.5","1,347.7","1,603.1",,,,,,,,
обрабатывающие производства,,,,,,,,,,,,,,,"9,777.5","11,785.2","13,962.6","17,113.7","14,423.3","18,761.4","23,940.0","26,308.3","29,520.1","32,019.6","34,687.2","36,716.8",,,,,,,,
из них:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"производство пищевых продуктов, включая напитки, 
и табака",,,,,,,,,,,,,,,"1,464.3","1,719.1","2,139.7","2,710.7","2,790.2","3,094.0","3,578.7","3,990.8","4,216.7","4,675.6","5,526.3","6,000.4",,,,,,,,
