СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2017 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ПОКАЗАТЕЛИ ;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;;;;;;;;;;;;;;;;
установки для улавливания и обезвреживания вредных веществ из отходящих газов, млн. м3 газа в час;8,4;5,6;4,3;5,9;7,5;6,3;3,1;1,2;3,8;3,1;3,6;4,5;4,4;2,1;4,2;5,1;4,1;7,9;3,6;4,6;9,7;2,0;11,1;5,3;3,3;1,6;2,6;;;;;;;;;;;;;;;;
Построено:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
электростанций турбинных,  млн. кВт;2,1;0,2;1,7;1,6;0,3;0,6;0,3;0,4;0,6;0,4;1,7;0,7;1,7;0,9;2,2;0,8;1,2;0,8;0,5;1,9;1,5;2,6;3,6;3,5;1,7;0,9;3,8;;;;;;;;;;;;;;;;
     в том числе гидроэлектростанций;0,05;-;0,005;0,3;0,001;-;0,001;0,1;0,1;0,2;0,2;0,1;1,2;0,4;0,4;0,0;0,7;0,3;0,05;0,6;0,02;0,05;1,8;1,3;-;0,2;0,02;;;;;;;;;;;;;;;;
трансформаторных понизительных подстанций напряжением 35 кВ и выше, млн. кВ.А;6,2;8,6;5,9;4,2;4,2;4,4;3,2;3,5;3,0;3,3;2,7;2,3;2,1;3,7;2,8;3,3;4,7;6,8;5,3;12,2;6,0;11,4;12,6;10,8;4,7;5,4;4,4;;;;;;;;;;;;;;;;
котлов паровых на теплоэлектро-централях, т  в час;-;2250,0;1885,0;2720,0;630,0;3460,0;430,0;1213,0;2683,0;1074,8;428,0;1304,0;808,0;505,5;620,3;48,0;543,0;91,0;137,6;1,0;728,2;390,0;24,0;168,4;225,9;420,0;-;;;;;;;;;;;;;;;;
фабрик углеобогатительных, млн. т переработки угля;-;-;6,0;-;-;-;-;1,5;-;0,6;3,0;4,2;2,8;0,7;12,9;3,0;0,3;20,2;5,1;2,0;6,5;0,4;8,1;9,3;1,5;5,7;-;;;;;;;;;;;;;;;;
помещений для содержания крупного рогатого скота, тыс.мест;810,8;484,2;313,0;200,0;153,1;101,2;46,8;46,5;58,1;102,8;50,1;43,5;39,6;38,1;27,5;59,8;153,3;114,8;96,7;111,1;93,4;114,7;99,0;104,1;102,6;120,7;275,1;;;;;;;;;;;;;;;;
помещений для содержания свиней, тыс. мест;316,2;183,2;134,1;92,7;110,3;66,8;49,2;30,1;43,2;30,2;23,1;23,5;20,3;43,6;60,7;193,6;810,1;894,7;783,7;603,3;447,3;1636,4;1202,6;1322,4;877,3;775,7;1335,2;;;;;;;;;;;;;;;;
помещений для содержания овец, тыс. мест;511,6;331,4;205,1;102,1;73,5;25,6;35,9;7,0;11,8;9,6;12,5;8,2;12,9;12,7;6,2;18,3;26,8;5,8;9,6;6,3;9,7;6,5;4,8;11,9;9,8;14,2;19,2;;;;;;;;;;;;;;;;
птицефабрик яичного направления, тыс. кур несушек;1016,0;201,3;383,8;691,6;398,6;95,3;-;47,1;-;36,0;-;39,2;185,2;826,0;1150,0;715,0;1149,3;1165,0;1693,2;702,7;1342,9;950,5;163,0;222,4;248,0;1420,2;845,0;;;;;;;;;;;;;;;;
птицефабрик мясного направления, млн. голов мясной птицы в год;3,7;1,9;1,0;1,5;0,4;0,4;-;-;11,0;0,04;-;0,3;1,3;0,2;8,9;35,0;61,4;85,7;70,8;122,5;165,6;109,8;21,6;11,1;11,0;35,5;121,8;;;;;;;;;;;;;;;;
зерносеменохранилищ, тыс. т единовременного хранения;2660,0;2665,0;2159,1;1393,2;739,6;451,5;361,0;192,8;187,8;254,4;341,0;233,0;212,8;210,4;166,5;291,1;256,9;318,2;975,2;367,2;323,0;428,1;464,2;517,8;837,7;687,0;556,8;;;;;;;;;;;;;;;;
хранилищ для картофеля, овощей и фруктов, тыс. т  единовременного хранения;494,0;304,2;180,9;109,9;106,4;53,2;16,1;20,1;31,9;27,1;64,6;81,4;45,4;18,0;11,1;49,3;60,7;71,3;68,9;149,6;172,2;253,2;134,0;126,6;213,7;138,5;377,7;;;;;;;;;;;;;;;;
силосных и сенажных сооружений, тыс. м3;4921,0;1504,3;374,7;144,9;106,8;67,6;36,4;30,5;61,7;34,0;53,8;29,6;83,6;22,4;38,4;42,2;94,2;76,4;182,0;188,2;93,5;165,0;173,9;243,0;102,5;229,6;174,8;;;;;;;;;;;;;;;;
комбинатов тепличных, га;11,2;7,3;33,9;10,6;23,5;18,0;4,5;0,03;-;2,0;49,0;50,0;30,4;25,2;144,2;0,2;1,5;-;-;-;9,2;9,7;18,5;57,0;85,2;73,4;131,2;;;;;;;;;;;;;;;;
складов механизированных для хранения минеральных удобрений, ядохимикатов, микробиологических средств и известковых материалов, тыс. т  единовременного хранения;555,8;242,6;281,1;124,1;45,9;59,3;9,2;11,1;5,1;2,2;3,7;3,3;3,6;2,4;1,2;4,3;-;3,0;18,2;-;3,1;3,1;-;2,0;-;11,5;8,2;;;;;;;;;;;;;;;;
элеваторов, тыс. т  единовременного хранения;237,2;139,2;48,0;50,3;34,0;-;-;-;10,5;43,1;16,4;12,0;78,2;54,0;2,4;40,7;99,9;27,6;65,0;56,0;184,9;393,5;83,0;147,7;301,0;224,5;295,8;;;;;;;;;;;;;;;;
предприятий мельничных сортового помола, тыс. т переработки зерна в сутки;0,4;0,3;0,5;0,2;0,8;0,7;0,2;1,5;1,7;2,3;1,9;1,5;1,9;0,9;1,2;2,0;0,4;1,0;0,3;0,2;0,2;0,6;1,0;1,4;0,5;0,06;0,2;;;;;;;;;;;;;;;;
предприятий комбикормовых, т  комбикормов в сутки;650,0;100,0;180,0;215,0;630,0;350,0;24,0;1340,0;318,0;62,0;1106,8;238,3;241,7;284,0;155,0;78,6;1983,0;732,0;640,0;786,8;1406,0;1356,0;2988,0;2307,0;3102,0;2540,0;1355,0;;;;;;;;;;;;;;;;
предприятий крупяных, т  переработки зерна в сутки;60,0;-;0,5;109,5;233,5;83,1;59,2;39,7;272,1;530,4;114,0;218,4;216,6;102,1;412,0;209,2;76,0;394,0;461,8;47,2;330,0;305,0;250,5;238,0;326,0;45,8;352,5;;;;;;;;;;;;;;;;
городских АТС, млн. номеров;0,9;0,7;0,9;1,2;1,4;2,0;2,3;1,3;1,1;1,0;1,4;2,1;2,6;3,0;2,3;1,9;1,5;2,2;0,9;1,0;0,4;1,9;3,5;0,2;0,07;0,0;0,1;;;;;;;;;;;;;;;;
АТС в сельской местности, тыс. номеров;-;148,5;91,3;120,0;130,1;139,2;126,0;88,9;129,4;148,4;175,1;206,8;323,9;572,5;476,6;283,4;561,9;442,0;274,5;102,5;129,6;73,5;49,9;34,2;32,8;11,1;9,1;;;;;;;;;;;;;;;;
объектов подвижной радиотелефонной связи, млн. номеров;-;-;-;-;-;-;-;0,04;0,05;0,1;0,3;1,0;2,6;4,5;7,3;6,6;8,7;7,7;5,1;35,4;13,4;3,1;0,8;0,1;0,4;0,0;-;;;;;;;;;;;;;;;;
радиовещательных станции, кВт;928,0;121,0;721,0;2411,0;20,0;-;113,5;42,0;3,4;8,6;16,9;16,9;70,2;14,6;2,0;18,2;23,9;10,1;22,3;128,3;16,3;98,8;11,0;4,5;7,3;11,5;36,2;;;;;;;;;;;;;;;;
междугородных кабельных линий связи, тыс. км;3,2;3,1;4,9;2,8;2,7;5,2;10,2;2,9;3,8;4,4;5,3;9,0;11,9;14,3;12,2;11,7;19,7;16,9;8,2;6,9;1,8;0,8;0,7;0,5;0,1;0,0;-;;;;;;;;;;;;;;;;
радиорелейных линий связи, тыс. км;2,7;1,9;2,8;1,9;1,6;1,9;10,8;1,3;2,4;1,1;1,5;4,0;7,7;7,8;9,9;14,4;15,5;13,0;25,0;13,2;22,4;21,1;33,0;20,9;10,8;8,6;5,4;;;;;;;;;;;;;;;;
линий электропередачи напряжением 35 кВ и выше, тыс. км;3,7;6,3;7,0;4,2;4,9;5,1;3,3;3,9;2,8;2,6;2,2;2,4;2,8;2,9;2,3;2,6;2,4;2,8;2,0;2,1;3,4;3,9;3,9;4,5;2,3;2,7;1,8;;;;;;;;;;;;;;;;
