СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2017 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ПОКАЗАТЕЛИ ;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;
Оборот организаций по видам экономической деятельности ( в фактически действовавших ценах, млрд.рублей)1);;;;;;;;;;;;;;;;;;;;;;;;;;;;
В соответствии с Общероссийским классификатором видов экономической деятельности ОК 029-2007 (Кдес Ред.1.1) ОКВЭД;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Всего;;;;;;;;;;;;;;;36459,5;46950,4;59795,2;74180,9;67434,7;81196,1;99978,4;111582,0;114625,7;129195,0;141547,3;149320,2019;;
 в том числе по видам экономической деятельности:;;;;;;;;;;;;;;;;;;;;;;;;;;;;
сельское хозяйство, охота и лесное хозяйство;;;;;;;;;;;;;;;565,4;636,6;829,6;982,8;1032,5;1150,3;1332,6;1495,6;1572,6;1891,7;2345,3;2503,1;;
рыболовство, рыбоводство;;;;;;;;;;;;;;;54,3;84,1;106,2;89,5;101,5;108,3;128,7;136,0;137,9;170,1;269,9;290,9;;
добыча полезных ископаемых;;;;;;;;;;;;;;;3150,9;3679,5;4174,7;5049,7;4795,3;6248,7;8267,0;8906,1;9176,5;9777,3;11339,1;11777,1;;
из нее:;;;;;;;;;;;;;;;;;;;;;;;;;;;;
добыча топливно-энергетических полезных ископаемых;;;;;;;;;;;;;;;2751,8;3225,8;3645,0;4387,9;4217,3;5424,9;7169,8;7723,1;8036,6;8605,9;9991,3;10174,0;;
добыча полезных ископаемых, кроме топливно-энергетических;;;;;;;;;;;;;;;399,1;453,7;529,6;661,8;578,0;823,8;1097,2;1183,0;1139,9;1171,5;1347,7;1603,1;;
обрабатывающие производства;;;;;;;;;;;;;;;9777,5;11785,2;13962,6;17113,7;14423,3;18761,4;23940,0;26308,3;29520,1;32019,6;34687,2;36716,8;;
из них:;;;;;;;;;;;;;;;;;;;;;;;;;;;;
производство пищевых продуктов, включая напитки, и табака;;;;;;;;;;;;;;;1464,3;1719,1;2139,7;2710,7;2790,2;3094,0;3578,7;3990,8;4216,7;4675,6;5526,3;6000,4;;
текстильное и швейное производство;;;;;;;;;;;;;;;111,7;157,5;153,2;171,1;163,9;198,8;240,5;256,9;298,0;286,5;317,2;370,2;;
производство кожи, изделий из кожи и производство обуви;;;;;;;;;;;;;;;24,0;28,6;34,9;34,5;36,4;43,7;51,4;49,8;51,6;47,3;53,9;63,4;;
обработка древесины и производство изделий из дерева;;;;;;;;;;;;;;;146,7;167,0;219,3;240,7;187,7;226,4;281,8;308,6;328,0;378,1;435,4;510,8;;
"целлюлозно-бумажное производство; издательская и полиграфическая деятельность";;;;;;;;;;;;;;;292,2;389,8;449,7;589,4;477,0;575,8;724,8;827,7;893,8;960,5;1116,2;1261,2;;
производство кокса и нефтепродуктов;;;;;;;;;;;;;;;2409,6;2413,2;2107,5;2725,2;2748,7;4036,4;5607,9;6260,6;8648,9;9564,1;9287,0;9177,9;;
химическое производство;;;;;;;;;;;;;;;570,1;712,0;849,2;1178,4;1041,4;1361,2;1778,8;1890,9;2010,2;2079,3;2649,9;2767,7;;
производство резиновых и пластмассовых изделий;;;;;;;;;;;;;;;183,2;251,5;395,3;424,5;355,8;494,4;647,9;704,3;684,1;685,7;800,8;885,7;;
производство прочих неметаллических минеральных продуктов;;;;;;;;;;;;;;;373,7;551,6;831,5;1027,0;703,0;821,0;1049,2;1182,1;1246,7;1283,6;1240,6;1264,0;;
металлургическое производство и производство готовых металлических изделий;;;;;;;;;;;;;;;1868,3;2445,0;2955,7;3410,8;2410,5;3352,9;4079,7;4047,1;3965,0;4582,1;5337,7;5489,7;;
в том числе металлургическое производство;;;;;;;;;;;;;;;1626,8;2081,7;2514,8;2846,0;1957,7;2806,1;3360,6;3272,1;3198,1;3742,7;4405,5;4457,6;;
производство машин и оборудования;;;;;;;;;;;;;;;504,6;607,5;829,8;1027,8;840,1;1021,3;1260,6;1420,7;1425,0;1487,3;1509,0;1656,0;;
производство электрооборудования, электронного и оптического оборудования;;;;;;;;;;;;;;;468,1;656,7;822,1;935,7;760,1;982,5;1192,5;1329,2;1315,4;1516,4;1733,7;1962,8;;
производство транспортных средств и оборудования;;;;;;;;;;;;;;;909,3;1112,9;1467,8;1718,4;1243,9;1710,9;2379,6;2839,6;3168,4;3037,1;2949,4;3348,8;;
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;
производство автомобилей, прицепов и полуприцепов;;;;;;;;;;;;;;;549,7;698,2;952,0;1093,4;584,9;947,2;1445,0;1717,5;1798,6;1685,4;1493,7;1784,8;;
производство судов, летательных и космических аппаратови прочих транспортных средств;;;;;;;;;;;;;;;359,6;414,6;515,8;625,0;659,0;763,7;934,6;1122,0;1369,8;1351,7;1455,7;1564,1;;
производство и распределение электроэнергии, газа и воды;;;;;;;;;;;;;;;1864,3;2440,8;3103,7;3783,5;4545,3;5483,7;6424,1;6627,4;7187,2;7648,0;8014,8;8742,1;;
строительство;;;;;;;;;;;;;;;1535,2;2079,9;2902,2;3979,7;3238,2;3652,1;4225,5;4660,2;4876,5;4929,0;4723,5;6216,0;;
"оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования";;;;;;;;;;;;;;;14123,2;19616,6;26108,6;32342,9;28181,0;33359,8;41221,6;47044,5;43872,4;51923,4;56362,4;56581,1;;
из них:;;;;;;;;;;;;;;;;;;;;;;;;;;;;
торговля автотранспортными средствами и мотоциклами, их техническое обслуживание и ремонт;;;;;;;;;;;;;;;1211,7;1837,4;2788,4;3540,8;2191,4;3173,6;4629,5;5246,8;5779,4;6781,3;6172,0;6478,1;;
через агентов, кроме торговли автотранспортными средствами и мотоциклами;;;;;;;;;;;;;;;10251,7;14651,9;18948,8;24273,6;20805,1;23848,6;29099,3;33928,3;29556,7;35206,8;39264,0;38159,0;;
"розничная торговля, кроме торговли автотранспортными средствами и мотоциклами; ремонт бытовых изделий и предметов личного пользования";;;;;;;;;;;;;;;2659,7;3127,3;4371,4;4528,5;5184,5;6337,6;7492,8;7869,3;8536,2;9935,3;10926,4;11944,0;;
гостиницы и рестораны;;;;;;;;;;;;;;;182,6;222,7;294,9;370,0;359,1;434,3;523,9;684,6;849,8;873,6;925,8;1003,6;;
транспорт и связь;;;;;;;;;;;;;;;3055,1;3702,3;4538,0;5668,5;6061,6;6628,2;7637,7;8771,2;9388,3;10006,9;10965,2;11685,4;;
из них связь;;;;;;;;;;;;;;;743,0;885,1;1167,1;1318;1539,1;1521,8;1603,8;1757,4;1831,4;1859,3;1893,7;1920,5;;
операции с недвижимым имуществом, аренда и предоставление услуг;;;;;;;;;;;;;;;1527,3;1885,2;2570,7;3705,5;3654,4;4214,4;4959,0;5506,2;6264,8;7246,0;8687,5;10317,9;;
из них:;;;;;;;;;;;;;;;;;;;;;;;;;;;;
управление эксплуатацией жилого фонда2);;;;;;;;;;;;;;;173,1;192,5;221,2;210,9;239,2;276,9;296,6;307,1;314,8 ;320,1;321,7;392,3;;
научные исследования и разработки;;;;;;;;;;;;;;;381,0;460,4;607,7;719,5;778,4;894,3;1037,3;1119,3;1380,4;1475,3;1584,6;1801,1;;
"государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение";;;;;;;;;;;;;;;39,9;42,7;54,5;69,8;74,5;83,1;91,6;91,2;100,1;117,5;131,8;123,3;;
образование;;;;;;;;;;;;;;;125,7;158,5;193,8;227,8;247,7;271,1;310,2;344,2;354,3;387,9;430,6;479,5;;
здравоохранение и предоставление социальных услуг;;;;;;;;;;;;;;;126,4;156,1;199,7;237,4;291,4;311,5;367,1;437,1;685,3;1508,0;1920,1;2014,4;;
предоставление прочих коммунальных, социальных и персональных услуг;;;;;;;;;;;;;;;298,5;414,0;699,9;551,8;425,7;486,0;541,2;558,0;630,0;685,4;738,3;857,4;;
В соответствии с Общероссийским классификатором видов экономической деятельности ОК 029-2014 (КДЕС Ред.2) ОКВЭД2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Всего3);;;;;;;;;;;;;;;;;;;;;;;;;;;158778,0;
в том числе по видам экономической деятельности:;;;;;;;;;;;;;;;;;;;;;;;;;;;;
сельское, лесное хозяйство, охота, рыболовство и рыбоводство;;;;;;;;;;;;;;;;;;;;;;;;;;;2720,4;
из них:;;;;;;;;;;;;;;;;;;;;;;;;;;;;
растениеводство и живодноводство, охота и предоставление соответствующих услуг в этих областях;;;;;;;;;;;;;;;;;;;;;;;;;;;2199,1;
лесоводство и лесозаготовки;;;;;;;;;;;;;;;;;;;;;;;;;;;211,1;
рыболовствои рыбоводство;;;;;;;;;;;;;;;;;;;;;;;;;;;310,1;
добыча полезных ископаемых;;;;;;;;;;;;;;;;;;;;;;;;;;;13708,3;
 из нее:;;;;;;;;;;;;;;;;;;;;;;;;;;;;
добыча угля;;;;;;;;;;;;;;;;;;;;;;;;;;;1324,9;
добыча сырой нефти и природного газа;;;;;;;;;;;;;;;;;;;;;;;;;;;9064,6;
добыча металлических руд;;;;;;;;;;;;;;;;;;;;;;;;;;;1071,5;
добыча прочих полезных ископаемых;;;;;;;;;;;;;;;;;;;;;;;;;;;571,7;
обрабатывающие производства;;;;;;;;;;;;;;;;;;;;;;;;;;;40502,2;
из них:;;;;;;;;;;;;;;;;;;;;;;;;;;;;
производство пищевых продуктов;;;;;;;;;;;;;;;;;;;;;;;;;;;4918,0;
производство напитков;;;;;;;;;;;;;;;;;;;;;;;;;;;780,8;
производство табачных изделий;;;;;;;;;;;;;;;;;;;;;;;;;;;216,4;
производство текстильных изделий;;;;;;;;;;;;;;;;;;;;;;;;;;;194,5;
производство одежды;;;;;;;;;;;;;;;;;;;;;;;;;;;206,9;
производство кожи, и изделий из кожи ;;;;;;;;;;;;;;;;;;;;;;;;;;;69,9;
обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения;;;;;;;;;;;;;;;;;;;;;;;;;;;529,8;
производство бумаги и бумажных изделий ;;;;;;;;;;;;;;;;;;;;;;;;;;;913,2;
деятельность полиграфическая и копирование носителей информации;;;;;;;;;;;;;;;;;;;;;;;;;;;231,1;
производство кокса и нефтепродуктов;;;;;;;;;;;;;;;;;;;;;;;;;;;10710,3;
производство химических веществ и химических продуктов;;;;;;;;;;;;;;;;;;;;;;;;;;;2508,4;
производство лекарственных средств и и материалов, применяемых в медицинских целях ;;;;;;;;;;;;;;;;;;;;;;;;;;;485,2;
производство резиновых и пластмассовых изделий;;;;;;;;;;;;;;;;;;;;;;;;;;;978,4;
производство прочей неметаллической  минеральной продукции;;;;;;;;;;;;;;;;;;;;;;;;;;;1379,9;
производство металлургическое;;;;;;;;;;;;;;;;;;;;;;;;;;;5243,5;
производство готовых металлических изделий, кроме машин и оборудования;;;;;;;;;;;;;;;;;;;;;;;;;;;2269,5;
производство компьютеров, электронных и оптических изделий;;;;;;;;;;;;;;;;;;;;;;;;;;;1234,7;
производство электрического оборудования;;;;;;;;;;;;;;;;;;;;;;;;;;;1001,3;
производство машин и оборудования, не включенных в другие группировки;;;;;;;;;;;;;;;;;;;;;;;;;;;1316,7;
производство автотранспортных средств, прицепов и полуприцепов;;;;;;;;;;;;;;;;;;;;;;;;;;;2243,4;
производство прочих транспортных средств и оборудования;;;;;;;;;;;;;;;;;;;;;;;;;;;1839,1;
производство мебели;;;;;;;;;;;;;;;;;;;;;;;;;;;222,4;
производство прочих готовых изделий;;;;;;;;;;;;;;;;;;;;;;;;;;;187,4;
"обеспечение электрической энергией, газом, паром; кондиционирование воздуха";;;;;;;;;;;;;;;;;;;;;;;;;;;8995,8;
"водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений";;;;;;;;;;;;;;;;;;;;;;;;;;;1008,4;
строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;6796,2;
"торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов ";;;;;;;;;;;;;;;;;;;;;;;;;;;57830,4;
транспортировка и хранение;;;;;;;;;;;;;;;;;;;;;;;;;;;10870,7;
деятельность гостиниц и предприятий общественного питания;;;;;;;;;;;;;;;;;;;;;;;;;;;1137,6;
деятельность в области  информации и связи;;;;;;;;;;;;;;;;;;;;;;;;;;;3437,6;
деятельность по операциям с нежвижимым имуществом;;;;;;;;;;;;;;;;;;;;;;;;;;;2356,6;
деятельность профессиональная, научная и техническая;;;;;;;;;;;;;;;;;;;;;;;;;;;4826,9;
деятельность административная и сопутствующие дополнительные услуги;;;;;;;;;;;;;;;;;;;;;;;;;;;1234,0;
"государственное управление и обеспечение военной безопасности;  социальное обеспечение";;;;;;;;;;;;;;;;;;;;;;;;;;;124,8;
образование;;;;;;;;;;;;;;;;;;;;;;;;;;;534,2;
деятельность в области здравоохранения и социальных услуг;;;;;;;;;;;;;;;;;;;;;;;;;;;2157,0;
предоставление прочих видов услуг;;;;;;;;;;;;;;;;;;;;;;;;;;;286,1;
1)  По основному виду деятельности организаций без учета деятельности финансовых организаций.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2) Без субъектов малого предпринимательства.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3) Без учета деятельности финансовых организаций.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Малое предпринимательство1);;;;;;;;;;;;;;;;;;;;;;;;;;;;
Число малых предприятий (включая микропредприятия) , тыс. ;;;;;;;;;;;;;;;;;;;1576,8;1644,3;1836,4;2003,0;2063,1;2103,8;2222,4;2770,6;2754,6;
