;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2024 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Фосфаты кальция;;47,3;…;…;…;41,1;39,4;40,3;37,6;41,3;49,5;63,4;72,3;74,8;275;179;140;228;246;207;160;166;153;130;119;129;114;142;…;…;…;;;;;;;;;
Руды и концентраты железные;;23,1;…;…;…;14,8;15,8;14,8;15,1;16,2;30,1;47,7;39,3;51,0;89,2;44,5;83,4;118;97,7;93,0;84,8;47,7;43,3;75,4;82,3;93,4;76,9;150;…;…;…;;;;;;;;;
Уголь каменный ;;34,3;…;…;…;16,5;26,3;29,2;26,7;28,5;38,4;47,2;47,5;54,7;79,6;70,1;79,4;103;100;85,1;76,0;62,1;53,6;74,8;85,4;77,8;62,6;83,3;…;…;…;;;;;;;;;
Нефть сырая, включая газовый конденсат природный;;107;…;…;…;105;175;151;154;174;226;330;412;470;663;407;546;744;754;734;689;366;289;369;496;454;303;479;…;…;…;;;;;;;;;
Нефтепродукты;;105;…;…;…;95,8;174;148;149;181;234;348;429;465;676;387;529;727;750;721;701;393;295;392;521;468;320;485;…;…;…;;;;;;;;;
Газ природный, за 1000 м3;;63,1;…;…;…;55,3;85,9;101;85,7;106;109;151;216;234;354;249;273;343;346;336;314;225;157;179;220;189;126;273;…;…;…;;;;;;;;;
Электроэнергия, за 1 млн кВт-ч;;…;…;…;…;20722;16819;15596;18731;23478;25 326;28 575;34 541;33 903;52 623;44 028;53 945;58 238;53 243;53 969;50 267;40 782;37 308;37 645;45 724;45 461;40 332;57 957;…;…;…;;;;;;;;;
Аммиак безводный;;130;…;…;…;50,8;97,6;87,5;72,7;123;161;190;196;224;453;203;284;420;490;466;431;378;226;227;269;240;201;378;…;…;…;;;;;;;;;
Удобрения минеральные азотные:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;…;…;…;;;;;;;;;
в физическом весе;;119;…;…;…;37,9;58,0;62,6;59,0;77,1;106;139;145;196;353;177;199;308;317;284;267;230;170;182;200;201;181;309;…;…;…;;;;;;;;;
в пересчете на 100% питательных веществ;;;;;;;153;…;…;…;262;367;316;516;934;454;518;819;838;747;702;604;438;464;506;508;453;727;…;…;…;;;;;;;;;
Удобрение минеральные калийные:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;…;…;…;;;;;;;;;
в физическом весе;;72,0;…;…;…;86,4;86,7;76,9;75,0;76,4;95,8;136;150;175;447;453;283;366;406;346;258;264;196;193;230;248;185;279;…;…;…;;;;;;;;;
в пересчете на 100% питательных веществ;;;;;;;143;…;…;…;159;225;249;277;730;743;470;566;671;563;425;436;322;318;371;409;304;460;…;…;…;;;;;;;;;
"Лесоматериалы необработанные, 
за м3";;57,7;…;…;…;43,4;43,4;43,9;44,8;48,1;56,3;59,6;63,8;83,9;95,1;84,6;87,1;94,3;86,7;86,1;84,9;69,1;67,4;75,5;77,0;70,3;66,3;74,0;…;…;…;;;;;;;;;
Фанера клееная, за м3;;288;…;…;…;256;227;237;244;250;295;346;355;509;578;388;458;303;363;566;596;449;384;447;505;414;402;837;…;…;…;;;;;;;;;
