;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2024 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Использование;1 398,5;19 005,5;171 509,5;610 745,2;1 428 522,1;2 007 825,1;2 342 514,0;2 629 623,0;4 823 233,5;7 305 646,3;8 943 582,4;10 830 535,1;13 208 233,8;17 027 190,9;21 609 765,5;26 917 201,4;33 247 513,2;41 276 849,2;38 807 218,6;46 308 541,2;60 114 000,8;68 103 449,6;72 985 701,1;79 030 040,2;83 087 360,1;85 616 083,8;91 843 154,2;103 861 651,1;109 608 305,8;107 658 131,0;134 727 467,4;156 940 923,2;176 413 587,1;201 152 092,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Оплата труда наемных работников;610,9;6 979,4;76 346,2;300 997,6;647 875,8;1 022 643,3;1 202 900,5;1 263 046,9;1 933 606,1;2 937 229,9;3 848 398,5;5 065 100,6;6 231 387,9;7 845 036,7;9 474 266,7;11 985 905,6;15 526 114,7;19 559 761,0;20 411 614,4;22 995 636,0;26 385 053,6;30 187 193,6;33 800 073,5;37 438 961,8;39 748 920,8;41 237 450,8;43 897 536,4;46 415 809,8;48 383 047,5;48 696 703,7;54 881 303,9;63 711 356,8;73 596 587,9;88 279 732,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"в том числе оплата труда 
и смешанные доходы, 
не наблюдаемые прямыми статистическими методами -  всего ";;;9 100,0;52 000,0;110 000,0;220 000,0;270 000,0;270 000,0;525 000,0;810 000,0;993 500,0;1 249 000,0;1 496 400,0;1 995 100,0;2 551 000,0;3 450 000,0;4 450 000,0;5 200 000,0;5 790 000,0;6 632 000,0;6 466 513,0;7 706 849,0;8 839 093,0;10 555 077,0;11 199 588,4;11 192 278,7;11 923 443,1;11 476 881,7;10 793 043,4;10 288 120,0;12 130 955,1;13 967 226,5;16 181 738,9;18 063 623,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Налоги на производство и импорт;152,0;3 892,9;28 672,8;85 044,1;252 401,3;378 712,0;469 958,6;517 923,0;883 308,1;1 404 111,5;1 585 833,1;2 028 443,0;2 318 223,0;3 079 045,6;4 410 767,1;5 542 275,3;6 564 455,7;8 498 539,1;6 808 387,9;8 494 621,8;9 104 661,6;10 203 663,9;10 408 206,2;11 492 181,8;9 779 980,8;9 928 423,4;10 495 649,7;12 684 481,5;12 876 013,7;11 989 425,5;16 598 249,6;17 241 529,7;21 465 220,8;21 444 478,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
налоги на продукты ;141,1;3 592,0;26 028,6;71 923,4;184 071,2;269 095,0;320 255,8;338 824,5;613 854,6;980 880,4;1 268 911,4;1 415 153,0;1 775 123,2;2 352 124,6;3 248 224,8;4 090 102,5;4 977 558,7;6 323 848,4;5 202 132,9;6 462 567,9;8 413 321,9;9 411 798,2;9 510 857,9;10 550 847,9;8 738 499,6;8 817 205,9;9 264 512,5;11 341 881,2;11 623 598,1;11 399 889,6;15 289 528,8;15 824 664,5;18 905 089,2;19 756 177,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
другие налоги на производство;10,9;300,9;2 644,2;13 120,7;68 330,1;109 617,0;149 702,8;179 098,5;269 453,5;423 231,1;316 921,7;613 290,0;543 099,8;726 921,0;1 162 542,3;1 452 172,8;1 586 897,0;2 174 690,7;1 606 255,0;2 032 053,9;691 339,7;791 865,7;897 348,3;941 333,9;1 041 481,2;1 111 217,5;1 231 137,2;1 342 600,3;1 252 415,6;589 535,9;1 308 720,8;1 416 865,2;2 560 131,6;1 688 300,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Субсидии на производство и импорт           (-);90,0;3 257,3;10 471,2;26 640,9;82 547,0;92 897,2;113 688,8;98 035,3;125 192,6;155 627,5;183 250,6;181 199,2;205 705,4;203 595,1;162 407,7;155 563,8;230 138,8;280 117,0;333 869,4;275 454,3;359 982,8;373 709,1;349 608,2;493 707,0;516 205,0;523 381,2;522 587,5;494 331,3;779 959,3;1 538 877,0;3 040 099,4;5 218 989,0;6 201 042,7;5 976 829,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
субсидии на продукты ;90,0;3 257,3;10 471,2;24 025,1;75 174,4;89 479,0;105 661,1;92 461,2;118 494,4;147 432,9;171 422,1;165 911,6;186 639,7;183 700,7;156 125,1;150 244,8;214 516,7;229 697,6;226 238,1;194 104,2;214 912,3;244 040,6;246 412,7;258 701,8;271 647,2;278 255,4;318 752,7;309 072,5;502 452,5;737 851,6;1 362 823,5;1 355 411,7;1 468 073,3;1 631 000,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
