,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2024 гг.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ПОКАЗАТЕЛИ ,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Рентабельность проданных товаров, продукции (работ, услуг), процентов",,,,,,4.8,6.3,8.1,18.5,18.9,14.4,10.9,10.2,13.2,13.5,13.2,13.1,13.0,10.8,10.0,"9,6",8.6,7.0,7.3,8.1,7.6,6.7,10.7,10.8,9.4,14.7,14.2,12.7,12.2
"Рентабельность активов, процентов",,,,,,1.3,1.7,-0.9,5.0,7.6,6.1,4.3,5.9,8.5,8.8,12.2,10.4,5.4,5.5,"6,7","6,5",6.1,4.5,2.5,3.7,5.9,3.8,4.7,5.8,4.1,8.9,5.5,7.4,5.6
"Оборотные активы, млн  руб.",,,,,,"1,753,736","2,441,856","3,402,556","4,374,225","5,841,343","6,830,179","8,048,645","9,709,306","12,048,850","14,315,616","17,714,632","23,281,981","30,448,706","32,905,967","39,383,807","45,804,616","52,762,125","63,954,620","75,009,024","85,129,224","87,430,506","98,587,538","108,768,940","120,057,940","135,483,002","161,088,415","182,451,369","239,981,510","247,365,913"
"Коэффициент текущей ликвидности, процентов",,,,,,98.8,95.5,91.2,99.5,102.5,106.1,109.7,116.2,113.1,122.2,123.7,130.7,129.2,129.4,"134,3","136,2",128.1,125.3,121.1,126.6,124.7,124.4,126.1,124.0,129.4,133.4,135.4,150.2,129.9
"Коэффициент обеспеченности собственными оборотными средствами, процентов",,,,,,-1.0,-5.6,-17.0,-11.9,-7.4,-7.0,-6.6,-8.2,-10.6,-12.5,-13.3,-10.5,-14.1,-18.8,"-14,1","-17,8",-25.5,-30.7,-41.2,-42.6,-42.2,-41.8,-44.4,-41.2,-43.1,-35.1,26.2,33.4,23.0
"Коэффициент автономии, процентов",,,,,,80.7,73.9,65.5,62.2,59.9,60.9,60.1,57.7,54.4,56.2,57.1,55.9,50.5,51.6,"52,4","50,8",48.2,45.3,40.1,39.9,42.5,41.7,40.6,41.4,40.7,42.7,43.3,44.9,39.6
____________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1) По данным бухгалтерской отчетности, с  2019 г. – по данным бухгалтерской отчетности с использованием Государственного информационного ресурса бухгалтерской  отчетности ФНС России.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Состояние взаиморасчетов 
в организациях по видам экономической деятельности 
(на конец отчетного периода)1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Суммарная задолженность 
по обязательствам, млн  руб.",,,,,"574,287","1,064,983","1,452,970","2,811,479","3,609,435","4,479,935","6,059,063","7,307,603","8,795,918","10,420,880","12,178,969","14,968,092","21,406,196","28,179,482","32,561,461","37,200,350","44,018,275","49,561,426","58,340,477","75,182,475","89,014,617","91,942,288","97,671,356","111,435,715","116,143,976","144,653,346","162,442,777","180,728,971","222,849,684","260,439,139"
"Просроченная суммарная задолженность 
по обязательствам, млн  руб.",,,,,"249,609","537,920","782,182","1,309,205","1,445,294","1,675,153","1,667,645","1,558,850","1,401,325","1,200,598","1,032,064","889,263","905,432","1,073,703","1,102,076","1,171,644","1,381,947","1,343,200","1,660,601","2,137,882","2,824,692","3,069,214","3,124,149","4,046,149","4,647,778","4,866,546","4,408,855","4,711,692","4,847,574","5,787,360"
"Кредиторская задолженность, млн  руб.",,,,,"482,842","941,159","1,288,301","2,297,445","2,900,825","3,514,951","4,230,689","4,832,303","5,283,176","5,943,837","6,389,304","7,696,758","10,652,807","13,353,288","14,881,506","17,683,401","20,954,272","23,631,711","27,531,558","33,173,617","38,925,596","42,280,108","44,481,335","49,228,640","52,614,704","64,073,355","76,121,438","89,191,873","109,468,431","127,119,872"
"Просроченная кредиторская задолженность, млн  руб.",,,,,"238,930","514,421","756,135","1,230,613","1,354,500","1,571,469","1,560,121","1,432,819","1,306,071","1,122,193","956,356","821,296","832,507","994,457","957,883","1,005,998","1,208,299","1,188,416","1,469,645","1,881,316","2,428,757","2,656,177","2,616,343","3,440,263","3,898,204","3,967,010","3,840,046","4,277,684","4,418,392","5,426,184"
"Задолженность по кредитам банков 
и займам, млн  руб.",,,,,"91,445","123,824","164,669","514,034","708,610","964,984","1,828,374","2,475,300","3,512,742","4,477,043","5,789,665","7,271,334","10,753,389","14,826,194","17,679,955","19,516,949","23,064,003","25,929,715","30,808,919","42,008,858","50,089,021","49,662,180","53,190,021","62,207,075","63,529,272","80,579,991","86,321,339","91,537,098","113,381,253","133,319,267"
"Просроченная задолженность по кредитам банков и займам, млн  руб.",,,,,"10,679","23,499","26,047","78,592","90,794","103,684","107,524","126,031","95,254","78,405","75,708","67,967","72,925","79,246","144,193","165,646","173,648","154,784","190,956","256,566","395,935","413,037","507,806","605,886","749,574","899,536","568,809","434,008","429,182","361,176"
"Задолженность поставщикам, млн  руб.",,,,,"265,892","487,088","622,982","1,180,024","1,522,836","1,802,660","2,112,972","2,407,155","2,604,361","2,908,135","3,193,914","3,948,589","5,499,637","7,131,124","7,432,160","8,791,247","10,667,130","12,510,870","14,947,143","16,744,745","18,044,549","19,856,787","20,654,446","23,569,562","24,693,632","28,770,911","32,412,839","33,636,692","41,103,038","48,899,038"
"Просроченная задолженность поставщикам, млн  руб.",,,,,"122,300","245,937","344,687","585,993","619,452","712,478","753,995","710,338","651,965","569,422","516,114","474,594","553,903","715,772","680,920","721,326","884,407","911,116","1,156,942","1,451,141","1,621,414","1,968,835","1,960,960","2,386,247","2,644,956","2,686,156","2,348,661","2,615,216","2,877,825","3,387,343"
"Дебиторская задолженность, млн  руб.",,,,,"361,996","662,591","846,121","1,541,966","1,999,690","2,450,755","3,211,030","3,663,343","4,138,639","5,174,449","6,331,251","7,871,212","11,061,130","13,783,072","15,441,535","18,003,884","21,796,875","22,866,854","26,263,685","31,013,596","35,736,421","37,053,181","40,257,623","46,668,483","50,507,150","61,156,249","73,808,768","86,328,851","104,770,419","122,980,496"
"Просроченная дебиторская задолженность, млн  руб.",,,,,"165,496","335,514","458,401","761,932","814,565","916,257","1,007,341","910,866","876,518","839,003","855,998","1,039,936","887,190","1,051,325","1,011,328","1,048,158","1,167,488","1,224,705","1,482,765","2,015,920","2,275,556","2,240,921","2,328,561","2,646,693","2,660,980","2,925,784","3,062,949","4,402,701","5,264,892","6,145,150"
"Задолженность покупателей, млн  руб.",,,,,"289,309","553,196","676,389","1,198,190","1,462,566","1,721,421","2,045,098","2,262,677","2,539,966","3,010,452","3,484,419","4,323,594","5,807,492","6,966,326","7,505,297","8,589,348","10,120,822","11,824,095","13,420,391","16,073,828","17,259,250","18,388,364","19,295,229","22,801,126","23,436,693","26,599,904","32,320,676","36,615,830","43,586,143","51,545,105"
"Просроченная задолженность покупателей, млн  руб.",,,,,"146,896","296,258","397,138","646,438","668,558","735,327","8,371,539","714,855","623,800","607,396","572,195","587,641","626,652","796,694","755,556","805,411","924,619","945,664","1,199,226","1,635,017","1,730,768","1,544,240","1,638,485","1,822,335","1,897,235","2,114,693","2,189,502","3,343,207","3,843,206","4,392,673"
"Превышение просроченной кредиторской задолженности над просроченной  дебиторской, млн  руб.",,,,,"73,434","178,907","297,734","468,681","539,935","655,212","552,780","521,953","429,553","283,190","100,358","-218,640","-54,683","-56,868","-53,445","-42,160","40,811","-36,289","-13,120","-134,604","153,201","415,256","287,782","793,570","1,237,224","1,041,226","777,097","-125,017","-846,500","-718,966"
"Число организаций, имевших просроченную задолженность покупателей, единиц",,,,,,,,,,,,791,567,"44,059","37,670","32,010","27,360","20,454","18,819","16,978","15,310","14,111","13,776","13,615","13,235","12,972","12,346","12,951","13,115","15,439","15,146","15,329","15,386","15,994"
"Число организаций, имевших просроченную задолженность поставщикам, единиц",,,,,,,,,,,,804,599,"40,766","33,673","27,717","22,764","16,326","14,428","12,676","11,175","10,011","9,434","8,722","8,061","7,412","6,677","6,503","6,246","6,251","5,689","5,178","4,842","4,445"
"Просроченная задолженность по заработной плате работникам организаций - всего, млн  руб.2)",,,,,,,,"77,017","43,741","31,690","29,943","30,575","24,430","12,206","5,756","4,159","2,668","4,674","3,565","2,400","1,766","1,560","1,949","2,006","3,572","2,725","2,487","2,420","2,114","1,628",786,643,347,893
из нее из-за несвоевременного получения денежных средств из бюджетов всех уровней,,,,,,,,"19,732","10,165","4,942","3,633","3,444","2,260","1,005",198,248,192,261,196,21,8,3,3,3,74,5,25,9,14,24,2,10,3,2
"Задолженность организаций стран СНГ организациям России (покупателей), 
млн  руб.",,,,,,,,"6,704","7,075","8,925","71,319","77,787","84,985","51,694","32,815","38,509","68,190","117,675","180,599","198,016","256,470","257,764","376,226","326,720","195,454","186,514","188,993","228,581","283,624","302,247","333,471","343,341","486,462","716,520"
"Просроченная задолженность организаций стран СНГ организациям России (покупателей), млн  руб.",,,,,,,,"3,921","3,262","3,103","61,370","65,371","35,459","25,835","6,888","5,212","20,961","32,389","52,301","62,960","88,112","95,893","137,067","120,593","11,006","10,213","6,958","10,334","16,489","17,596","15,586","20,642","32,226","28,115"
"Задолженность организаций России организациям стран СНГ (поставщикам), млн  руб.",,,,,,,,"3,411","3,101","5,700","6,029","4,042","8,879","6,494","9,058","23,767","20,407","31,937","24,098","30,104","29,514","69,973","64,982","89,353","95,249","102,779","105,558","110,973","110,310","122,514","139,338","158,767","262,064","451,691"
"Просроченная задолженность организаций России организациям стран СНГ (поставщикам), млн  руб.",,,,,,,,"1,428","1,329","1,603","1,670",535,"1,083",745,540,221,307,540,"2,584","5,512",661,401,653,"3,717","2,994","2,611","4,208","6,002","6,421","7,557","9,430","5,105","3,595","4,899"
_______________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1) Данные за 2014 г. без учета сведений по Республике Крым и г. Севастополю.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2) Начиная с 2024 г. данные приведены в соответствии с методологией расчета показателя, утвержденной приказом Росстата от 31 июля 2023 г. № 360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
